X,Y,Z
-0.00658,0.000598,-9.760922
-0.038285,-0.064606,-9.569497
-0.00658,0.000598,-9.760922
-0.190828,0.414557,-9.785449
-0.037687,0.412762,-9.728021
0.054437,0.346361,-9.663414
0.047258,0.27338,-9.55514
-0.117248,0.364905,-9.731611
-0.115454,0.405583,-9.945768
-0.107677,0.460618,-9.967902
-0.213559,0.400798,-9.809975
-0.249452,0.364905,-9.649656
-0.228515,0.354736,-9.537792
-0.238684,0.394816,-9.707682
-0.189033,0.369093,-9.78844
0.009571,0.376271,-9.799806
-0.025125,0.357727,-9.75793
-0.16989,0.397807,-9.626326
-0.145962,0.4002,-9.8351
-0.251845,0.459422,-9.749557
-0.197408,0.433699,-9.760324
-0.21655,0.410369,-9.653843
-0.139382,0.339183,-9.547961
-0.191426,0.388834,-9.701701
-0.071785,0.421735,-9.834502
-0.085543,0.386441,-9.817751
-0.127418,0.348156,-9.713067
-0.068195,0.293719,-9.68495
-0.236291,0.369691,-9.769895
-0.147757,0.429512,-9.793226
-0.190828,0.467199,-9.753146
-0.140578,0.385843,-9.638888
-0.152542,0.348754,-9.615559
-0.212363,0.364307,-9.693923
-0.241675,0.378664,-9.779467
-0.180658,0.3667,-9.777671
-0.039482,0.315853,-9.696914
-0.035294,0.308076,-9.689736
-0.092722,0.389432,-9.765707
-0.095713,0.522832,-9.783056
-0.08016,0.455235,-9.802198
-0.055035,0.399601,-9.682558
-0.138784,0.346361,-9.67837
-0.208774,0.346361,-9.640683
-0.151346,0.379262,-9.772887
-0.072383,0.4002,-9.82493
0.010169,0.378066,-9.820145
-0.065803,0.42353,-9.899706
-0.198006,0.43669,-9.652647
-0.201595,0.46002,-9.679566
-0.008375,0.365504,-9.622737
-0.125025,0.375673,-9.664013
-0.124427,0.388235,-9.750753
-0.287139,0.477966,-9.85843
-0.260818,0.482752,-9.933804
-0.230907,0.455833,-9.738789
-0.055633,0.339183,-9.575479
0.008973,0.271585,-9.363116
-0.08674,0.292523,-9.543175
-0.324826,0.238684,-9.866805
-0.021535,0.475573,-10.189835
-0.128614,0.309272,-9.9685
-0.235095,0.4002,-9.64846
-0.072383,0.257827,-9.467802
-0.106481,0.265603,-9.394223
-0.047258,0.337986,-9.669995
-0.107079,0.488734,-9.98166
-0.152542,0.532403,-9.97149
-0.083151,0.515055,-9.914062
-0.148355,0.45344,-9.708879
-0.128614,0.339781,-9.612567
-0.10349,0.370289,-9.664013
-0.114257,0.405583,-9.786645
-0.13998,0.463609,-9.789038
-0.02333,0.391227,-9.857234
-0.056231,0.393021,-9.805788
-0.152542,0.417548,-9.678968
-0.097508,0.38345,-9.732209
-0.092124,0.381057,-9.61496
-0.045464,0.4002,-9.739985
-0.102293,0.435494,-9.827322
-0.180658,0.483948,-9.869196
-0.196211,0.44327,-9.873384
-0.169292,0.381057,-9.653245
-0.061017,0.267996,-9.500104
-0.010169,0.293121,-9.646067
-0.221934,0.419342,-9.699307
-0.104088,0.48335,-9.988241
-0.037089,0.483948,-9.991829
-0.026321,0.369691,-9.710673
-0.022134,0.292523,-9.477373
-0.11007,0.299103,-9.588041
-0.241675,0.394816,-9.705888
-0.30688,0.478565,-9.900304
-0.262612,0.524028,-9.834502
-0.098704,0.439681,-9.838689
-0.050249,0.304487,-9.600604
-0.045464,0.272782,-9.545568
-0.10349,0.305085,-9.623933
-0.157926,0.378066,-9.662219
-0.095713,0.426521,-9.916456
-0.190229,0.497707,-9.932607
-0.168096,0.476172,-9.888938
-0.235693,0.452243,-9.704092
-0.096311,0.382253,-9.663414
-0.026321,0.385843,-9.791431
0.084945,0.321835,-9.669397
0.046062,0.32662,-9.745369
-0.27338,0.471386,-9.897314
-0.278764,0.489332,-9.865011
-0.346959,0.506082,-9.662219
-0.162712,0.370888,-9.632906
-0.026321,0.288933,-9.562318
-0.141177,0.302692,-9.668201
-0.055035,0.390628,-9.826725
-0.138186,0.464208,-9.870992
-0.171685,0.531805,-9.817153
-0.087936,0.432503,-9.854841
-0.17348,0.377468,-9.637692
-0.132203,0.321835,-9.615559
-0.175872,0.371486,-9.707084
-0.154337,0.439083,-9.664013
-0.068794,0.466002,-9.860823
-0.032303,0.454038,-9.868599
-0.065803,0.367896,-9.719646
-0.039482,0.301496,-9.4684
-0.156132,0.342772,-9.532408
-0.109472,0.377468,-9.568898
-0.141775,0.473779,-9.818949
-0.241675,0.488734,-9.874582
-0.088534,0.488734,-9.975079
-0.156132,0.465404,-9.843474
-0.102891,0.346361,-9.680164
-0.12682,0.354736,-9.611371
-0.085543,0.338584,-9.690932
-0.095713,0.398405,-9.592826
-0.104088,0.391227,-9.766305
-0.040678,0.381655,-9.862617
-0.121436,0.451645,-9.772887
-0.271585,0.467199,-9.619148
-0.224925,0.467797,-9.873384
-0.183051,0.464806,-9.612567
-0.111864,0.382852,-9.654441
-0.025723,0.372084,-9.725628
-0.159123,0.41336,-9.762717
-0.205783,0.418744,-9.875778
-0.184846,0.454636,-9.832109
-0.189631,0.400798,-9.679566
-0.065803,0.369691,-9.617353
-0.089133,0.399003,-9.762717
-0.091525,0.44686,-9.815359
-0.065204,0.474975,-9.884751
-0.299701,0.44686,-9.78844
-0.197408,0.415753,-9.642477
-0.044865,0.34995,-9.614362
0.005982,0.382253,-9.728021
-0.002991,0.378664,-9.808779
-0.093918,0.386441,-9.676575
-0.171685,0.36012,-9.689736
-0.211765,0.396012,-9.552746
-0.163908,0.430708,-9.739387
-0.097508,0.491725,-9.844073
-0.013161,0.437288,-9.766904
-0.15673,0.454636,-9.710075
-0.120838,0.404387,-9.693923
-0.201595,0.485743,-9.767502
-0.107677,0.413958,-9.780065
-0.160319,0.388235,-9.659228
-0.17348,0.41994,-9.732209
-0.141775,0.497109,-9.890733
-0.157926,0.486341,-9.814163
-0.108275,0.517448,-9.87817
-0.081954,0.422931,-9.656236
-0.101097,0.364905,-9.622138
0.009571,0.348156,-9.693923
-0.009571,0.374477,-9.727423
-0.040678,0.407378,-9.748958
-0.075972,0.441476,-9.900304
-0.26321,0.422333,-9.747762
-0.412762,0.464806,-9.796814
-0.345763,0.492323,-9.622138
-0.15015,0.457029,-9.786046
0.097508,0.434896,-9.870394
-0.039482,0.454038,-9.87518
-0.378066,0.498305,-9.669397
-0.343968,0.47677,-9.734601
-0.184846,0.434896,-9.687343
-0.148953,0.39003,-9.736395
-0.11665,0.390628,-9.726226
-0.165105,0.455235,-9.875778
-0.287139,0.515653,-9.794422
-0.218345,0.494118,-9.766305
-0.138784,0.435494,-9.717851
-0.096311,0.332004,-9.664611
-0.238086,0.386441,-9.651451
-0.257827,0.526421,-9.73819
-0.058026,0.527019,-9.879965
-0.059222,0.539581,-9.929616
-0.074178,0.458226,-9.681361
-0.132802,0.369691,-9.62513
-0.267996,0.366102,-9.594022
-0.29671,0.361914,-9.547363
