X,Y,Z
0.05116,0.064904,0.011148
0.05116,0.064904,0.011148
-3.306613,4.477337,1.1104
0.572381,-0.569479,-0.334449
0.091935,-0.304822,-0.018326
0.06017,-0.213192,-0.052382
0.008858,-0.046884,-0.036499
0.008094,0.005803,-0.026573
-0.003512,0.011912,-0.023366
0.004276,0.008399,-0.011301
0.015882,0.043219,0.0
0.020311,0.01069,-0.002138
0.010232,-0.010232,-0.015119
0.00336,-0.012675,-0.014203
0.003818,0.001527,-0.017257
0.009621,-0.020922,-0.027031
0.016035,-0.005803,-0.013897
0.013592,0.011148,-0.016646
0.008247,0.002596,-0.004429
0.00168,-0.006414,-0.010537
0.007483,-0.018631,-0.00336
0.012065,-0.004581,-0.011148
0.007178,-0.000611,-0.011148
-0.006872,0.017868,0.003665
0.005345,0.008705,-0.000764
0.018937,0.002291,-0.004734
0.031765,0.003054,-0.005956
0.008705,0.014813,-0.011148
0.006567,0.043219,-0.007483
0.004429,-0.004887,-0.013134
0.009468,-0.016799,-0.011454
0.002443,-0.012981,-0.012828
0.003665,-0.029322,-0.014203
-0.000153,-0.030696,-0.008094
0.017104,-0.015272,-0.006109
0.010385,-0.026725,-0.01741
0.011912,-0.017715,-0.01741
0.010537,-0.004276,-0.013134
0.004581,0.019853,-0.00504
0.011454,0.008552,-0.005498
0.015119,-0.00901,-0.009621
0.003665,-0.029169,-0.024282
0.000764,-0.012981,-0.021075
0.002138,-0.012217,-0.01909
0.010537,0.01237,-0.011148
0.01741,0.030543,-0.007178
0.010537,0.036346,-0.012523
0.011454,0.032223,-0.009774
0.011148,0.027336,-0.004123
0.015577,0.00336,-0.00672
0.005498,-0.014355,-0.016952
-0.001069,-0.001069,-0.017257
-0.007025,-0.003512,-0.016799
0.007025,0.00901,0.001069
0.008858,0.002596,0.002596
0.013439,-0.02474,-0.038332
0.009621,-0.067042,-0.024435
0.004276,-0.119424,-0.051313
-0.015882,-0.060781,-0.022449
-0.048869,-0.040623,0.035736
-0.003818,-0.019395,-0.017868
0.018784,0.087659,0.001833
0.026114,0.051465,0.004276
0.034056,-0.009316,-0.014203
0.011759,0.000153,-0.028863
-0.002291,-0.022602,-0.036041
-0.000611,-0.014355,-0.014203
0.009468,0.003971,-0.004276
0.012828,0.011148,-0.001527
0.01909,0.076358,0.003665
0.010843,0.029627,-0.006872
-0.00336,-0.009468,-0.019395
-0.008399,-0.005345,-0.016646
0.005498,0.012828,-0.00733
0.009621,0.004734,-0.006109
0.009163,-0.012981,-0.013744
0.019853,0.010385,-0.004734
0.01069,-0.012981,-0.012217
0.003512,-0.026573,-0.020006
-0.003818,-0.018173,-0.029169
-0.009774,0.004276,-0.013592
0.002749,0.052687,0.00168
0.009316,0.041233,0.011148
0.017104,0.010843,0.004887
0.022907,-0.023671,-0.016646
0.008247,-0.030238,-0.027031
-0.007025,0.016799,0.001069
0.007483,0.029627,-0.000305
0.014966,0.043219,0.000764
0.012523,0.055131,-0.007483
0.01573,0.024435,-0.023671
0.010843,-0.027947,-0.027947
0.001985,-0.033903,-0.01909
-0.007789,-0.015272,-0.004887
0.003207,0.030238,0.005803
0.01573,0.021686,-0.003054
0.015424,0.003665,-0.015577
0.002596,-0.040317,-0.034361
0.006261,-0.062919,-0.040012
0.005192,-0.036805,-0.030238
0.01069,-0.020006,-0.018021
0.012217,0.021533,-0.010079
0.010537,0.025962,-0.000916
0.010385,0.027947,0.001222
0.014355,0.024893,-0.009774
0.013439,0.0,-0.023366
0.009927,-0.00504,-0.038943
0.001222,-0.006414,-0.027184
-0.001222,0.007941,-0.011301
0.006109,0.006872,0.001527
0.008552,0.017562,0.006872
0.019395,0.02306,-0.001985
0.010385,-0.002291,-0.022755
0.004123,-0.03146,-0.031765
0.006414,-0.023366,-0.028711
0.005345,0.014355,-0.011454
0.007636,0.048564,-0.004429
0.016799,0.035888,-0.001527
0.013286,-0.003054,-0.010537
0.009927,-0.041386,-0.017868
0.000916,-0.030391,-0.021228
-0.007636,-0.016035,-0.012981
-0.006261,-0.004276,-0.015577
-0.008094,0.008399,0.023824
0.029627,0.00733,-0.018937
0.016493,0.035888,-0.011148
0.005192,-0.018173,-0.023976
0.001985,-0.026267,-0.031612
-0.00504,-0.006872,-0.014661
0.00168,0.031765,-0.011759
0.002596,0.008858,-0.003971
0.011912,0.022755,0.00504
0.013897,0.015424,-0.002902
0.004123,-0.010996,-0.016341
0.005345,-0.024435,-0.032681
0.013592,-0.010843,-0.029169
0.010385,0.000458,-0.030849
0.009621,-0.007025,-0.02474
0.008399,0.03879,-0.007483
0.014661,0.064752,0.005192
0.009316,0.007636,-0.001069
0.013439,-0.006872,-0.004276
-0.000916,-0.009774,-0.019548
0.001374,-0.018173,-0.021686
-0.001374,0.028253,-0.002596
0.003207,0.020769,-0.002443
0.011606,-0.014813,0.000916
0.022602,-0.036041,-0.006872
0.00733,-0.029169,-0.012675
-0.002902,0.010385,-0.009163
-0.000153,0.004429,-0.012065
0.01573,-0.003512,-0.00733
0.002902,0.00672,-0.000916
0.002138,-0.008247,-0.002138
0.001069,-0.015424,-0.019395
0.008399,-0.004276,-0.02474
0.009927,-0.002902,-0.025045
0.016952,-0.004123,-0.019242
0.012065,0.009316,-0.015577
0.009468,0.01237,-0.011148
0.007025,0.022602,-0.008399
0.022907,0.012981,-0.008094
0.011301,-0.000458,-0.009316
0.016341,0.029169,-0.000458
0.007941,0.032987,-0.008552
0.025351,0.028253,-0.003665
0.014813,-0.009468,-0.015119
0.018173,-0.025504,-0.024129
0.006567,-0.0281,-0.020006
0.011148,0.001069,-0.003207
0.000458,0.036346,0.004123
0.005651,0.01741,0.000764
0.010843,0.028405,0.0
0.010537,-0.006872,-0.018937
0.006414,-0.015119,-0.036346
0.01405,0.013439,-0.035125
0.008858,0.040164,-0.030391
0.016646,0.014661,-0.029627
0.010843,0.031154,-0.017868
0.013897,0.023671,-0.003512
0.020464,0.034514,-0.00168
0.031765,0.041386,-0.004429
0.011454,-0.000305,-0.031918
0.014966,-0.021838,-0.018631
0.000153,0.018173,-0.000611
0.010385,-0.000458,-0.001222
-0.001222,-0.003665,-0.012217
0.012065,0.015577,-0.007178
0.009774,0.008247,-0.016493
0.013286,0.008705,-0.006414
0.00733,0.033292,0.00336
0.012981,0.015882,-0.002291
0.011301,-0.01405,-0.010079
0.005956,-0.036652,-0.01909
0.004276,-0.023366,-0.003054
0.008552,0.005498,-0.001527
0.001069,0.012523,-0.001985
0.01069,0.036957,-0.000916
0.020006,0.044288,0.002749
0.01573,0.021991,-0.004734
0.010232,-0.020769,-0.008399
0.002291,-0.034972,-0.006261
-0.001374,-0.016799,-0.006414
-0.005498,-0.000458,-0.001222
0.003512,0.000764,-0.001833
0.013592,0.019242,-0.001985
0.010537,0.005956,-0.010385
0.002902,-0.030849,-0.021533
-0.001985,-0.010996,-0.020311
-0.001374,-0.014813,-0.014966
0.011606,-0.021228,-0.005498
0.012217,-0.00901,-0.003512
0.009468,0.015272,0.001527
0.012981,0.004887,-0.004734
-0.003818,-0.017104,-0.015882
0.002749,-0.014355,-0.011606
-0.000305,-0.012523,-0.001833
0.011912,-0.020006,-0.002902
0.007483,0.008552,-0.007025
0.006414,-0.009163,-0.011759
0.009774,0.014813,-0.004581
0.010537,0.032834,0.001222
0.01237,0.027947,0.00168
0.009163,0.026878,-0.003512
0.010843,-0.000916,-0.012981
-0.001374,0.007025,-0.021686
-0.000764,0.021075,-0.021075
-0.003512,0.022602,-0.013592
-0.002138,0.013439,-0.00672
0.008094,0.010232,0.008247
0.00733,0.006109,0.010079
0.020159,0.031765,0.005651
0.019853,-0.004276,-0.009468
0.007789,0.007178,-0.018631
0.014355,0.028405,-0.010537
0.014355,0.018021,-0.012065
0.015882,-0.004123,-0.009621
0.016341,0.004123,-0.01405
0.00672,0.006109,-0.021991
0.003665,0.010079,-0.019395
0.00901,0.022755,-0.008552
0.014966,0.012065,-0.00336
0.002291,-0.003512,-0.003512
0.000305,-0.007941,-0.004734
-0.005498,-0.004581,-0.008705
-0.00168,-0.001527,-0.002291
0.010232,0.022602,-0.002443
0.021686,0.009316,-0.011148
0.025656,-0.010385,-0.028253
0.00504,-0.011454,-0.033139
0.002596,0.005956,-0.031612
0.003971,-0.002596,-0.020159
0.002749,-0.016493,-0.010537
0.011454,0.005498,0.004734
0.011759,0.003665,0.004429
0.006109,-0.009163,-0.003665
0.004123,-0.003665,-0.014966
0.0,-0.011148,-0.027336
-0.003818,-0.013744,-0.024282
-0.006261,0.013897,-0.01573
-0.000305,0.012981,-0.007483
0.011301,0.016646,0.001222
0.007789,0.018479,-0.005192
0.00504,-0.025351,-0.023976
-0.000305,-0.024893,-0.028558
-0.008247,0.000153,-0.025351
-0.005498,0.009468,-0.012675
0.00672,0.034361,-0.000916
0.016188,0.024893,-0.001069
0.012828,-0.005956,-0.007636
0.005498,-0.028558,-0.018326
-0.006109,-0.030696,-0.024129
-0.004429,-0.039248,-0.021533
0.000916,-0.003665,-0.010232
0.007636,0.017715,-0.008247
0.011454,0.013744,-0.009163
0.007483,0.003818,-0.011912
0.009621,-0.010996,-0.014203
0.002596,-0.037721,-0.023213
0.001985,-0.059712,-0.021838
0.010232,-0.007025,-0.009163
0.003207,0.033445,-0.003512
0.007789,0.011912,-0.010843
0.011148,0.005345,-0.014355
0.001527,-0.013134,-0.025809
0.005498,-0.04612,-0.022144
0.000764,-0.010537,-0.012675
0.008094,0.000458,-0.009774
0.004123,-0.008858,-0.008094
0.010996,0.001069,-0.010385
0.010385,-0.015424,-0.016341
0.009927,-0.047189,-0.027947
0.002443,-0.070555,-0.03543
-0.003054,-0.013286,-0.034208
-0.008552,-0.010537,-0.023824
-0.002138,0.012828,-0.000305
0.006109,0.025504,-0.000458
0.00733,-0.00901,-0.000305
0.003971,-0.019395,-0.011148
0.000305,-0.016799,-0.022144
-0.007789,0.020769,-0.01069
-0.003054,0.036957,0.004734
0.016646,0.029016,0.004887
0.023518,0.006567,-0.00336
0.007483,-0.038179,-0.017104
-0.003512,-0.01405,-0.01741
-0.003665,0.033445,-0.00901
-0.00733,0.038332,-0.001985
-0.000764,0.039248,0.002443
0.011301,0.048106,0.005956
0.016646,0.021686,-0.00168
0.012675,-0.009927,-0.021075
0.008552,0.016799,-0.020769
-0.005345,-0.015119,-0.02642
-0.001985,0.00336,-0.009468
0.002443,0.028253,0.009774
0.009468,0.012675,0.007483
0.013134,0.02306,-0.001374
0.020464,-0.012523,-0.018021
0.01573,-0.046731,-0.037721
-0.000916,-0.044746,-0.030238
0.003971,-0.01573,-0.016493
0.004734,-0.002138,0.000153
0.007941,0.014661,0.004734
0.016341,0.005956,-0.000764
0.007789,0.000305,-0.014813
-0.004581,-0.013286,-0.021533
-0.009163,-0.028863,-0.022449
-0.002443,-0.034819,-0.014508
0.002749,-0.023976,-0.008552
0.016341,0.002596,-0.001985
0.016799,0.014966,-0.010079
0.010079,-0.016952,-0.024893
0.002749,-0.009316,-0.022755
0.007789,0.000916,-0.012217
0.01405,0.012828,-0.009316
0.00504,0.008858,-0.00901
0.018326,0.004734,-0.008552
0.011912,-0.023671,-0.017257
0.000458,-0.025809,-0.01237
-0.005956,-0.002443,-0.012065
0.000458,-0.01237,-0.010385
0.001374,-0.009927,-0.016493
0.009621,0.021228,-0.011148
0.018173,0.000305,-0.018631
0.014966,-0.020769,-0.022449
0.009774,0.012217,-0.017868
0.010537,0.006567,-0.010996
0.005192,0.024587,0.000916
0.006261,0.031001,0.004734
0.0,0.000611,-0.000153
0.000764,-0.031918,-0.012675
-0.000305,-0.049633,-0.022297
-0.005651,-0.020464,-0.020311
-0.003054,0.028558,-0.004734
0.012675,0.044899,0.001069
0.020769,0.036346,-0.000153
0.017868,-0.004123,-0.007636
0.01069,-0.061087,-0.022449
-0.004429,-0.058643,-0.026573
-0.027489,-0.002749,-0.00672
-0.00733,0.035125,0.005651
0.016188,0.039095,0.00672
0.027794,0.049175,-0.000916
0.018021,0.017715,-0.018784
0.007636,-0.024893,-0.040317
-0.00336,-0.033292,-0.041233
-0.010996,0.019395,-0.013439
0.010079,0.029016,0.004123
0.010996,0.007178,0.009468
0.012981,-0.006414,0.005498
-0.001222,-0.001527,-0.009774
-0.003207,-0.016646,-0.026267
0.00168,0.003818,-0.023518
0.016188,0.030391,-0.017715
0.023824,0.001069,-0.012675
0.01741,0.026878,0.002291
0.007178,0.028711,-0.001985
0.000458,-0.027947,-0.011912
-0.002596,-0.00901,-0.008399
0.006414,-0.00901,-0.010537
-0.001069,-0.031307,-0.021533
0.008399,0.004123,-0.009468
0.006872,0.032223,-0.002902
0.009774,-0.011912,-0.007636
0.005192,-0.010537,-0.010996
0.003971,-0.027184,-0.016035
0.002443,-0.024435,-0.016646
0.006567,-0.018784,-0.020159
0.001222,0.005192,-0.010843
0.008247,0.046884,0.001222
0.016952,0.025504,-0.003512
0.00672,0.009163,-0.010079
0.01237,0.002749,-0.013439
0.007941,-0.023518,-0.01237
0.010079,-0.034361,-0.018631
0.006261,0.007025,-0.010537
0.003818,0.0281,-0.010843
0.007941,0.03375,-0.002749
0.012065,0.025351,0.000916
0.003971,-0.012981,-0.010232
0.002291,-0.034208,-0.016035
-0.002902,-0.022449,-0.024282
0.013439,-0.013439,-0.019395
0.008094,0.002443,-0.017715
0.004276,0.003512,-0.017868
-0.001374,-0.004887,-0.014508
0.000153,-0.008705,-0.011912
0.000458,-0.011759,-0.008552
0.005956,-0.025962,-0.010079
0.006567,-0.028863,-0.00672
-0.003665,-0.01237,-0.005651
-0.007789,-0.031765,-0.009621
0.002596,0.025962,0.008858
0.015272,0.056963,0.005498
0.012675,-0.022144,-0.024587
0.015119,-0.002291,-0.024435
0.006414,0.023518,-0.008094
-0.005498,-0.000153,-0.00504
-0.000611,0.004429,0.003818
0.007789,0.01909,-0.001833
0.021533,0.00336,-0.013592
0.022144,-0.044135,-0.039706
0.019548,-0.050549,-0.038943
0.005651,-0.019548,-0.03146
0.005498,0.038026,-0.013439
0.006414,0.039554,-0.000458
0.004123,0.046578,0.002443
0.008552,0.005956,-0.008552
0.009163,-0.039248,-0.021075
0.015577,-0.049175,-0.022144
-0.006567,-0.011454,-0.011912
0.003054,0.032376,-0.000764
0.009163,0.055283,0.008858
0.022755,0.06017,0.016493
0.017715,0.013439,-0.011454
0.000305,-0.029474,-0.02138
-0.002749,-0.001222,-0.01237
-0.01237,-0.001833,-0.005192
0.011148,0.006567,0.002443
0.017562,0.038485,0.001527
0.020311,0.021075,-0.00168
0.010843,0.009316,-0.016646
-0.001069,-0.009621,-0.025504
-0.005803,-0.001222,-0.020464
0.006872,0.014813,-0.008247
0.008552,0.029322,0.000305
0.01405,0.019548,0.000153
0.024435,0.000153,-0.000611
0.01069,-0.012981,-0.025809
0.004887,-0.025198,-0.041539
-0.00336,-0.030849,-0.001222
0.004581,-0.01741,-0.027031
0.004581,0.052993,0.005956
0.017868,0.043066,0.008399
0.011606,-0.03879,-0.004581
0.01237,-0.031154,-0.025656
-0.004581,-0.041386,-0.027794
-0.004734,-0.013592,-0.015577
0.034208,0.039401,-0.002291
0.013134,0.040623,-0.004887
0.021838,0.010996,-0.009774
0.025045,-0.002443,-0.016188
0.015577,-0.021075,-0.023976
-0.000611,-0.039248,-0.021228
-0.003054,0.021533,-0.002902
0.010079,0.068417,0.018326
0.017715,0.061545,0.008399
0.02474,0.021228,-0.003665
0.014355,-0.004276,-0.022144
0.007178,-0.036805,-0.031612
-0.005192,-0.016799,-0.022755
-0.010843,-0.000611,-0.005192
0.000764,0.011912,0.003665
0.009316,0.047037,0.00733
0.013592,0.018784,-0.008552
0.012828,-0.020006,-0.025809
0.007636,-0.033903,-0.039095
-0.006414,-0.01741,-0.034514
0.001985,0.049327,-0.002138
0.010843,0.059559,0.013744
0.022449,0.018479,0.004123
0.013286,-0.030391,-0.010385
-0.002749,-0.066279,-0.024893
-0.013592,-0.083994,-0.042761
-0.028863,-0.011912,-0.025351
-0.00336,0.047953,-0.006567
0.014508,0.03879,-0.000458
0.027184,0.03543,-0.000916
0.014813,-0.001527,-0.019853
0.005345,-0.052229,-0.032376
-0.003512,-0.039248,-0.027794
-0.016952,-0.004429,-0.017715
-0.00504,0.029932,0.006567
0.012523,0.045509,0.017257
0.028253,0.019853,0.001374
0.019242,-0.02978,-0.017868
0.008705,-0.061392,-0.076358
-0.004123,-0.044899,-0.037415
-0.020617,0.034208,-0.016493
0.010079,0.04215,0.002749
0.027489,0.049327,0.017257
0.027947,0.02306,0.00504
0.001833,-0.053756,-0.021838
-0.005651,-0.04444,-0.025504
-0.027642,-0.003665,-0.019242
-0.005498,0.027947,0.001527
0.000153,0.062614,0.018479
0.032223,0.031612,0.009468
0.030543,-0.014661,-0.012675
0.014355,-0.048106,-0.032223
-0.011148,-0.053603,-0.041233
-0.016952,-0.00901,-0.018784
0.006567,0.079412,0.012217
0.02978,0.071166,0.017715
0.037721,0.011912,-0.005956
0.022297,-0.03207,-0.040928
0.001374,-0.072998,-0.049022
-0.021533,-0.051465,-0.038179
-0.009163,0.033598,-0.002596
0.018173,0.078343,0.021686
0.029932,0.039859,0.018173
0.016646,-0.005192,-0.006872
-0.00504,-0.050396,-0.032529
-0.016188,-0.04047,-0.029169
-0.010996,0.027794,-0.012981
0.017715,0.041386,0.000458
0.031307,0.062461,0.015119
0.027794,0.050549,0.003054
-0.00168,-0.033292,-0.020159
-0.003207,-0.063072,-0.026878
-0.013134,-0.050244,-0.020617
-0.016952,-0.008858,-0.004734
-0.002138,0.046426,0.011301
0.016799,0.072388,0.020311
0.022297,0.030391,-0.000153
0.016035,-0.042761,-0.020464
-0.001833,-0.045509,-0.033292
-0.020006,-0.027947,-0.036194
-0.013134,-0.0197,-0.022602
0.008094,0.027336,0.002443
0.02306,0.023213,0.002749
0.016035,-0.022297,-0.01405
0.001069,-0.039554,-0.03207
-0.003512,-0.023366,-0.030238
-0.01069,-0.001374,-0.022449
0.011454,0.055131,0.00672
0.025962,0.06185,0.017562
0.03207,0.017562,0.004581
0.013286,-0.023366,-0.019853
-0.002443,-0.02642,-0.023976
-0.015424,-0.031765,-0.038332
0.000611,-0.000764,-0.021686
0.013897,0.049786,-0.004887
0.026267,0.040928,-0.004734
0.029474,0.013286,-0.018173
0.011301,-0.033139,-0.023366
-0.004887,-0.031307,-0.01909
-0.009927,0.022297,-0.004276
-0.002596,0.031918,0.002443
0.010079,0.004429,0.00168
0.010385,0.002902,-0.007025
0.009774,-0.030391,-0.023213
-0.005803,-0.027336,-0.023518
0.000458,0.027184,-0.010232
0.005192,0.049786,-0.000153
0.010385,0.03207,0.003512
0.013744,0.005345,-0.003054
0.010843,-0.036957,-0.015882
