X,Y,Z
8.184052,1.340579,-4.574479
9.556336,0.914058,-0.327817
9.598809,0.89671,-0.373879
9.600604,0.93021,-0.359522
9.535997,0.949951,-0.367298
9.545568,0.949352,-0.318245
9.562916,0.949352,-0.381057
9.475578,0.961316,-0.305683
9.428918,0.948754,-0.384646
9.431311,0.884148,-0.351745
9.531809,0.864407,-0.312263
9.623335,0.897308,-0.34337
9.635897,0.89013,-0.417548
9.661023,0.895514,-0.363111
9.570693,0.935594,-0.424726
9.505489,0.909871,-0.378066
9.535997,0.959522,-0.358923
9.522238,0.901496,-0.324227
9.48515,0.933799,-0.381057
9.516855,0.923629,-0.4002
9.506087,0.924826,-0.380459
9.446865,0.937388,-0.421735
9.565907,0.896112,-0.332004
9.565309,0.895514,-0.301496
9.587443,0.875175,-0.332602
9.602397,0.903291,-0.335593
9.553344,0.901496,-0.435494
9.63829,0.794417,-0.355334
9.547363,0.941576,-0.372682
9.471989,0.918844,-0.382253
9.456436,0.904487,-0.35354
9.466007,0.959522,-0.42353
9.517453,0.938585,-0.418744
9.569497,0.893121,-0.371486
9.524033,0.985843,-0.339781
9.964313,0.246461,-0.22672
9.262019,0.914657,-0.48993
9.646067,0.89671,-0.342174
9.480364,0.931406,-0.355932
9.560523,0.894318,-0.355334
9.647861,0.921237,-0.248854
9.60479,0.908076,-0.379861
9.562916,0.865005,-0.26321
9.532408,0.848256,-0.292523
9.504292,0.884746,-0.305085
9.536596,0.918246,-0.334995
9.510872,0.931406,-0.40678
9.601202,0.898505,-0.333201
9.626925,0.879362,-0.358325
9.62812,0.865005,-0.281157
9.549157,0.856032,-0.265603
9.543773,0.802792,-0.295514
9.510872,0.829711,-0.309871
9.524631,0.86022,-0.345165
9.555738,0.884746,-0.33679
9.540783,0.889532,-0.310469
9.568898,0.887139,-0.343968
9.549756,0.874577,-0.30329
9.520443,0.868595,-0.369093
9.543175,0.877568,-0.309272
9.550952,0.86022,-0.306281
9.527622,0.89013,-0.348754
9.535399,0.879362,-0.346361
9.548559,0.848256,-0.375075
9.580265,0.841077,-0.351147
9.620345,0.859023,-0.320638
9.580862,0.821336,-0.265005
9.555738,0.854836,-0.27338
9.507881,0.884746,-0.346959
9.486944,0.915255,-0.375673
9.537792,0.886541,-0.415155
9.601202,0.873978,-0.329611
9.594022,0.859023,-0.382852
9.579069,0.854836,-0.299103
9.570095,0.816551,-0.321835
9.507881,0.812363,-0.268594
9.616157,0.767498,-0.318844
9.643075,0.769292,-0.324227
9.560523,0.850648,-0.361316
9.582657,0.879961,-0.285942
9.531211,0.867996,-0.287139
9.526426,0.885943,-0.33021
9.494123,0.882952,-0.305683
9.603594,0.820738,-0.303888
9.643673,0.830309,-0.328415
9.612567,0.801596,-0.328415
9.567702,0.835095,-0.367896
9.544371,0.820738,-0.277567
9.563514,0.862014,-0.347558
9.586844,0.818345,-0.325424
9.564112,0.839881,-0.407378
9.507283,0.894318,-0.412164
9.510274,0.847657,-0.333799
9.687343,0.823729,-0.323031
9.63829,0.780658,-0.311665
9.500702,0.844666,-0.367896
9.531211,0.863809,-0.339183
9.541381,0.789631,-0.314656
9.519248,0.814158,-0.315853
9.527622,0.789631,-0.352343
9.484552,0.818944,-0.33021
9.550354,0.832104,-0.357727
9.582059,0.870389,-0.382253
9.681361,0.846461,-0.416351
9.543773,0.845863,-0.393021
9.471989,0.838684,-0.357129
9.478569,0.857827,-0.375075
9.442079,0.826122,-0.394218
9.666406,1.314258,-0.699901
9.298509,0.845265,-0.407378
9.696914,0.796212,-0.389432
9.558131,0.839881,-0.386441
9.620345,0.847059,-0.355932
9.60838,0.889532,-0.345763
9.549756,0.841077,-0.385244
9.52164,0.825524,-0.367896
9.506087,0.835693,-0.391227
9.494721,0.882952,-0.382852
9.500702,0.846461,-0.363111
9.544371,0.846461,-0.370888
9.588041,0.857827,-0.346959
9.590434,0.836291,-0.365504
9.588639,0.797408,-0.357129
9.604192,0.767498,-0.3667
9.586844,0.751346,-0.373879
9.489935,0.77348,-0.294915
9.50848,0.831506,-0.317049
9.463614,0.911665,-0.372682
9.571291,0.871586,-0.331406
9.561719,0.804587,-0.363111
9.670594,0.774676,-0.318245
9.627523,0.734596,-0.309871
9.64487,0.708275,-0.337986
