X,Y,Z
-3.865097,2.611602,3.679241
-0.683864,0.939511,0.249538
0.07758,-0.278707,-0.029474
0.045662,-0.128434,-0.027184
0.011454,-0.008552,-0.015424
0.001374,-0.000153,-0.018021
0.003207,0.006872,-0.023518
0.005803,0.021991,-0.03146
-0.000153,0.017104,-0.037415
-0.012217,-0.014355,-0.025656
-0.007178,-0.026573,-0.021838
0.000611,-0.023366,-0.016188
0.004123,-0.013439,-0.012981
0.014203,0.008399,-0.015119
0.021991,0.023824,-0.015272
0.021838,0.023824,-0.009927
0.018784,0.027031,-0.00672
0.014508,0.033139,-0.004581
0.014813,0.027947,-0.012065
0.005956,0.013134,-0.016952
0.006567,0.001985,-0.021228
0.006109,-0.009774,-0.023518
-0.004581,-0.014508,-0.022449
-0.005192,-0.01069,-0.018784
0.000305,-0.000916,-0.015424
0.003971,0.008552,-0.014355
0.00672,0.012523,-0.013134
0.005498,0.02306,-0.015882
0.005192,0.030849,-0.016799
-0.002902,0.018021,-0.016341
-0.010996,0.008858,-0.014966
-0.019395,-0.006872,-0.020464
-0.029169,-0.0281,-0.026725
-0.030543,-0.038485,-0.033903
-0.034667,-0.046578,-0.032376
-0.004276,-0.024129,-0.076053
-0.010996,0.014508,-0.016799
-0.012981,-0.010537,-0.002749
-0.01405,-0.005956,0.002138
-0.002291,-0.032681,-0.017562
-0.003665,-0.038179,-0.026878
-0.00168,-0.011759,-0.030238
0.004123,0.012981,-0.025504
-0.008705,0.014661,-0.008399
-0.008247,0.004429,-0.00672
-0.008552,0.00168,-0.006109
-0.012217,-0.016035,-0.011912
-0.012828,-0.01741,-0.02474
-0.011606,-0.017257,-0.024587
-0.007025,0.006261,-0.027031
-0.006261,0.021228,-0.019242
-0.008247,0.021838,-0.013592
0.003818,0.032834,-0.007941
0.002291,0.022449,-0.006109
-0.00336,0.023213,-0.007941
-0.003054,0.01237,-0.009163
-0.002138,0.007789,-0.014508
-0.002749,0.004123,-0.016035
0.002138,-0.008552,-0.014813
-0.003665,-0.008247,-0.013286
0.001069,0.000458,-0.018631
0.000458,0.005956,-0.023824
-0.00733,-0.000916,-0.025045
-0.014966,-0.01069,-0.025045
-0.006414,-0.013592,-0.021228
-0.005192,-0.004581,-0.021228
0.002138,0.00336,-0.011606
-0.007178,0.010537,-0.009774
-0.009163,0.013286,-0.015424
-0.013897,0.008399,-0.021228
-0.019853,-0.003818,-0.028253
-0.025045,-0.008094,-0.034667
-0.031001,-0.004887,-0.02978
-0.038637,-0.000458,-0.033139
-0.033139,0.010843,-0.027489
-0.030238,0.008858,-0.020922
-0.021686,0.008858,-0.015119
-0.009163,0.018937,-0.012065
0.005345,0.025045,-0.010385
0.006872,0.022602,-0.008399
-0.003818,0.011454,-0.010232
-0.005498,0.007178,-0.012675
-0.020311,-0.001985,-0.0197
-0.021533,-0.00504,-0.021686
-0.011606,0.013134,-0.020311
-0.005651,0.023671,-0.013744
-0.039095,0.028558,-0.01069
-0.002902,0.025656,-0.015272
-0.004734,0.018021,-0.010843
-0.007178,0.016035,-0.005956
-0.007483,0.020617,-0.003665
-0.014355,0.011759,-0.00336
-0.020311,-0.002443,-0.008705
-0.015424,-0.005651,-0.012981
-0.00168,0.015119,-0.015272
0.007025,0.030085,-0.016646
-0.003971,0.035888,-0.013286
-0.005498,0.028863,-0.011148
-0.006414,0.0197,-0.009774
-0.004581,0.014203,-0.008399
0.000153,0.00733,-0.005803
0.003054,0.007178,-0.006414
0.003818,0.016493,-0.005803
-0.002291,0.037415,-0.006414
0.003665,0.052993,-0.00504
0.012523,0.046578,-0.00504
0.00672,0.034056,-0.009163
0.00672,0.009927,-0.01405
0.025504,-0.01909,-0.025045
0.017562,-0.003818,-0.032223
0.003665,-0.035125,-0.008399
-0.000458,-0.011606,-0.002138
0.00168,-0.002749,-0.016646
-0.003207,0.015577,-0.006567
-0.009468,0.017868,-0.009163
-0.00504,0.007178,-0.015272
-0.010385,-0.000153,-0.017104
-0.013897,-0.009163,-0.0197
-0.027031,-0.025045,-0.026878
-0.03711,-0.034819,-0.027489
-0.028253,-0.026267,-0.030849
-0.030543,-0.019853,-0.030849
-0.029932,-0.014813,-0.023518
-0.019853,-0.014966,-0.022907
-0.000611,0.00336,-0.014966
0.006872,0.004123,-0.010232
0.001069,0.002596,-0.011759
-0.021838,-0.013286,-0.018784
-0.037874,-0.028405,-0.027489
-0.051465,-0.028405,-0.03207
-0.048716,-0.018173,-0.02978
-0.034361,-0.008552,-0.027336
-0.017715,0.014508,-0.020464
-0.001222,0.028863,-0.016035
0.00901,0.034972,-0.011301
0.01237,0.027794,-0.003207
0.005651,0.018173,-0.002138
-0.006414,0.005498,-0.00504
-0.01573,0.004887,-0.015882
-0.02306,0.003207,-0.017562
-0.018784,0.011301,-0.018784
-0.012523,0.014813,-0.015577
-0.01237,0.011301,-0.01573
-0.01069,-0.017868,-0.020159
-0.008247,-0.040623,-0.022907
-0.002443,-0.045051,-0.020922
-0.000764,-0.028558,-0.015119
-0.000458,0.002291,-0.008247
-0.008247,0.013286,-0.00901
-0.012675,0.020159,-0.011912
-0.02138,0.003818,-0.013592
-0.024893,-0.026878,-0.016646
0.008552,-0.005651,-0.07758
-0.01069,-0.020922,-0.016952
-0.004429,-0.002902,-0.008858
0.001527,0.013744,-0.002902
0.016799,0.032223,0.000458
0.014966,0.031765,0.00336
0.005803,0.014508,-0.00168
-0.00336,-0.000611,-0.015577
-0.012981,-0.013286,-0.02474
-0.01573,-0.0281,-0.026878
-0.024893,-0.01573,-0.020769
-0.005803,0.004734,-0.008858
0.00336,0.01741,-0.004887
0.021991,0.024435,-0.00168
0.025504,0.016188,-0.002443
0.025198,-0.001527,-0.005651
0.025504,-0.018479,-0.012675
0.02138,-0.034361,-0.010996
0.020311,-0.042608,-0.014813
0.018479,-0.030849,-0.013897
0.003971,-0.021228,-0.01405
0.006261,-0.003054,-0.010385
0.004123,0.008552,-0.014508
-0.002138,0.010537,-0.013439
0.004123,0.008552,-0.011759
0.003207,0.002291,-0.016341
0.000305,0.001985,-0.017104
-0.000153,0.00168,-0.019395
0.0,0.0,-0.015272
0.003971,0.010232,-0.013134
0.010232,0.013439,-0.012523
0.021991,0.008247,-0.00901
0.016188,0.01237,-0.010385
0.025962,0.008399,-0.016035
0.024435,0.002443,-0.016646
0.018479,0.017868,-0.012217
0.011606,0.029322,-0.004123
0.00672,0.040317,-0.005192
0.009468,0.039706,-0.002749
0.006567,0.030696,-0.005651
0.004429,0.01909,-0.014203
-0.005498,-0.004887,-0.016188
-0.012065,-0.029627,-0.027794
-0.011454,-0.038943,-0.026878
-0.001527,-0.014508,-0.020617
0.011454,0.005956,-0.018631
0.009621,0.01573,-0.009316
0.009621,0.003207,-0.009774
0.015424,0.003054,-0.006872
0.010079,-0.007636,-0.009927
0.005192,-0.01741,-0.017868
0.000305,-0.021838,-0.01909
-0.000916,-0.017715,-0.022602
-0.002902,-0.001069,-0.025809
0.010079,0.018937,-0.020006
0.008399,0.038637,-0.007941
0.017715,0.054214,0.000458
0.021838,0.052534,0.004887
0.025962,0.036041,0.00168
0.014203,0.010843,-0.007025
0.009468,-0.00733,-0.010843
0.003971,-0.004734,-0.012981
0.012675,0.007789,-0.014508
0.012065,0.014355,-0.012523
0.014813,0.015119,-0.00901
0.005192,0.007483,-0.006109
0.012523,0.018937,-0.006261
0.011148,0.02138,-0.006567
0.007025,0.003512,-0.010079
0.007025,-0.010232,-0.014203
0.003971,-0.022297,-0.019395
0.007025,-0.027031,-0.015577
0.003054,-0.012065,-0.012523
0.010079,0.003971,-0.007483
0.012523,0.025962,-0.008094
0.021533,0.036194,-0.00336
0.018021,0.031765,0.0
0.014203,0.029474,-0.002443
0.000916,0.014508,-0.01069
-0.005192,0.00168,-0.016646
-0.009621,0.005498,-0.022602
0.001985,0.012217,-0.007789
0.004734,0.029932,-0.001374
0.011148,0.039859,0.003054
0.016952,0.039706,0.000153
0.009468,0.022449,-0.005651
0.000916,0.00168,-0.013439
-0.009163,-0.013286,-0.016799
-0.004429,-0.005192,-0.017257
0.005956,0.008399,-0.016799
0.001833,0.022144,-0.009927
0.014661,0.02306,-0.004887
0.018326,0.020159,-0.002138
0.013744,0.00336,-0.003818
0.00336,-0.004123,-0.011912
-0.004887,-0.018784,-0.021533
-0.010079,-0.036194,-0.029016
-0.006567,-0.04215,-0.034972
-0.000458,-0.015424,-0.025045
0.009927,0.008247,-0.014813
0.011759,0.020922,-0.002443
0.015882,0.025656,-0.002596
0.00672,0.002596,-0.007789
0.005345,-0.01573,-0.011454
0.003054,-0.013592,-0.016035
-0.003818,-0.003818,-0.014355
-0.002596,0.019548,-0.00901
0.003054,0.042913,-0.00672
0.00733,0.044135,-0.003971
0.007789,0.038332,-0.000305
0.012217,0.026725,-0.001069
0.016035,0.018479,-0.006109
0.007941,0.010537,-0.003818
0.005651,0.013592,-0.007178
0.001985,0.006414,-0.010996
0.002291,0.004429,-0.009621
0.001985,0.013439,-0.009774
0.002443,0.005956,-0.009927
0.0,0.011912,-0.009163
0.006109,0.011606,-0.003512
0.01069,0.014661,-0.002596
0.009468,0.015577,-0.002291
0.004734,0.021686,-0.010385
0.009468,0.013439,-0.014508
0.007178,0.008552,-0.015272
0.006109,0.002291,-0.015882
0.00336,-0.00733,-0.017715
-0.000611,-0.012523,-0.014966
0.002291,-0.017257,-0.016341
0.005956,-0.022602,-0.0197
0.004276,-0.013897,-0.018784
0.006872,-0.006414,-0.015272
0.009774,0.010996,-0.015119
0.008399,0.013134,-0.009468
0.010537,0.018326,-0.010385
0.005345,0.001069,-0.010385
0.000153,-0.015272,-0.013744
0.004581,-0.014661,-0.014813
0.001222,0.007025,-0.010843
0.008094,0.024435,-0.006414
0.010537,0.04612,-0.000153
0.01741,0.052076,0.003207
0.016188,0.037263,-0.004429
0.003818,0.016799,-0.010232
-0.008858,-0.000458,-0.013439
-0.005956,-0.008552,-0.021533
-0.003207,-0.004887,-0.012981
0.003665,0.010079,-0.008552
0.006414,0.016799,-0.00168
