X,Y,Z
9.863216,-0.543171,0.131605
9.612567,-0.451047,-0.719043
9.577273,-0.41994,-0.643669
9.557532,-0.439083,-0.556331
9.629915,-0.524028,-0.500698
9.571291,-0.456431,-0.601197
9.525828,-0.401396,-0.38345
9.687343,-0.363111,-0.411566
9.596416,-0.269791,-0.486341
9.597612,-0.271585,-0.433101
9.653245,-0.33021,-0.500698
9.67478,-0.454038,-0.518644
9.658629,-0.478565,-0.467797
9.661621,-0.464806,-0.376271
9.662219,-0.477966,-0.374477
9.547363,-0.422333,-0.419342
9.440882,-0.393021,-0.461815
9.476775,-0.497109,-0.525225
9.574881,-0.431306,-0.464806
10.171291,-0.543769,-0.377468
10.130614,-0.467797,-0.270987
9.832109,-0.359522,-0.315853
9.658629,-0.37687,-0.363111
9.45524,-0.355334,-0.289532
9.335,-0.222533,-0.246461
9.475578,-0.226122,-0.202193
9.727423,-0.300897,-0.2668
9.678968,-0.238086,-0.34995
9.778868,-0.297906,-0.37687
9.701701,-0.318844,-0.311067
9.579069,-0.246461,-0.454636
9.656835,-0.224327,-0.394218
9.687343,-0.265005,-0.486939
9.789038,-0.364307,-0.368495
9.777073,-0.457627,-0.321236
9.656835,-0.429512,-0.389432
9.513265,-0.440878,-0.323031
9.439686,-0.495913,-0.248255
9.384651,-0.484547,-0.224327
9.463614,-0.450449,-0.223729
9.645469,-0.318245,-0.293121
9.886546,-0.252443,-0.305085
9.994821,-0.161516,-0.424128
10.007981,-0.113061,-0.449252
9.810574,-0.05324,-0.278166
9.512667,-0.041874,-0.365504
9.277572,-0.069392,-0.372682
9.287143,-0.161516,-0.295514
9.495918,-0.263809,-0.214756
9.74836,-0.382852,-0.402592
9.52164,-0.225524,-0.490529
9.454641,-0.192622,-0.447458
9.452847,-0.210568,-0.535394
9.570693,-0.293719,-0.534796
9.764512,-0.39003,-0.680758
9.818949,-0.41336,-0.60359
9.687941,-0.323629,-0.400798
9.556336,-0.236889,-0.378664
9.661621,-0.265603,-0.334397
9.713067,-0.285344,-0.324826
9.702897,-0.305683,-0.485145
9.585648,-0.299701,-0.664607
9.370294,-0.192622,-0.515653
9.386445,-0.246461,-0.57009
9.603594,-0.274576,-0.431904
9.835698,-0.331406,-0.348156
9.955938,-0.401396,-0.317049
9.942776,-0.338584,-0.409173
9.582657,-0.299103,-0.420539
9.32184,-0.302692,-0.456431
9.321242,-0.357129,-0.395414
9.440882,-0.357129,-0.288335
9.567104,-0.327219,-0.350549
9.57847,-0.29671,-0.413958
9.670594,-0.270987,-0.418744
9.685548,-0.347558,-0.403789
9.732209,-0.311665,-0.348156
9.64487,-0.279362,-0.330808
9.6347,-0.184846,-0.428913
9.653245,-0.119043,-0.370888
9.798609,-0.129811,-0.408575
9.785449,-0.107079,-0.437887
9.757333,-0.152542,-0.511466
9.613165,-0.262014,-0.427717
9.513265,-0.350549,-0.278166
9.462417,-0.418744,-0.242273
9.478569,-0.403789,-0.236889
9.729217,-0.393619,-0.20339
9.864412,-0.360718,-0.286541
9.741182,-0.268594,-0.314656
9.600604,-0.281755,-0.285942
9.507881,-0.264407,-0.142971
9.54497,-0.308076,-0.092124
9.672388,-0.294915,0.129212
9.815958,-0.290728,-0.058624
9.833305,-0.285942,-0.108873
9.701102,-0.210568,-0.147757
9.68495,-0.246461,-0.236291
9.738789,-0.297308,-0.209372
9.615559,-0.330808,-0.354736
9.541978,-0.29671,-0.342772
9.516855,-0.334995,-0.349352
9.479765,-0.30688,-0.245863
9.600006,-0.340379,-0.225524
9.669995,-0.3667,-0.154935
9.767502,-0.370888,-0.165703
9.680164,-0.318245,-0.304487
9.662817,-0.257827,-0.247657
9.594621,-0.21655,-0.220738
9.544371,-0.247657,-0.23988
9.582059,-0.27338,-0.241077
9.559926,-0.281157,-0.220738
9.658031,-0.317049,-0.32004
9.661621,-0.288933,-0.339781
9.719048,-0.294317,-0.323629
9.728619,-0.340977,-0.3667
9.710673,-0.379262,-0.289532
9.664013,-0.37328,-0.235095
9.582059,-0.346959,-0.22672
9.539587,-0.378066,-0.188435
9.41516,-0.366102,-0.21655
9.448659,-0.323629,-0.162114
9.546765,-0.336192,-0.003589
9.607782,-0.292523,-0.130409
9.667004,-0.297906,-0.177667
9.67478,-0.297906,-0.117847
9.661023,-0.29013,-0.128614
9.670594,-0.291924,-0.117248
9.732807,-0.329611,-0.084945
9.652647,-0.285344,-0.138784
9.637094,-0.269791,-0.202792
9.650254,-0.284148,-0.214158
9.701102,-0.286541,-0.137587
9.707084,-0.334397,-0.162712
9.60479,-0.32004,-0.249452
9.559926,-0.314656,-0.205783
9.541978,-0.254237,-0.221934
9.604192,-0.294317,-0.151346
9.701102,-0.310469,-0.120838
9.730414,-0.315254,-0.215354
9.731012,-0.314656,-0.249452
9.706486,-0.26321,-0.106481
