X,Y,Z
-0.164017,2.531578,-1.213331
0.602924,-0.666912,-0.426231
0.090255,-0.381638,-0.054672
0.081703,-0.268933,-0.04612
0.064294,-0.121409,-0.028863
0.077733,-0.129045,-0.020006
0.087965,-0.117897,-0.013439
0.087354,-0.093157,-0.018173
0.058948,-0.085063,-0.040164
0.031307,-0.079871,-0.042761
-0.011606,-0.068111,-0.046884
-0.020769,-0.091019,-0.051771
-0.014813,-0.106596,-0.060018
0.000305,-0.117133,-0.058338
0.036194,-0.107207,-0.053298
0.077885,-0.13943,-0.041997
0.11805,-0.17486,-0.015882
0.148593,-0.174707,0.029322
0.156382,-0.100182,0.063835
0.17486,-0.109803,0.078191
0.175013,-0.056352,0.05849
0.170431,0.00336,0.051007
0.140499,0.026573,0.053756
0.105527,0.015272,0.032987
0.059254,-0.03146,0.022144
0.013592,-0.016035,0.011606
0.000916,-0.000764,-0.013286
-0.00733,-0.014508,-0.011454
-0.010232,-0.008858,-0.003054
-0.008552,0.001374,0.008094
-0.024129,0.020922,0.00504
-0.054367,0.039859,0.002749
-0.094073,0.043524,0.002749
-0.113163,0.04215,-0.005192
-0.102167,0.080787,-0.024435
-0.088117,0.082161,-0.031307
-0.070097,0.077274,-0.021075
-0.042913,0.05116,-0.003818
-0.00733,0.012981,0.015272
0.041997,-0.041844,0.036194
0.076358,-0.077733,0.055741
0.094837,-0.044746,0.065057
0.100945,0.007941,0.065363
0.085521,0.065363,0.060628
0.065668,0.117897,0.040164
0.036346,0.116828,0.032834
0.002138,0.089797,0.031918
-0.024435,0.044288,0.032223
-0.018631,0.027642,0.031765
0.00901,0.03207,0.017562
0.022144,0.004429,0.00672
0.004429,-0.005192,0.016341
-0.017562,-0.008247,0.026573
-0.027642,-0.030391,0.02978
-0.037568,-0.051465,0.0281
-0.037874,-0.076205,0.006414
-0.041997,-0.064446,-0.016952
-0.047342,-0.0197,-0.018631
-0.054978,0.017562,-0.005803
-0.042455,0.077427,0.000764
-0.026267,0.098044,0.002138
-0.021838,0.069333,-0.006567
-0.032834,0.007789,-0.012523
-0.070555,-0.069791,-0.034056
-0.091019,-0.096822,-0.031001
-0.08491,-0.06017,-0.036041
-0.069333,0.061392,-0.041997
-0.032376,0.125227,-0.046884
-0.013134,0.124311,-0.053145
-0.020769,0.052229,-0.031154
-0.014661,-0.010537,-0.010537
0.005803,-0.088728,-0.011606
0.033139,-0.140346,-0.013744
0.057727,-0.145844,-0.013744
0.06689,-0.140346,-0.007483
0.068111,-0.104,-0.005192
0.049633,-0.086132,-0.009927
0.045968,-0.076511,-0.022144
0.033292,-0.091477,-0.018631
0.011606,-0.085979,-0.010843
-0.00901,-0.030543,-0.010843
-0.039706,0.011454,-0.015272
-0.076205,0.035583,-0.023366
-0.100945,0.025045,-0.033139
-0.112094,-0.000916,-0.040623
-0.099266,-0.029627,-0.032376
-0.067806,-0.053909,-0.012065
-0.039859,-0.042302,-0.005803
-0.006567,0.008858,-0.017715
0.019395,-0.007941,-0.025198
0.039401,-0.047495,-0.022449
0.04047,-0.081245,-0.016341
0.032834,-0.094531,-0.011912
0.017104,-0.082161,-0.006414
0.006261,-0.068264,-0.003818
-0.003207,-0.042608,-0.007483
-0.025198,-0.014966,-0.017562
-0.041844,0.018631,-0.011301
-0.042761,0.050091,-0.014203
-0.035583,0.061545,-0.018173
-0.032834,0.063225,-0.007483
-0.027947,0.016646,-0.009163
-0.018021,-0.039554,-0.011912
-0.004276,-0.051771,-0.005651
0.014966,-0.040164,-0.000764
0.032681,-0.00672,0.006872
0.048411,0.020006,0.012065
0.038332,0.026267,0.021075
0.023366,0.030391,0.020006
-0.005803,-0.004276,0.017257
-0.01237,-0.03375,0.007025
-0.029474,-0.038943,-0.003818
-0.039859,-0.021228,-0.014203
-0.054062,0.01741,-0.020922
-0.057574,0.020464,-0.014355
-0.04444,0.025045,-0.010996
-0.018021,0.025351,-0.009163
0.007636,0.032681,-0.014203
0.016799,0.041233,-0.016646
0.025045,0.058643,-0.034361
0.033139,0.027489,-0.016952
0.042608,-0.032987,-0.011912
0.052993,-0.072998,-0.020311
0.05116,-0.106596,-0.021838
0.035888,-0.107512,-0.02138
0.018479,-0.039248,-0.016646
-0.005345,-0.04948,-0.008705
-0.02474,-0.04612,0.008094
-0.018631,-0.027031,0.005498
-0.016035,-0.006567,-0.001069
-0.012523,-0.00504,-0.006872
-0.008552,-0.024587,-0.013439
0.001833,-0.025809,-0.012523
0.01405,-0.013592,-0.006109
0.023366,-0.010385,0.000153
0.027489,-0.021838,0.002291
0.029322,-0.035888,0.000611
0.025656,-0.022755,-0.008094
0.026267,-0.012523,-0.009774
0.035125,0.000305,-0.003512
0.043982,-0.003207,-0.001374
0.047495,0.015272,-0.004734
0.034056,0.027794,0.0
0.02642,0.04383,0.009316
0.020464,0.057421,0.014661
0.003207,0.074678,0.016341
-0.010232,0.067195,0.008399
-0.035125,0.046426,-0.004276
-0.04612,0.043677,-0.005651
-0.058796,0.030849,-0.001069
-0.039706,0.028711,0.001833
-0.017715,0.021838,0.00504
0.002902,0.010385,0.005498
0.011454,-0.005192,0.001527
0.017257,-0.019242,0.000153
0.015272,-0.019548,-0.000458
0.02306,-0.025198,-0.001374
0.039554,0.000764,0.0
0.04383,0.022297,0.001833
0.049938,0.036194,0.003818
0.0562,0.034819,0.010232
0.058185,0.001527,0.008705
0.0562,0.016188,0.010079
0.052687,0.024282,0.00336
0.043524,0.019548,-0.007025
0.038485,0.001527,-0.00733
0.025351,-0.01909,-0.002902
0.018479,-0.031154,0.002138
0.000916,-0.012065,-0.001069
-0.004429,-0.001374,-0.007178
-0.021075,-0.003971,-0.011606
-0.034056,-0.018784,-0.013439
-0.035277,-0.026573,-0.01405
-0.032987,-0.016035,-0.009163
-0.034667,0.006261,-0.001527
-0.029627,0.044288,0.001374
-0.013286,0.060018,0.002138
-0.006261,0.066432,0.002443
-0.002596,0.048106,-0.003971
0.006872,0.010843,0.0
0.009927,0.012675,-0.003207
0.020006,0.016341,-0.002138
0.029169,0.035277,-0.006109
0.031154,0.042761,-0.004887
0.028711,0.041692,-0.002443
0.021686,0.037874,-0.000153
0.021075,0.005651,-0.001527
-0.000305,-0.017104,-0.002443
-0.005651,-0.020159,-0.009774
-0.005498,-0.022297,-0.01237
-0.003665,0.00672,-0.008552
0.003512,0.027031,-0.011454
0.004276,0.013592,-0.01405
-0.001527,-0.015577,-0.018631
-0.009927,-0.035125,-0.017562
-0.009774,-0.023366,-0.014813
-0.000764,0.005803,-0.00733
0.009316,0.022755,0.005192
0.028405,0.048564,0.004734
0.033903,0.024282,-0.001069
0.021686,-0.024435,-0.00504
0.013134,-0.053145,-0.010385
0.007941,-0.0478,-0.00672
0.019853,-0.022449,-0.03879
0.023976,-0.001222,0.004887
0.023824,-0.000764,0.011759
0.022449,0.009163,0.005498
0.019242,0.041081,-0.00733
0.013134,0.02306,-0.007636
0.004734,0.011454,-0.004581
0.011301,-0.013439,-0.00168
0.020159,-0.017104,0.004429
0.018784,-0.018937,0.009927
0.023976,0.012065,0.009927
0.032529,0.048564,0.004887
0.043219,0.06689,-0.004123
0.041539,0.056963,-0.007636
0.03146,0.031612,-0.013134
0.022449,-0.007789,-0.007636
0.011759,-0.039859,-0.004123
0.010843,-0.045051,-0.005192
0.004429,-0.001985,-0.00672
0.002443,0.020159,-0.00336
-0.007941,0.037568,-0.007025
-0.022449,0.039248,-0.010079
-0.032681,0.025504,-0.016646
-0.04215,0.018173,-0.020464
-0.034972,0.012065,-0.022755
-0.023518,0.026267,-0.022297
-0.00901,0.013286,-0.010537
0.001222,-0.001833,-0.010079
0.009927,-0.02306,-0.012675
0.018479,-0.019395,-0.011301
0.018784,-0.022297,-0.010843
0.024282,-0.01741,-0.015577
0.018631,-0.023976,-0.00504
0.019853,-0.023976,0.000916
0.010996,-0.002291,-0.000916
0.010079,0.017715,-0.002443
-0.001833,0.074984,-0.020922
-0.012675,0.022755,-0.027489
-0.03375,0.000764,-0.024893
-0.042302,-0.014355,-0.022144
-0.035277,-0.012217,-0.016493
-0.016493,-0.012217,-0.010079
-0.004887,-0.015119,0.003818
0.003207,-0.022755,0.008552
0.004887,-0.03207,0.006261
-0.000764,-0.022144,0.003207
0.004581,0.002291,-0.001833
-0.000153,0.007025,-0.010996
0.000153,0.009774,-0.009468
-0.003665,-0.001222,-0.014355
0.0,0.019548,-0.016952
-0.002749,0.008705,-0.022449
0.00901,-0.00672,-0.016952
0.016341,0.000764,-0.00733
0.022602,0.008094,-0.009468
0.030696,0.036041,-0.00901
0.027947,0.035888,-0.006872
0.018479,0.031612,-0.005498
0.019242,0.04047,-0.00336
0.026114,0.025809,-0.008705
0.028405,0.036499,-0.007789
0.029322,0.039248,-0.00672
0.029932,0.038637,-0.010079
0.03207,0.020922,-0.006414
0.027794,0.008858,-0.00733
0.031154,0.007178,-0.005956
0.018784,0.011912,-0.002291
0.013897,0.02474,-0.005803
0.01237,0.039401,-0.007025
0.004887,0.043219,-0.007483
0.003512,0.043066,-0.003971
0.003665,0.025045,-0.005498
-0.008705,0.009316,-0.011454
-0.007636,0.005345,-0.01573
-0.007636,-0.001374,-0.017257
-0.009316,0.013439,-0.014203
-0.000764,0.012675,-0.009163
0.000764,0.013592,-0.007025
