X,Y,Z
5.818149,0.948156,-8.148758
7.962118,-0.168694,-0.21655
7.744969,-0.498305,-0.134596
7.968698,-0.79681,-0.115454
8.503494,-0.797408,-0.415753
8.903096,-0.729811,-0.962513
9.397811,-0.568295,-1.510469
9.285348,-0.375075,-1.409971
9.195618,-0.32662,-1.578066
9.372088,-0.37687,-1.721636
9.363714,-0.414557,-1.567299
9.564112,-0.52343,-1.291526
9.37508,-0.502493,-1.079163
9.099905,-0.349352,-1.026521
8.834302,-0.111864,-1.10668
8.767302,0.260818,-1.2335
8.689536,0.525823,-1.314856
9.151949,0.777069,-1.59362
9.646665,0.955933,-1.612763
10.345967,0.89671,-1.692922
10.746167,0.967897,-1.439881
10.683954,0.979861,-1.104886
10.755739,0.655035,-1.007378
10.70489,0.700499,-1.147957
10.552349,0.692124,-1.323231
10.557732,0.881157,-1.677967
10.392029,1.173081,-2.117648
10.374681,1.157528,-2.486143
10.483555,1.06002,-2.087738
11.182857,0.569492,-1.14018
12.340983,-0.555733,-0.800997
12.452249,-1.29691,-0.162114
11.684752,-1.761716,1.207179
10.620544,-2.015355,2.608176
9.303894,-1.59362,2.853441
7.776673,-0.164507,1.80359
7.130013,1.271785,0.153739
6.899704,2.330011,-1.040878
8.812767,2.63031,-1.002593
10.527223,2.12363,-0.829711
12.211771,1.423729,-0.109472
12.577874,0.845265,0.401396
12.175279,0.54018,0.538385
10.646864,0.396012,0.425922
9.354143,0.205783,0.650848
8.118249,0.155533,0.466002
7.237092,0.177069,0.264407
6.790831,0.206381,0.122632
6.757929,0.159123,0.1334
6.882356,0.419342,-0.018544
7.339983,0.470788,-0.065204
7.570293,0.774676,-0.17348
7.750352,0.951147,-0.46002
8.106884,1.112064,-0.562911
8.623135,1.371685,-0.510868
9.172287,1.356731,-0.522832
9.369695,1.402194,-0.47019
9.467203,1.371685,-0.72682
9.667602,1.208974,-0.863211
9.829716,1.021735,-0.975075
9.693923,0.863809,-1.061217
9.421141,0.738186,-1.174876
9.287741,0.543769,-1.317249
9.308679,0.213559,-1.285544
9.395419,0.05683,-1.33699
9.205787,0.225524,-1.372882
9.24826,0.308674,-1.238884
9.819546,0.305683,-1.085743
10.411172,0.430708,-1.478166
11.047662,0.594018,-2.366502
11.309677,0.666401,-2.833102
11.228919,0.625723,-2.449652
11.31147,0.357727,-1.400399
11.960525,0.217747,-0.8333
13.074384,0.025125,0.205783
13.421343,-0.14656,0.760319
12.678372,0.607179,0.899701
11.382658,1.66361,0.662214
10.557732,2.056033,0.192024
10.264611,1.213759,0.79023
9.942179,0.434297,0.857229
8.674581,-0.169292,1.045065
7.883154,-0.18006,1.072583
7.944769,-0.213559,1.347159
8.129017,-0.309272,0.956531
8.536993,-0.036491,0.531207
8.843873,0.699901,-0.409771
9.105887,1.068994,-0.532403
9.780065,0.757927,-0.415155
9.613763,0.425324,-0.047856
9.050852,0.312263,0.058624
8.737991,-0.027517,0.083749
8.324032,-0.323031,0.15015
7.930413,-0.448056,0.151944
7.442276,-0.345763,0.144766
7.25085,-0.437887,-0.007777
7.627122,-0.464806,-0.162712
7.903493,-0.306281,-0.474975
8.4347,-0.337986,-0.70349
8.91147,-0.283549,-0.756132
9.250653,0.007777,-1.10668
9.550952,0.108873,-1.328016
9.846466,0.066999,-1.386043
9.731611,0.119641,-1.281357
9.45823,0.11665,-1.119841
9.089138,0.028714,-0.80339
9.397213,-0.263809,-0.662812
9.956535,-0.433699,-0.925424
10.282558,-0.032303,-1.355534
10.229317,0.54018,-1.821536
10.686945,0.586242,-2.074577
11.05185,0.425922,-1.759323
11.327025,0.442074,-1.169492
11.326426,0.026919,-1.124028
11.390434,0.139382,-1.369293
11.122438,0.538983,-1.958525
10.539188,1.232902,-2.565106
9.966705,1.782653,-2.817549
10.147961,1.725823,-1.731805
10.919049,1.355534,-1.448256
11.983257,0.701695,-0.837488
12.467205,-0.161516,0.61017
12.01197,-0.804587,2.291128
10.813764,-1.324427,3.635296
9.638888,-0.591027,3.314059
8.298908,0.657428,1.615155
7.134201,2.234298,-0.190229
7.036095,3.088536,-1.130609
8.61476,3.000001,-1.646262
10.088739,2.145165,-1.801197
10.962717,1.627119,-1.258625
11.15175,1.113261,-0.832702
11.167304,0.275773,-0.379861
10.56192,-0.242273,0.032303
9.264411,-0.195015,0.378066
7.911868,-0.058624,0.037687
7.059425,0.01675,-0.069392
6.628717,0.20339,-0.436092
6.575477,0.454636,-0.611366
6.600601,0.7669,-0.879961
6.848258,1.06002,-0.997209
7.238289,1.281955,-1.395016
7.860423,1.761117,-1.211965
8.711071,1.695315,-1.259821
8.672786,1.581058,-1.463211
8.885747,1.648655,-1.485943
9.259028,1.393819,-1.558924
9.660424,1.041476,-1.50688
9.790833,0.876371,-1.468595
9.702299,0.722632,-1.910669
9.534801,0.514457,-2.146362
9.687941,0.223729,-2.1338
9.760324,0.135793,-2.228316
