X,Y,Z
10.816158,-0.06341,-0.712463
10.429716,-0.058026,-0.615554
10.766507,-0.27338,0.733998
9.606585,0.061017,-0.135194
9.338589,0.201595,0.015553
8.982059,0.755534,-0.0999
9.026326,0.985843,-0.566501
9.235698,0.978066,-0.628116
9.323635,0.909273,-0.21655
9.098709,0.904487,0.337986
9.239885,0.877568,0.850648
9.391231,0.996012,1.003789
9.591032,1.254437,0.856032
9.980464,1.28016,0.575474
10.115658,1.389632,0.401994
10.372886,1.677967,0.340977
11.176876,1.975873,0.696311
11.959926,2.058426,0.568295
12.251252,2.205584,-0.022732
12.25843,1.661815,0.268594
11.581261,1.003789,0.418744
10.526625,0.05683,0.643071
9.541978,-0.265603,0.479761
8.81157,-0.187238,0.251246
8.291728,0.205783,-0.100499
8.203194,0.451047,-0.311067
8.816954,0.44327,-0.153739
9.330812,0.427119,-0.022134
9.265608,0.627518,-0.131605
9.253643,0.732204,-0.305683
9.120842,0.80339,-0.037687
8.992228,0.871586,-0.139382
9.180663,0.81356,-0.188435
9.452249,0.689731,-0.365504
9.649058,0.535394,-0.46002
9.699307,0.250648,-0.340379
9.236296,0.141177,-0.667598
9.271591,0.138784,-0.854238
8.997014,0.113659,-0.894318
8.763713,0.212363,-0.987039
8.773284,0.298505,-0.986441
8.685348,0.56351,-1.519442
9.040084,0.668196,-1.575076
9.373883,0.684347,-1.846063
9.527622,0.467199,-1.405185
9.460024,0.151346,-0.888335
9.02812,-0.215354,-0.519841
8.553145,-0.244666,-0.509073
8.25105,0.119641,-0.809372
8.136794,0.508475,-1.202393
8.26122,0.917049,-1.449452
8.68116,0.887737,-1.44347
9.037094,0.590429,-1.058824
9.206984,0.427119,-0.60359
9.112467,0.507877,-1.020539
9.118449,0.711865,-1.112663
9.064013,0.8668,-1.356132
9.189637,0.90688,-1.430908
9.391829,0.98345,-1.473979
9.482756,0.814158,-1.297508
9.454641,0.417548,-0.838684
9.315259,0.188435,-0.885344
8.99821,0.267996,-0.934397
8.633903,0.833899,-1.34357
8.69492,1.418944,-1.50688
9.356535,1.655833,-1.469193
9.649656,1.654039,-1.335793
9.993026,1.118645,-0.708275
9.919447,0.914657,-1.189831
9.478569,1.219741,-1.248455
9.419346,1.785644,-1.208974
9.703495,2.355136,-1.147957
10.876576,2.254637,-1.035494
11.57169,1.03669,-0.393021
11.669796,-0.01675,-0.105284
11.139187,-0.94337,0.308076
10.108479,-1.117448,0.580259
9.48156,-0.405583,0.177069
9.433106,0.157328,-0.213559
9.446865,0.244068,-0.129811
9.018549,0.265603,-0.253639
8.901899,0.403191,-0.321835
9.367303,0.139382,-0.339781
9.84168,0.467797,-0.496511
10.500904,0.863809,-1.14018
11.284552,0.841077,-1.13001
11.949757,0.278166,-0.248854
11.726625,-0.251246,0.047258
11.035099,-0.152542,-0.519841
10.478769,0.053839,-0.760319
10.280763,0.206381,-0.529412
10.555339,0.289532,-0.434896
10.672588,0.105284,-0.066999
10.601402,-0.25663,-0.052642
10.125229,-0.391227,0.098704
