X,Y,Z
0.759305,-2.859613,0.549626
-1.25151,1.191187,0.369115
-0.339488,0.006261,-0.102778
-0.173944,0.18326,-0.015272
0.016035,0.228922,0.019242
0.193186,0.176082,0.039554
0.286343,0.135612,0.070708
0.263283,0.187077,0.053451
0.151647,0.263283,-0.022144
0.054062,0.249997,-0.106138
0.069486,0.148746,-0.154854
0.161879,0.016799,-0.163559
0.29123,-0.104916,-0.107207
0.365145,-0.153785,0.004429
0.390343,-0.104611,0.061087
0.341016,-0.269544,0.037263
0.247859,-0.605978,-0.026878
0.142637,-0.778242,-0.145233
-0.078496,-0.662331,-0.20968
-0.351706,-0.361021,-0.190743
-0.53466,0.060781,-0.152716
-0.635758,0.388052,-0.136376
-0.638049,0.478155,-0.14844
-0.598342,0.423177,-0.152411
-0.521221,0.241292,-0.112857
-0.36881,0.000764,-0.041997
-0.13607,-0.186467,0.036346
0.117133,-0.231365,0.082925
0.252135,-0.216552,0.132252
0.295201,-0.147982,0.121104
0.259312,-0.113163,0.094379
0.175776,-0.113163,0.072082
0.034514,-0.09499,0.066584
-0.101709,-0.046884,0.050091
-0.190132,0.072693,0.039859
-0.221286,0.19059,0.035888
-0.209069,0.270461,0.040164
-0.189979,0.268475,0.032529
-0.152258,0.231671,0.013439
-0.12874,0.194408,0.003818
-0.112094,0.162185,0.012675
-0.078038,0.155313,0.032681
-0.087506,0.147219,0.059559
-0.116981,0.198226,0.039859
-0.171959,0.281762,0.011912
-0.176235,0.31429,-0.014508
-0.099876,0.321621,-0.025504
0.010996,0.31032,-0.010079
0.135154,0.293063,0.028253
0.23839,0.231365,0.061239
0.279776,0.101404,0.058948
0.221133,-0.05116,0.040317
0.157145,-0.10232,-0.008094
0.171195,-0.08995,-0.033292
0.207694,-0.00672,-0.035583
0.188299,0.093462,-0.024587
0.116217,0.145997,-0.022755
-0.017715,0.128893,-0.043524
-0.08659,0.080023,-0.072998
-0.096822,0.054214,-0.078496
-0.064446,0.142942,-0.058185
0.030238,0.302073,-0.024282
0.097433,0.475711,0.004887
0.157756,0.510531,0.009468
0.153633,0.369573,0.032376
0.126449,0.238237,0.042455
0.126907,0.15852,0.059865
0.110261,0.147829,0.103084
0.056963,0.225867,0.081703
-0.037874,0.362854,0.076205
-0.054367,0.354607,0.095142
0.003971,0.125227,0.096822
-0.001985,-0.25916,0.078649
-0.106291,-0.290314,0.065821
-0.176845,-0.048564,0.055894
-0.193339,0.218384,0.059712
-0.129198,0.395383,0.062308
-0.038179,0.336129,0.093157
0.055283,0.270919,0.152258
0.130878,0.285121,0.20861
0.192728,0.247553,0.214108
0.220217,0.058796,0.199295
0.21533,-0.093462,0.138514
0.208916,-0.258701,0.075595
0.195782,-0.514196,0.020464
0.109803,-0.753044,-0.010996
-0.013592,-0.731053,-0.051618
-0.053451,-0.381943,-0.076205
-0.086896,0.011301,-0.117592
-0.199295,0.247859,-0.095142
-0.3036,0.238237,-0.10232
-0.335976,-0.011454,-0.124158
-0.26985,-0.229685,-0.135459
-0.161879,-0.150884,-0.099876
0.003207,0.094837,-0.018479
0.215635,0.357051,0.063835
0.362701,0.505033,0.133779
0.384845,0.415083,0.145233
0.29856,-0.059254,0.032376
0.161268,-0.494495,-0.123395
0.053909,-0.651793,-0.18555
0.025656,-0.543975,-0.157603
0.084758,-0.278707,-0.088575
0.22266,-0.044288,-0.02474
0.344986,0.088728,0.01069
0.346971,0.055589,0.041844
0.260229,-0.047495,0.028863
0.147371,-0.124006,-0.013439
0.002443,-0.15852,-0.039859
-0.071929,-0.220828,-0.047647
-0.075747,-0.256411,-0.064904
-0.024587,-0.188452,-0.111788
0.050396,-0.10232,-0.125991
0.09163,-0.105832,-0.124922
