X,Y,Z
-4.544837,3.915493,4.229784
0.167835,1.684766,0.237627
0.662025,0.38454,0.066279
0.411112,0.328645,-0.009927
0.326966,0.236863,-0.056047
0.308029,0.045051,-0.083841
0.292452,-0.080023,-0.117592
0.304211,-0.109192,-0.148135
0.269239,-0.173486,-0.143706
0.192881,-0.186467,-0.14615
0.126907,-0.155771,-0.140346
0.123395,-0.107818,-0.113468
0.17318,-0.02306,-0.084452
0.276111,0.045051,-0.030391
0.366214,0.044593,0.038943
0.430965,-0.026573,0.084605
0.447764,-0.200211,0.130878
0.471435,-0.465785,0.248317
0.497244,-0.642477,0.290466
0.547182,-0.733649,0.320857
0.500299,-0.782366,0.322537
0.43738,-0.734107,0.268933
0.290772,-0.655,0.164781
0.193644,-0.614225,0.140957
0.0956,-0.545503,0.139888
0.022755,-0.509003,0.147066
-0.06521,-0.43066,0.158672
-0.205862,-0.32666,0.184939
-0.350484,-0.314137,0.154549
-0.479529,-0.623846,0.094226
-0.616363,-0.812909,0.04612
-0.693637,-0.452804,0.010232
-0.649655,0.151036,0.040928
-0.465479,0.695165,0.063683
-0.120799,1.001666,0.091477
0.096669,1.091311,0.132558
0.346819,0.811993,0.260076
0.439059,0.266643,0.358272
0.463799,-0.366214,0.44471
0.419359,-0.784045,0.34575
0.172875,-0.652251,-0.029474
-0.031918,-0.498771,-0.362396
-0.169973,-0.29627,-0.547793
-0.278249,-0.06185,-0.543212
-0.299477,0.22266,-0.488998
-0.198989,0.506865,-0.396452
-0.041844,0.669966,-0.265726
0.138208,0.717767,-0.131183
0.30528,0.661414,-0.074678
0.444252,0.526108,-0.025656
0.553444,0.356745,0.016493
0.625984,0.17318,0.007941
0.673326,-0.04215,0.005192
0.710284,-0.299477,0.055436
0.701731,-0.401644,0.02306
0.657902,-0.439976,-0.053145
0.622014,-0.420581,-0.100945
0.528093,-0.260534,-0.140499
0.456622,-0.093615,-0.110872
0.412181,0.10736,-0.076205
0.387136,0.350331,-0.09728
0.330936,0.500757,-0.132252
0.287565,0.549931,-0.141263
0.25748,0.52626,-0.143859
0.274278,0.461967,-0.158061
0.320552,0.322995,-0.17486
0.430813,0.067348,-0.122784
0.548862,-0.044135,-0.106443
0.652099,-0.110261,-0.108734
0.666607,-0.134696,-0.111788
0.588569,-0.064904,-0.138514
0.43967,0.082467,-0.180663
0.344833,0.126907,-0.254731
0.307571,-0.074067,-0.394008
0.386983,-0.515418,-0.548862
0.446237,-0.84727,-0.659887
0.655153,-0.844674,-0.434478
0.766636,-0.513432,-0.289092
0.729831,-0.089186,-0.119119
0.730748,0.51557,0.154854
0.672257,1.264338,0.273515
0.584293,1.769371,0.125991
0.475559,1.691333,-0.010385
0.461051,1.136973,-0.087201
0.564898,0.341474,-0.151036
0.764956,-0.357051,-0.131794
0.857502,-0.643088,-0.161116
0.895681,-0.868803,-0.014813
0.947147,-0.773661,0.105374
0.883006,-0.297491,0.086132
0.785725,0.211359,0.125838
0.737467,0.497855,0.194866
0.687529,0.700662,0.170737
0.587041,0.742201,0.090255
0.490372,0.66004,0.038179
0.452651,0.452498,0.045204
0.401186,0.326813,0.004123
0.420886,0.03879,-0.010079
0.437227,-0.26649,-0.0478
0.415388,-0.452804,-0.100182
0.374766,-0.584598,-0.079565
0.288328,-0.581696,-0.09163
0.196088,-0.47449,-0.099266
0.099571,-0.260381,-0.145539
0.04383,-0.04612,-0.171959
0.014966,0.081551,-0.129198
0.003971,0.091477,-0.049175
0.011454,0.064904,-0.022755
0.039859,0.02978,-0.03375
0.027794,-0.149509,0.017104
0.018326,-0.346666,0.133627
0.023671,-0.372017,0.201586
0.051771,-0.234725,0.197615
0.023671,-0.066279,0.168141
0.010385,0.098655,0.175471
-0.010232,0.265421,0.18387
-0.091172,0.433562,0.196851
-0.215788,0.539547,0.214414
-0.307113,0.406378,0.200517
-0.342848,-0.067348,0.19227
-0.471283,-0.220675,0.084147
-0.55772,-0.021838,-0.002596
-0.467617,0.282372,-0.068111
-0.223424,0.456774,-0.078343
0.060323,0.611171,-0.019548
0.299782,0.77473,0.065821
0.459829,0.700357,0.219912
0.48518,0.326355,0.368657
0.31765,-0.065973,0.314596
0.027489,-0.334296,0.114079
-0.264047,-0.389274,-0.116981
-0.505949,-0.453109,-0.304974
-0.657291,-0.369879,-0.385456
-0.721126,-0.00901,-0.390954
-0.687071,0.352011,-0.32834
-0.59819,0.574671,-0.231823
-0.530995,0.751517,-0.184329
-0.412334,0.78878,-0.125686
-0.248622,0.663552,-0.047189
-0.053756,0.364534,0.063377
0.110108,0.085674,0.088117
0.26985,-0.251982,0.155007
0.341626,-0.4835,0.117744
0.25977,-0.439976,-0.069944
0.202502,-0.453567,-0.169362
0.105069,-0.425468,-0.222813
0.01573,-0.384234,-0.222508
-0.044135,-0.268475,-0.216094
-0.077427,-0.096211,-0.181122
-0.106291,0.045509,-0.156992
-0.151189,0.149204,-0.112857
-0.149357,0.251982,-0.088575
-0.113163,0.321162,-0.091324
-0.053298,0.343306,-0.137445
0.043982,0.222202,-0.16249
0.201433,0.066126,-0.165697
0.403629,-0.016035,-0.170584
0.503506,-0.034514,-0.159741
0.468075,-0.073457,-0.138208
0.367741,0.023976,-0.163406
0.221897,0.178678,-0.193644
