X,Y,Z
12.629319,-0.3667,-0.687937
12.335598,-0.588036,2.093122
11.330016,-0.5001,2.218745
10.306486,-0.469591,2.198406
9.501899,-0.463011,1.824527
8.967103,-0.385843,1.43689
8.914462,-0.439681,1.275374
9.395419,-0.504886,1.308276
10.165309,-0.567697,1.459024
10.773087,-0.698106,1.316651
10.977672,-0.699302,1.122832
10.799407,-0.425922,0.97029
10.640284,-0.38345,0.998405
10.087543,-0.114855,1.185045
9.897912,-0.326022,0.925424
9.870394,-0.530608,0.946361
9.533006,-0.598206,0.714258
9.118449,-0.68674,0.604188
8.61476,-0.641276,0.66341
8.036295,-0.524028,0.727418
7.850253,-0.464806,0.552742
7.682755,-0.454038,0.504287
7.713264,-0.613759,0.355334
7.664809,-0.747159,0.655035
7.462616,-0.768694,1.017548
7.44467,-0.725025,1.333999
7.468597,-0.954138,1.423131
7.470392,-1.083949,1.475773
7.173682,-0.971486,1.255035
6.583253,-0.47019,0.905085
6.488139,-0.084945,0.319442
7.059425,0.048455,0.254237
8.087741,0.052642,0.013759
9.152546,-0.157328,0.153141
9.701102,-0.227916,0.236889
10.177871,-0.340977,0.372084
10.435698,-0.61675,0.993021
10.464412,-0.581456,0.839283
10.524232,-0.621536,0.561715
10.374681,-0.675374,0.296112
9.873983,-0.542572,0.179462
9.784253,-0.657428,0.138784
9.584452,-0.696311,0.264407
9.296116,-0.541974,0.369093
9.265009,-0.474377,0.434297
9.339785,-0.396012,0.200997
9.354741,-0.198006,0.093918
9.50848,-0.133998,0.02333
9.596416,-0.276371,-0.021535
9.596416,-0.585045,0.060419
9.231511,-0.428315,0.106481
9.425329,-0.41994,0.237488
9.626925,-0.467199,0.197408
9.840484,-0.620937,0.157926
10.057034,-0.635294,0.084945
10.045669,-0.738784,0.175274
9.794422,-0.851845,0.299103
9.420543,-0.801596,0.449851
9.269197,-0.655633,0.480957
9.577872,-0.585643,0.265005
9.985848,-0.609572,0.311067
10.397413,-0.643071,0.405583
10.488341,-0.385244,0.511466
10.625329,-0.10349,0.473181
10.884352,0.001795,0.425922
10.985449,0.279362,0.345165
11.321043,0.114257,0.337388
11.040484,0.004786,0.147159
10.853845,-0.123829,0.134596
11.154742,-0.320638,0.285942
11.464613,-0.163908,0.12323
12.029916,-0.262612,0.442672
12.263814,-0.723829,0.241077
12.504294,-0.162114,1.295714
12.273984,-0.038883,1.191028
11.751152,0.33679,1.056431
11.292927,0.574876,1.217349
10.284951,1.042074,1.222732
9.905689,1.218545,0.867398
9.299706,1.152144,0.770489
9.263216,1.012164,0.872184
9.537194,0.726222,0.4666
9.94517,0.87697,0.128614
10.259826,0.865604,-0.01675
10.415957,0.816551,-0.037687
10.487743,0.569492,-0.039482
10.500904,0.181256,0.264407
10.53201,0.037089,1.571486
9.586844,-0.10349,0.855434
9.056236,-0.311665,0.202792
8.319247,-0.1334,-0.441476
8.370095,0.829711,0.357129
8.115857,0.48993,0.128016
8.11167,0.323031,0.356531
7.613363,0.388235,0.451645
6.878169,0.517448,0.298505
6.291928,0.919442,0.36012
6.451648,0.777667,-0.069392
6.860222,0.882353,0.052642
7.112067,0.744766,0.132802
7.886744,0.503091,0.750748
9.023933,0.062812,0.758525
8.866006,0.48335,0.491725
9.139985,0.648455,0.53001
9.388838,0.628714,0.811765
9.010174,0.840479,0.343968
9.288938,1.010369,0.393021
9.734601,0.955933,0.425922
9.913465,0.919442,0.2333
9.777073,1.018744,0.044267
9.375678,1.133002,0.067597
8.790035,1.326222,0.169292
8.92822,1.025923,0.297308
9.177074,0.852443,0.287139
9.203394,0.807578,0.273978
9.024531,0.684945,0.175872
9.173484,0.623929,0.056231
9.099905,0.735793,-0.180658
9.064013,0.844666,-0.304487
9.197412,0.788435,-0.137587
9.289536,0.69332,-0.219542
9.675378,0.488136,-0.233898
9.774681,0.467199,-0.345165
9.206386,0.755534,-0.647258
9.192627,0.849452,-0.555733
8.893524,0.925424,-0.552144
8.863016,0.917049,-0.452243
9.098709,0.903291,-0.299103
8.889935,0.969093,-0.412762
9.160324,0.961316,-0.706481
9.346964,0.856032,-0.480957
9.353545,0.80997,-0.434896
9.466605,0.821935,-0.100499
9.812369,0.79023,-0.204586
10.363913,0.9003,-0.29013
10.916058,0.834497,-0.160917
10.594821,1.052244,-0.424128
10.35494,1.138984,-0.454636
10.350154,1.271187,-0.185444
10.488341,1.348954,0.079561
10.990834,1.276571,0.129212
11.322837,1.38365,0.074776
11.412569,1.594218,0.153141
11.594423,1.811367,0.380459
11.886945,1.579263,0.488136
12.330216,1.29033,0.994816
12.652649,1.039083,1.237089
12.978671,0.467199,1.550549
12.535999,0.438485,1.718047
11.652448,0.439083,1.710868
10.756338,0.308674,1.577468
10.31546,0.11665,1.458425
9.876376,-0.012562,1.435095
9.315857,-0.13998,1.245464
