X,Y,Z
-4.393648,4.946023,2.144442
1.102306,-0.593456,-0.323148
0.711047,0.050091,0.104916
0.630107,0.282067,0.192575
0.623388,0.385609,0.296728
0.578031,0.31597,0.296728
0.46945,0.055589,0.256105
0.345902,-0.223882,0.166919
0.276875,-0.367283,0.095295
0.289703,-0.325438,0.036805
0.343306,-0.164628,0.011454
0.418595,-0.090408,0.02306
0.457538,-0.042761,0.018021
0.474337,-0.08995,0.002291
0.417374,-0.136376,0.010232
0.34071,-0.106291,0.012675
0.26481,-0.009468,-0.031765
0.175624,0.038485,-0.060323
0.06689,0.022907,-0.101862
-0.005803,-0.048716,-0.127976
-0.03711,-0.097433,-0.109498
-0.050244,-0.095906,-0.075442
-0.043524,-0.098807,-0.051618
-0.020311,-0.048258,-0.079718
0.03543,0.101556,-0.089492
0.12202,0.231212,-0.032681
0.244041,0.394772,0.07254
0.379042,0.574824,0.136987
0.505949,0.617585,0.142026
0.585972,0.477391,0.1321
0.613003,0.185856,0.11301
0.558789,-0.120951,0.081245
0.438754,-0.373391,0.050091
0.328645,-0.532216,-0.059559
0.222966,-0.588874,-0.172264
0.119577,-0.585362,-0.20128
0.105985,-0.489761,-0.224798
0.093157,-0.305738,-0.185856
0.06521,-0.107207,-0.116981
0.008247,0.108123,-0.065363
-0.125227,0.24175,-0.016035
-0.306807,0.308487,0.020769
-0.33903,0.329104,0.012675
-0.326049,0.270155,0.01741
-0.251829,0.169668,0.02978
-0.143553,0.147524,0.0562
-0.047342,0.17089,0.104763
0.029627,0.219759,0.138514
0.054672,0.257174,0.145539
0.058032,0.296422,0.069639
0.060934,0.236405,0.040012
0.036499,0.096364,0.033598
0.004734,0.032376,0.029322
-0.018173,0.024435,0.040928
-0.01573,0.073915,0.063225
-0.009163,0.212276,0.082925
0.003971,0.29627,0.097738
0.051007,0.287259,0.085827
0.091172,0.167988,0.085979
0.113621,-0.001985,0.108429
0.120799,-0.190285,0.108734
0.147371,-0.290161,0.073151
0.184023,-0.345902,0.033598
0.18891,-0.347735,0.0197
0.162337,-0.274737,-0.015577
0.070555,-0.149509,0.055283
-0.057727,0.034208,0.078496
-0.236099,0.213803,0.078038
-0.403324,0.234572,0.079565
-0.537867,0.161268,0.047647
-0.620028,0.010385,0.005956
-0.615752,-0.024435,-0.006567
-0.488845,-0.015882,0.025045
-0.401949,0.115148,0.057727
-0.289245,0.306196,0.090713
-0.031001,0.523359,0.160658
0.186314,0.679282,0.219759
0.34911,0.74999,0.264352
0.389732,0.754419,0.234878
0.343917,0.6269,0.292299
0.184939,0.410807,0.295964
0.058032,0.192881,0.237932
-0.083994,-0.061392,0.15852
-0.229838,-0.191048,0.105832
-0.36881,-0.207236,0.035888
-0.547182,-0.228616,-0.000611
-0.709673,-0.266643,-0.04612
-0.776562,-0.277333,-0.075136
-0.830166,-0.303905,-0.083994
-0.701579,-0.27153,-0.132558
-0.511905,-0.204487,-0.120493
-0.271835,-0.275653,-0.000916
-0.077427,-0.280693,0.098197
0.116828,-0.097891,0.126449
0.271071,0.092241,0.082314
0.312305,0.213039,0.048258
0.260534,0.199142,0.071929
0.15913,0.095906,0.136834
0.049633,-0.033139,0.172722
-0.073457,-0.181732,0.237474
-0.187994,-0.320399,0.357967
-0.190132,-0.08323,0.26985
-0.122631,0.073151,0.132405
-0.185092,0.077733,0.100487
-0.206167,0.063683,0.035888
-0.181274,0.004734,0.013286
-0.202807,-0.164475,0.078954
-0.182496,-0.241139,0.124311
-0.073762,-0.156992,0.093462
0.022144,-0.031307,0.064141
0.064141,0.062614,0.033598
0.01909,0.013134,0.031612
-0.045509,-0.090561,0.065057
-0.077427,-0.092241,0.082314
-0.086896,-0.063377,0.119577
-0.061392,-0.054825,0.160047
-0.020922,-0.06353,0.153938
-0.037568,-0.067042,0.102014
-0.047342,-0.107512,0.078191
-0.103084,-0.118202,0.080481
-0.111788,-0.094073,0.065515
-0.108581,-0.03207,0.049327
-0.064446,0.095906,-0.001985
-0.031154,0.187994,-0.021686
-0.021991,0.246637,0.000305
-0.013897,0.257938,0.033292
-0.014661,0.182343,0.064904
0.007789,0.150273,0.064752
0.018631,0.134849,0.068264
-0.000153,0.085368,0.063835
-0.018173,0.030543,0.045968
-0.012675,0.001527,0.01237
0.03146,-0.022144,0.001833
0.079412,-0.05452,-0.007178
0.127824,-0.153785,-0.036346
0.130267,-0.225562,-0.080787
0.090713,-0.218537,-0.138361
-0.001374,-0.203571,-0.156076
-0.027489,-0.061392,-0.170431
0.000305,0.020159,-0.155465
0.102014,0.003665,-0.138056
0.215788,-0.08659,-0.140346
0.288481,-0.228464,-0.146455
0.313527,-0.369268,-0.131031
0.285579,-0.46044,-0.12706
0.201127,-0.471283,-0.113315
0.116217,-0.389579,-0.118966
0.060018,-0.163406,-0.142026
0.122326,0.182343,-0.175166
0.151953,0.430355,-0.14447
0.150426,0.547641,-0.062461
0.169515,0.547793,0.012828
0.209221,0.490983,0.042608
0.250607,0.380416,0.021228
0.280387,0.097433,-0.013744
0.348193,-0.198378,-0.022144
0.450666,-0.373544,-0.037263
0.559553,-0.404546,-0.008552
0.63362,-0.295964,0.040012
0.629038,-0.188299,0.088423
0.593608,-0.152411,0.105985
0.519083,-0.145997,0.114995
0.38851,-0.100793,0.103847
0.233961,-0.006414,0.049175
0.089492,0.080634,-0.015119
-0.039248,0.19227,-0.058032
-0.191964,0.281609,-0.045204
-0.238085,0.347735,-0.014813
-0.233351,0.330478,-0.008705
-0.163406,0.276875,-0.036805
-0.10797,0.242361,-0.063835
-0.016493,0.201891,-0.060628
0.094684,0.143553,-0.041233
0.222508,0.034208,-0.047189
0.31093,-0.147371,-0.048258
0.309556,-0.334601,-0.068264
0.242055,-0.434631,-0.082009
0.164323,-0.399964,-0.069791
0.10568,-0.309403,-0.081856
0.121409,-0.172569,-0.067653
0.146455,-0.109803,-0.076511
0.143706,0.101098,-0.030238
0.130572,0.138056,0.002596
0.107512,0.088575,0.042455
0.078496,0.005651,0.055589
0.034208,-0.093157,0.070708
-0.016952,-0.121409,0.043371
-0.061239,-0.121868,-0.00672
-0.11133,-0.08262,-0.083841
-0.155618,-0.047953,-0.131183
-0.186772,-0.089186,-0.14676
-0.215635,-0.200211,-0.119577
-0.215941,-0.278096,-0.066432
-0.158825,-0.258396,-0.03375
-0.071319,-0.123547,-0.005498
0.058338,0.10064,0.016341
0.175013,0.252287,0.037263
0.230907,0.266948,0.061239
0.218232,0.180053,0.074678
0.147219,0.036346,0.061087
0.089644,-0.099876,0.038179
0.065821,-0.186314,0.039554
0.043982,-0.120493,0.041692
0.021686,0.048564,0.042302
-0.002902,0.205251,0.043066
-0.011148,0.257938,0.032376
-0.012828,0.209832,0.035125
0.03879,0.137292,0.058032
0.061697,0.129351,0.082925
0.11805,0.156992,0.114385
0.139583,0.10736,0.146913
0.173638,0.082009,0.087506
0.18326,0.018784,0.013744
0.175624,-0.0478,-0.019242
0.124769,-0.096517,-0.043524
-0.01069,-0.167988,0.036346
-0.123547,-0.117133,0.035736
-0.200211,-0.017562,0.027642
-0.219759,0.102625,0.025351
-0.200364,0.226478,0.018173
-0.192575,0.333227,0.032529
-0.228464,0.417526,0.062766
-0.307113,0.392481,0.097891
-0.351553,0.3233,0.098349
-0.337656,0.242819,0.084605
-0.201891,0.207083,0.087812
-0.091324,0.314748,0.107207
0.080481,0.492816,0.144011
0.203876,0.575282,0.15913
0.251524,0.547335,0.149967
0.223882,0.398284,0.12874
0.127671,0.178373,0.096669
0.01741,-0.019395,0.067806
-0.112246,-0.152869,0.033903
-0.203265,-0.240223,-0.021228
-0.223271,-0.251218,-0.107207
-0.220675,-0.303905,-0.171195
-0.223577,-0.326202,-0.200517
-0.235641,-0.265116,-0.195477
-0.246331,-0.220828,-0.166155
-0.245721,-0.191354,-0.150884
-0.238696,-0.253815,-0.096211
-0.275958,-0.222202,-0.0562
-0.279471,-0.10568,-0.005192
-0.247859,0.181732,0.014661
-0.206625,0.42333,0.039554
-0.183718,0.651793,0.035736
-0.253204,0.619875,0.057574
-0.327118,0.472657,0.092088
-0.279318,0.336892,0.086743
