X,Y,Z
9.267403,0.177069,-2.385046
9.256037,0.16989,-2.323431
9.267403,0.177069,-2.385046
9.412767,0.129811,-1.750948
9.412168,0.120239,-1.655235
9.475578,0.108275,-1.628316
9.582657,0.098106,-1.643869
9.554541,0.120239,-1.656431
9.516855,0.141177,-1.711466
9.507881,0.115454,-1.761716
9.540783,0.095115,-1.728814
9.360723,0.161516,-1.74018
9.401999,0.0999,-1.69352
9.557532,0.104686,-1.677369
9.517453,0.159721,-1.680958
9.556336,0.11665,-1.654039
9.466007,0.082552,-1.714457
9.519845,0.08674,-1.682154
9.518649,0.147757,-1.657628
9.58505,0.119641,-1.652842
9.479765,0.129811,-1.75035
9.433704,0.106481,-1.728814
9.423534,0.084347,-1.616352
9.400204,0.059222,-1.603191
9.436097,0.094516,-1.585245
9.540783,0.098106,-1.659423
9.576077,0.142373,-1.68036
9.604192,0.162114,-1.685743
9.515658,0.178864,-1.685743
9.470792,0.109472,-1.770091
9.462417,0.096909,-1.678565
9.499506,0.11007,-1.646262
9.458827,0.133998,-1.652842
9.433106,0.125623,-1.619941
9.499506,0.075374,-1.607378
9.49831,0.084347,-1.674378
9.513265,0.072383,-1.706681
9.488141,0.095115,-1.705484
9.480962,0.105882,-1.624727
9.510274,0.115454,-1.666601
9.50848,0.120239,-1.661217
9.466007,0.112463,-1.627119
9.534801,0.111864,-1.672583
9.536596,0.096909,-1.682752
9.44507,0.105284,-1.65344
9.559328,0.096909,-1.638485
9.548559,0.113061,-1.564906
9.515658,0.104686,-1.625923
9.479765,0.092124,-1.6337
9.475578,0.10349,-1.624727
9.572487,0.0999,-1.605584
9.486944,0.111864,-1.609771
9.468998,0.094516,-1.602593
9.528819,0.092124,-1.715654
9.522238,0.047856,-1.567299
9.500702,0.104088,-1.574477
9.515658,0.068794,-1.669592
9.348758,0.090927,-1.674378
9.512068,0.131007,-1.661217
9.457034,0.111266,-1.670789
9.503693,0.089731,-1.671387
9.457632,0.054437,-1.706082
9.45524,0.102293,-1.639682
9.399606,0.075972,-1.660619
9.444472,0.098704,-1.697109
9.409177,0.107079,-1.668994
9.58505,0.078963,-1.65344
