X,Y,Z
9.319447,1.230509,-1.923829
9.233305,1.200001,-1.954936
9.222537,1.182653,-2.070988
9.280564,1.194617,-2.03689
9.416954,1.164706,-1.995016
9.384053,1.172483,-2.023132
9.342777,1.200001,-2.067399
9.224331,1.204188,-2.079961
9.232109,1.181456,-2.025524
9.294919,1.134198,-2.014757
9.275179,1.211965,-2.088336
9.362518,1.176671,-2.056631
9.41815,1.154537,-1.970489
9.205189,1.217349,-2.014158
9.250653,1.235893,-2.584249
9.252448,1.201197,-2.074577
9.208778,1.254437,-2.063809
9.292528,1.21017,-1.999802
9.355339,1.205384,-2.020141
9.328419,1.199402,-2.042274
9.363116,1.180858,-2.079363
9.338589,1.173679,-2.063211
9.282956,1.200599,-2.052443
9.340982,1.207777,-2.076372
9.291929,1.191028,-2.035694
9.302099,1.196411,-2.061417
9.20818,1.224527,-2.043471
9.274581,1.14676,-2.065006
9.265608,1.214956,-2.116452
9.372686,1.180858,-2.010569
9.348758,1.195215,-2.091925
9.339785,1.198804,-2.063211
9.347562,1.194617,-2.04706
9.399008,1.187438,-2.032104
9.31167,1.191626,-1.999802
9.2351,1.243669,-2.057827
9.32184,1.20359,-2.005784
9.283554,1.19342,-2.014757
9.313465,1.194617,-2.090131
9.272189,1.237089,-2.031507
9.259626,1.247857,-1.954936
9.303295,1.172483,-1.958525
9.350553,1.194018,-1.935195
9.330812,1.201197,-1.96032
9.343973,1.215554,-2.033301
9.369695,1.207179,-2.023132
9.259626,1.243071,-2.055435
9.375678,1.204786,-2.096711
9.295518,1.217947,-1.984846
9.299107,1.234098,-2.01356
9.247662,1.244866,-2.032104
9.32184,1.221536,-2.034497
9.419346,1.182054,-2.002194
9.350553,1.156332,-1.989632
9.28834,1.171287,-2.079363
9.21177,1.217349,-2.093122
9.223733,1.212563,-2.100898
9.339785,1.198804,-2.019542
9.47498,1.260419,-1.998605
9.413365,1.208375,-2.036292
9.295518,1.213759,-2.041676
9.242278,1.26341,-2.022533
9.275778,1.181456,-2.040479
9.270394,1.186242,-2.028515
9.299706,1.182653,-2.014158
9.346964,1.196411,-1.983052
9.370892,1.192224,-2.028515
9.299706,1.213161,-2.069792
9.221341,1.285544,-2.062613
9.247063,1.258027,-2.020739
9.333804,1.200599,-2.054238
9.355937,1.173081,-2.040479
9.39841,1.122234,-1.981257
9.317054,1.189233,-2.029712
9.280564,1.223331,-2.034497
9.28475,1.14018,-2.100898
9.310473,1.262812,-2.050649
9.349357,1.231705,-2.01356
9.354741,1.21675,-2.005784
9.364911,1.189831,-2.06022
9.308081,1.241277,-1.9669
9.360125,1.197608,-1.994418
9.394223,1.20359,-1.979463
9.242876,1.277767,-2.088336
9.245867,1.238286,-2.115853
9.196814,1.24008,-2.023132
9.345767,1.182653,-1.998605
9.454641,1.162912,-2.026721
9.391829,1.190429,-1.965704
9.366705,1.178465,-2.005185
9.266804,1.215554,-2.015355
9.228519,1.192822,-2.006382
9.306884,1.180858,-1.959124
9.325428,1.174278,-1.971088
9.405589,1.158126,-2.025524
9.319447,1.229313,-2.045863
9.372686,1.212563,-2.005784
9.309875,1.192822,-2.039283
9.258429,1.208375,-2.046462
9.299107,1.211965,-2.022533
9.303295,1.206581,-1.980061
9.342179,1.179661,-1.955534
9.266804,1.159323,-2.070988
9.220743,1.250848,-2.066801
9.31825,1.189233,-2.065604
9.322438,1.189233,-2.018346
9.297313,1.168296,-2.031507
9.251251,1.201197,-2.107479
9.309277,1.229313,-2.124228
9.323036,1.202992,-2.050649
9.360723,1.198804,-2.060819
9.37508,1.167697,-2.014757
9.322438,1.167697,-2.064408
9.257233,1.182054,-2.024328
9.220145,1.18684,-2.1003
9.294322,1.206581,-2.074577
9.373883,1.20359,-1.974079
9.38166,1.197608,-1.974677
9.308679,1.171885,-1.975873
9.343375,1.155733,-1.981257
9.280564,1.192224,-2.072782
9.250653,1.210768,-2.023132
9.238091,1.219143,-2.044667
9.272787,1.213759,-1.981257
9.385848,1.194617,-2.01356
9.397811,1.156332,-1.968097
9.450454,1.155733,-2.024926
9.33141,1.19342,-1.971088
9.249456,1.208375,-2.004587
9.217153,1.240679,-2.120041
9.309277,1.223331,-2.042274
9.369695,1.21017,-2.073381
9.391231,1.15693,-1.994418
9.340384,1.166501,-1.99382
9.310473,1.184447,-2.020739
9.302697,1.213759,-2.03689
9.253643,1.232304,-2.118844
9.336196,1.204786,-2.027917
9.369097,1.180858,-2.021337
9.279367,1.168894,-2.003989
9.302697,1.184447,-2.02373
9.296715,1.174278,-1.993221
9.312269,1.194617,-2.066202
9.309875,1.236491,-2.111068
9.401401,1.183849,-2.044069
9.309277,1.165305,-2.001596
9.194422,1.201197,-1.985445
9.292528,1.174278,-2.015355
9.230913,1.208375,-2.08714
9.264411,1.195813,-2.128416
9.409177,1.16351,-2.081158
9.364312,1.207179,-2.032104
9.363116,1.189831,-2.045863
9.270394,1.249053,-2.055435
