X,Y,Z
-3.068681,4.391816,0.814741
0.652862,-0.585514,-0.409891
0.084452,-0.293826,-0.034667
0.044288,-0.165086,-0.023824
0.012217,-0.013286,-0.008705
0.010232,0.031918,-0.006109
0.016188,0.04215,-0.002443
0.014355,0.032223,0.000305
-0.002749,0.018326,0.00733
-0.004276,-0.001985,0.003054
-0.002138,0.006109,-0.006109
0.000916,0.008858,-0.002902
0.004429,0.016188,0.001222
0.016952,0.041233,0.002596
0.004734,0.044593,0.013439
0.00672,0.019395,0.004276
-0.001222,-0.001222,0.001833
-0.003818,-0.016646,-0.003512
-0.001374,-0.002596,-0.004429
-0.002138,-0.000305,-0.006872
-0.000153,0.003207,-0.003665
0.002291,0.016799,-0.006261
0.003512,0.005192,0.000764
0.008552,0.010385,0.001527
-0.001374,0.016341,-0.006414
-0.000458,0.022602,-0.010079
-0.001527,0.005803,-0.010079
0.000916,-0.015577,-0.007025
0.000458,-0.030543,-0.003818
-0.001222,-0.021228,-0.004581
0.011912,-0.009621,-0.00504
0.01069,-0.008094,-0.002902
0.007941,-0.012675,-0.004276
0.013744,0.00504,-0.00168
0.01237,0.013744,-0.00336
0.007025,0.010843,-0.002291
0.0,0.011148,0.001222
0.008399,0.005803,0.00672
0.014203,0.003971,0.002443
0.020311,-0.000916,-0.004123
0.008705,-0.011301,-0.006109
0.004276,-0.016493,-0.005345
0.002749,0.001985,-0.010385
-0.002138,0.010996,-0.007636
0.007941,0.011454,-0.005345
0.011454,0.028711,-0.001985
0.013897,0.022449,0.005803
0.010843,0.01909,0.007178
0.008247,0.02978,-0.000305
0.010079,0.0197,-0.003818
0.001374,0.005803,-0.002291
0.000458,-0.006872,-0.001374
-0.00672,0.019395,-0.004887
-0.004123,0.043677,-0.008552
0.008094,0.043677,-0.004887
0.014813,0.022449,-0.006872
0.010996,0.000611,0.001833
0.011148,0.001985,-0.001833
0.008705,0.009621,-0.001833
0.006567,0.030849,-0.002902
0.004581,0.036957,-0.003207
-0.000153,0.019548,-0.001069
-0.002291,0.019395,-0.002596
-0.00504,0.010996,-0.008399
0.001222,0.007483,-0.005345
0.013439,0.001833,-0.003665
0.011148,0.006567,0.00336
0.01909,0.010843,-0.001985
0.006567,-0.005345,-0.006109
-0.007483,-0.015577,-0.009774
-0.007483,-0.025045,-0.010843
-0.006872,-0.017257,-0.006567
0.000458,0.00672,-0.008552
0.017868,0.018784,-0.005498
0.021838,0.017257,-0.003665
0.007483,-0.015424,-0.00672
0.000764,-0.017715,-0.006109
-0.005803,-0.019395,-0.01069
-0.003665,-0.011606,-0.015272
-0.003665,-0.005498,-0.014203
0.001222,0.012523,-0.013286
0.012065,0.023213,-0.009927
0.01237,0.039095,-0.012217
