X,Y,Z
5.353342,1.561317,-16.867605
9.67837,-0.019741,-0.707079
9.637692,-0.003589,-0.731606
9.64188,0.005384,-0.729213
9.658629,0.030508,-0.791426
9.58146,0.05324,-0.801596
9.464212,0.037687,-0.872782
9.55155,0.031107,-0.719641
9.71187,0.012562,-0.666401
9.705289,0.017946,-0.706481
9.612567,0.007777,-0.782453
9.590434,-0.014955,-0.752543
9.540184,0.001196,-0.718445
9.787842,-0.014955,-0.690329
9.608978,0.011366,-0.732204
9.620943,0.01675,-0.793819
9.67837,0.00658,-0.683749
9.668799,0.001196,-0.731606
9.698111,-0.071186,-0.677169
9.621541,-0.046062,-0.711267
9.518649,0.015553,-0.740579
9.528221,0.013161,-0.788435
9.600006,0.00658,-0.777069
9.596416,-0.001795,-0.769891
9.640683,-0.007178,-0.786042
9.647861,-0.017946,-0.785444
9.582059,-0.017946,-0.7669
9.622138,-0.051446,-0.797408
9.650254,-0.056231,-0.766301
9.609576,-0.071186,-0.760319
9.617951,-0.026321,-0.75673
9.577872,-0.041874,-0.775873
9.658629,-0.027517,-0.802792
9.613763,-0.024526,-0.753141
9.63171,-0.027517,-0.82014
9.590434,-0.035294,-0.793221
9.580265,0.144766,-0.781257
9.687343,-0.032303,-0.69691
9.707682,-0.042473,-0.771685
9.617353,-0.011366,-0.806381
9.600604,-0.00658,-0.764507
9.600604,0.010768,-0.782453
9.658629,0.026919,-0.823131
9.589237,0.052044,-0.73998
9.594022,0.071785,-0.70349
9.573085,0.061615,-0.615554
9.531211,0.080758,-0.765105
9.579667,0.022732,-0.784846
9.687343,0.01675,-0.771685
9.619148,0.056231,-0.78006
9.662817,0.050249,-0.798604
9.616755,0.01675,-0.859023
9.591032,-0.019143,-0.776471
9.569497,0.008973,-0.869193
9.569497,0.0,-0.82014
9.564711,-0.020339,-0.824926
9.571291,0.008375,-0.781257
9.589835,0.020937,-0.823729
9.579069,0.001196,-0.794417
9.604192,-0.022732,-0.885943
9.670594,-0.005982,-0.824926
9.595818,-0.003589,-0.804587
9.613165,0.010768,-0.808176
9.565309,0.06999,-0.859622
9.580265,0.068794,-0.910469
9.664611,0.031705,-0.86022
9.684351,0.016152,-0.895514
9.683156,-0.02333,-0.861416
9.637692,-0.072383,-0.817747
9.666406,-0.060419,-0.735195
9.529417,-0.043669,-0.821935
9.459426,-0.019741,-0.864407
9.625728,-0.038285,-0.811167
9.662817,-0.016152,-0.820738
9.602996,-0.030508,-0.797408
9.568898,0.012562,-0.82672
9.577273,-0.002393,-0.812961
9.666406,-0.058624,-0.82014
9.537194,-0.023928,-0.814158
9.571291,-0.022732,-0.808176
9.594022,-0.037687,-0.814756
9.577872,-0.014955,-0.8333
9.610175,-0.025125,-0.811765
9.662817,-0.037687,-0.805783
9.678968,-0.059222,-0.812363
9.667004,-0.065803,-0.810569
9.58146,-0.035294,-0.824327
9.565907,-0.007777,-0.850648
9.558729,-0.025723,-0.828515
9.64188,-0.0335,-0.765105
9.611969,-0.012562,-0.842872
9.655638,0.028116,-0.806381
9.683753,0.010169,-0.786641
9.643673,-0.149551,-0.851845
9.60479,0.013759,-0.783051
9.675378,0.007777,-0.824926
9.632308,0.004187,-0.824327
9.48515,0.050249,-0.891925
9.480364,0.062213,-0.830309
9.574282,0.020339,-0.789631
9.752548,-0.031107,-0.777069
9.759127,-0.035294,-0.800997
9.657433,0.131007,-0.862014
9.583853,0.029312,-0.805783
9.522836,0.055035,-0.957727
9.495319,0.041276,-0.967299
9.529417,-0.035892,-0.839283
9.602996,-0.009571,-0.770489
9.692129,-0.011964,-0.781257
9.673584,-0.011964,-0.8333
9.623335,-0.00658,-0.952942
9.527024,0.014357,-0.854238
9.543773,0.017348,-0.862613
9.61855,0.028714,-0.814756
9.623335,-0.019741,-0.885344
9.695119,-0.037687,-0.799203
9.574282,-0.059222,-0.818944
9.570095,-0.025723,-0.795015
9.492927,0.008375,-0.916451
9.580862,-0.007178,-1.010369
9.579069,-0.019143,-0.872782
9.626326,-0.068794,-0.799203
9.651451,-0.070588,-0.859622
9.599407,-0.107079,-0.802194
9.509078,-0.074178,-0.887737
9.637094,-0.020339,-0.958924
9.604192,0.022732,-0.961316
9.600604,0.024526,-0.835095
9.571889,-0.003589,-0.887139
9.537792,-0.015553,-0.834497
9.640085,0.016152,-0.929013
9.621541,0.007178,-0.924228
9.658031,0.001196,-0.897308
9.605389,-0.15015,-0.902094
9.480364,-0.011366,-0.888335
9.469596,-0.005982,-0.825524
9.650254,-0.032303,-0.840479
9.728619,0.007178,-0.87697
9.752548,-0.007777,-0.897907
9.571889,0.044865,-0.912264
9.477373,0.032303,-0.908076
9.538989,-0.038285,-0.905683
9.666406,-0.083749,-0.792622
9.620345,-0.068195,-0.871586
9.598809,0.001795,-0.832104
9.535399,0.038883,-0.838684
9.537194,0.045464,-0.91346
9.580862,0.039482,-0.884746
9.594022,0.019741,-0.927219
9.711271,-0.011964,-0.885943
9.67478,0.007777,-0.877568
9.633504,-0.017946,-0.891925
9.599407,-0.034696,-0.892523
9.506685,0.022732,-0.957129
9.436695,0.025125,-0.865005
9.61855,0.020339,-0.870987
9.722637,-0.019741,-0.924228
9.642477,-0.007178,-0.937388
9.531809,0.012562,-0.898505
9.499506,0.035294,-0.933799
9.502497,0.035294,-0.897308
9.61855,0.008375,-0.916451
9.685548,0.005982,-0.872184
9.658031,-0.019741,-0.915255
9.626925,-0.022134,-0.952343
9.546166,-0.022732,-0.958924
9.655638,-0.038285,-0.932004
9.728619,-0.116052,-0.964307
9.696316,-0.109472,-0.908674
9.769297,-0.128016,-0.876371
9.609576,-0.142373,-0.920638
9.524033,-0.09332,-0.998405
9.513265,-0.135793,-0.958924
9.49831,-0.043669,-1.002593
9.548559,-0.014955,-1.045065
9.64846,-0.031705,-1.04686
9.696914,-0.026919,-0.770489
9.528221,-0.036491,-1.075574
9.386445,0.008973,-0.986441
9.525828,0.043669,-0.986441
9.577872,0.02333,-1.007977
9.6347,0.011366,-0.9667
9.571889,0.028116,-0.945763
9.571291,-0.031107,-0.957727
9.695717,-0.069392,-0.93679
9.664013,-0.014955,-1.012164
9.574881,0.024526,-0.963111
9.47139,0.067597,-0.969093
9.49831,0.080758,-0.996012
9.600006,0.092124,-0.99003
9.669397,-0.001196,-0.988834
9.647861,-0.138186,-0.984048
9.604192,0.031107,-0.959522
9.615559,-0.019143,-0.99362
9.567104,0.009571,-0.960718
9.667602,-0.021535,-0.961915
9.607184,0.000598,-0.999003
9.547363,0.003589,-0.928415
9.492927,0.001196,-0.958924
9.350553,0.017946,-0.978664
9.595219,-0.017946,-0.897907
9.64487,0.020339,-0.970888
9.61496,0.034098,-0.945165
9.605987,0.047258,-1.002593
9.664013,0.019143,-0.943968
9.625728,0.021535,-1.014557
9.586844,-0.008973,-0.948754
9.543773,-0.028116,-0.884746
9.580265,-0.028714,-0.921835
9.614362,-0.014357,-0.939183
9.64487,0.011964,-0.969691
9.567104,0.008375,-0.962513
9.52523,-0.002991,-0.930808
9.593424,0.004187,-0.954138
9.593424,0.031107,-0.985843
9.651451,-0.012562,-0.958924
9.577273,0.017348,-1.010369
9.535399,0.007178,-0.903291
9.503095,0.015553,-0.949951
9.607184,0.001196,-0.944567
9.639487,-0.014955,-0.937987
9.667004,-0.034696,-0.872184
9.628719,-0.007178,-0.943968
9.564112,-0.01675,-0.93679
9.544371,0.030508,-0.915255
9.495319,0.0335,-0.936192
9.559926,-0.016152,-0.923031
9.647263,-0.019741,-0.94696
9.652049,-0.025125,-0.940379
9.67478,-0.025125,-0.845265
9.640683,-0.009571,-0.903291
9.602397,0.005982,-0.922433
9.553344,0.031705,-0.973281
9.521042,0.051446,-0.964906
9.579667,0.032901,-0.962513
9.615559,0.01675,-0.884746
9.662817,-0.008375,-0.908674
9.631112,-0.003589,-0.915853
9.637692,0.003589,-0.974477
9.606585,0.05324,-0.915853
9.573085,0.030508,-0.922433
9.616755,-0.001795,-0.915255
9.649656,0.007178,-0.839283
9.548559,0.034098,-0.898505
9.612567,0.031107,-0.962513
9.59821,0.034098,-0.937987
9.656835,-0.020937,-0.963709
9.64188,-0.015553,-0.881755
9.610773,-0.041874,-0.887139
9.592228,-0.02333,-0.924826
9.689138,-0.061615,-1.057628
9.586844,0.008375,-0.978066
9.547363,-0.025723,-0.934995
9.541978,-0.023928,-0.894916
9.528819,-0.064008,-0.89671
9.552148,-0.023928,-0.869193
9.535997,-0.018544,-0.887139
9.649656,-0.018544,-0.882353
9.635897,-0.013759,-0.952942
9.574282,-0.019741,-0.943968
9.562318,-0.04008,-0.960718
9.51147,-0.002393,-0.947558
9.55155,-0.025723,-0.938585
9.64487,-0.06999,-0.869791
9.653843,-0.071785,-0.997807
9.715458,-0.12682,-0.870987
9.689736,-0.129212,-0.961915
9.602996,-0.049053,-0.948754
9.510274,-0.009571,-0.944567
9.426526,0.032303,-0.979263
9.61496,-0.025125,-0.870987
9.69153,-0.028714,-0.879961
9.74836,-0.028116,-0.87697
9.732807,-0.017348,-0.912862
9.491131,0.02991,-0.947558
9.426526,0.041874,-0.976272
9.448061,0.029312,-0.8668
9.583255,-0.037089,-0.879961
9.68495,-0.068195,-0.878764
9.786046,-0.074178,-0.885943
9.661621,-0.051446,-0.949352
9.588639,-0.04008,-0.881755
9.530613,0.010768,-0.853041
9.542577,0.029312,-0.825524
9.506685,0.005982,-0.899103
9.58146,0.041276,-0.948754
9.5683,0.034696,-0.877568
9.667004,0.015553,-0.814756
9.67478,0.034098,-0.938585
9.611969,0.052044,-0.918844
9.554541,0.005982,-0.938585
9.617353,0.010768,-0.921237
9.602397,-0.005982,-1.004986
9.628719,-0.035892,-0.957129
9.604192,-0.020339,-0.933201
9.620943,0.003589,-0.918844
9.560523,-0.004786,-0.938585
9.60838,0.010169,-0.884148
9.658031,0.020937,-0.951745
9.631112,-0.011964,-0.985843
9.527622,-0.026919,-0.929612
9.49173,-0.021535,-0.938585
9.460024,-0.013759,-0.96012
9.504292,-0.017946,-0.923629
9.646665,-0.008973,-0.902094
9.601202,-0.028714,-0.897907
9.635299,-0.079561,-0.903291
9.702299,-0.025125,-0.893121
9.719048,-0.02991,-0.767498
9.609576,-0.004187,-0.884148
9.52523,0.026919,-0.876371
9.562318,0.020339,-0.910469
9.593424,0.037687,-0.774078
9.58146,0.009571,-0.882353
9.568898,-0.022134,-0.862613
9.561719,-0.038883,-0.897907
9.607184,-0.029312,-0.912862
9.675976,-0.074776,-0.938585
9.659826,-0.035892,-0.894916
9.643673,-0.019741,-0.854238
9.564112,0.018544,-0.987039
9.528819,-0.001196,-0.777667
9.504292,0.010768,-0.921237
9.541978,-0.002991,-0.918844
9.681361,-0.008973,-0.945763
9.692129,-0.14656,-0.896112
9.628719,-0.012562,-0.808176
9.546765,0.015553,-0.934397
9.500702,-0.012562,-0.905683
9.570693,0.026919,-0.869791
9.577872,0.039482,-1.060619
9.588639,0.031705,-0.869791
9.693923,0.022732,-0.845265
9.617353,-0.004786,-0.905085
9.606585,0.032303,-0.92004
9.558131,0.02333,-0.90688
9.495918,0.004786,-0.877568
9.541978,0.000598,-0.872782
9.680763,-0.004786,-0.852443
9.62513,0.002991,-0.918246
9.658629,0.022134,-0.860818
9.653843,0.00658,-0.902094
9.608978,0.025723,-0.929013
9.557532,0.059821,-0.881157
9.588639,0.02991,-0.899701
9.622737,0.084945,-0.769891
9.589835,-0.014357,-0.816551
9.657433,-0.005384,-0.852443
9.575479,0.010169,-0.89671
9.592826,0.019143,-0.798006
9.563514,0.034098,-0.89013
9.564711,0.026321,-0.884746
9.528819,0.017348,-0.899701
9.690932,-0.022732,-0.875773
9.673584,0.008375,-0.855434
9.60479,0.007777,-0.941576
9.527622,0.043071,-0.946361
9.518051,0.0,-0.909273
9.594022,-0.041874,-0.890728
9.753745,-0.078963,-0.846461
9.667602,-0.01675,-0.893121
9.588041,0.02333,-1.025923
9.528221,0.065803,-0.903291
9.48515,0.037089,-0.940977
9.556336,-0.017348,-0.93021
9.615559,-0.054437,-0.906282
9.694521,-0.087936,-0.880559
9.624531,-0.079561,-0.887139
9.631112,-0.040678,-0.955334
9.497114,-0.017348,-0.968495
9.621541,-0.042473,-0.879961
9.595219,-0.047856,-0.881157
9.644272,-0.083151,-0.860818
9.573684,-0.027517,-0.888934
9.59163,0.01675,-0.870987
9.541978,0.022732,-0.791426
9.552746,0.012562,-0.832702
9.584452,-0.020937,-0.870987
9.677173,-0.058026,-0.894318
