X,Y,Z
9.857831,0.215952,-0.147757
9.901501,0.219542,-0.192024
9.869795,0.299701,-0.245863
9.765707,0.381057,-0.299701
9.607782,0.463011,-0.329611
9.577872,0.474975,-0.403191
9.539587,0.4002,-0.354736
9.433704,0.304487,-0.358325
9.368499,0.210568,-0.282951
9.41516,0.176471,-0.300299
9.403196,0.148355,-0.382852
9.509676,0.111266,-0.41994
9.663414,0.065204,-0.361316
9.71187,0.047856,-0.375075
9.752548,0.096311,-0.334397
9.733405,0.196211,-0.427717
9.881162,0.408575,-0.337986
9.84826,0.222533,-0.310469
9.754343,0.196211,-0.107079
9.683753,0.178265,-0.106481
9.559926,0.183649,-0.196211
9.459426,0.175274,-0.19322
9.458827,0.202193,-0.208176
9.55155,0.270389,-0.252443
9.571291,0.230309,-0.375075
9.780065,0.23988,-0.293719
9.940982,0.189033,-0.269193
9.990633,0.112463,-0.244068
9.937393,0.15015,-0.266202
9.705888,0.185444,-0.25005
9.445668,0.235693,-0.367298
9.306286,0.309272,-0.26321
9.360125,0.321236,-0.259023
9.489935,0.29671,-0.317647
9.747762,0.234497,-0.303888
9.808181,0.21655,-0.341575
9.766904,0.159123,-0.333799
9.528221,0.324826,-0.295514
9.463614,0.284148,-0.326022
9.479765,0.331406,-0.304487
9.663414,0.303888,-0.294915
9.662219,0.296112,-0.234497
9.610175,0.38345,-0.25663
9.586844,0.397807,-0.301496
9.662817,0.36012,-0.298505
9.711271,0.41336,-0.254836
9.672986,0.399601,-0.202193
9.809975,0.419342,-0.321835
9.815359,0.343968,-0.331406
9.71486,0.381655,-0.318245
9.531809,0.374477,-0.346361
9.379865,0.403789,-0.253041
9.408579,0.364905,-0.223131
9.4684,0.284746,-0.141177
9.650254,0.198006,-0.174676
9.662219,0.194417,-0.174078
9.707084,0.20997,-0.197408
9.769297,0.180658,-0.120239
9.84826,0.223131,-0.150748
9.776475,0.364307,-0.189631
9.647263,0.43669,-0.303888
9.597014,0.433101,-0.232702
9.431909,0.478565,-0.166301
9.498908,0.471386,-0.153141
9.479765,0.485743,-0.159123
9.660424,0.458824,-0.245863
9.68196,0.397807,-0.309272
9.714262,0.388834,-0.277567
9.693325,0.368495,-0.351745
9.630513,0.332004,-0.384646
9.696914,0.281755,-0.314656
9.661023,0.200997,-0.212961
9.712468,0.181256,-0.213559
9.644272,0.221336,-0.293719
9.675976,0.262612,-0.331406
9.570095,0.285344,-0.354138
9.636495,0.329013,-0.323031
9.546166,0.409173,-0.345165
9.662219,0.41994,-0.338584
9.607184,0.422931,-0.323629
9.662219,0.409771,-0.335593
9.677173,0.381057,-0.349352
9.708879,0.357727,-0.345165
9.64188,0.345763,-0.339183
9.588041,0.385843,-0.33679
9.572487,0.355334,-0.333799
9.537792,0.355334,-0.370888
9.440882,0.335593,-0.311067
9.510872,0.280558,-0.389432
9.719048,0.192024,-0.348754
9.889537,0.162114,-0.195613
9.785449,0.155533,-0.187837
9.688539,0.253639,-0.286541
9.557532,0.20339,-0.162114
9.63171,0.22014,-0.13998
9.611371,0.308674,-0.157926
9.64846,0.409771,-0.364905
9.741182,0.378664,-0.333201
9.65504,0.38345,-0.332602
9.584452,0.360718,-0.265603
9.582059,0.314058,-0.214158
9.457034,0.280558,-0.287737
9.617951,0.25005,-0.284148
9.449257,0.267398,-0.182453
9.799208,0.22014,-0.316451
9.492328,0.291924,-0.184247
9.523434,0.311067,-0.241077
9.549756,0.43669,-0.294317
9.632906,0.245264,-0.21655
9.705289,0.226122,-0.233898
9.784253,0.258425,-0.283549
9.731012,0.275175,-0.278166
9.709477,0.284148,-0.261416
9.669397,0.30688,-0.276371
9.733405,0.294317,-0.184247
9.595818,0.292523,-0.251845
9.605987,0.255434,-0.163908
9.60479,0.266202,-0.302094
9.516855,0.288335,-0.232702
9.507283,0.293121,-0.284746
9.623335,0.26321,-0.254836
9.573684,0.24347,-0.25005
9.74178,0.229113,-0.199801
9.767502,0.218943,-0.166301
9.739387,0.214756,-0.182453
