X,Y,Z
9.813565,-0.260818,-3.467798
10.09472,-0.128614,-4.769494
10.552349,-0.254836,-5.410172
10.667802,-0.595813,-5.075776
10.506886,-0.817747,-4.292724
10.076776,-0.610768,-3.033501
9.384053,-0.865005,-2.839084
9.718449,-0.986441,-2.743371
10.310673,-0.945763,-1.622334
10.567901,-1.088136,-1.311865
11.683555,-2.123032,-1.61037
12.830914,-2.184647,-1.537987
12.741183,-1.832304,-0.43669
11.805589,-1.107279,0.477966
10.655838,-1.269991,0.412762
9.403794,-1.498505,0.433101
8.652447,-1.650449,0.556331
8.128418,-1.689333,0.434297
7.637292,-1.753939,-0.02333
7.575677,-1.401596,-0.348754
8.190633,-1.183251,-0.759123
8.563315,-0.871586,-1.328016
8.556735,-0.017946,-1.741377
9.041281,-0.407378,-1.741975
10.159926,-0.89013,-0.981655
10.442278,-0.814158,-0.987039
10.022338,-1.176671,-1.022333
8.847462,-1.243669,-0.780658
8.225927,-1.319642,-0.648455
7.82453,-1.45364,-0.702293
7.815557,-1.567897,-0.452842
8.266006,-1.770091,-0.533001
8.982657,-1.845464,-0.480359
9.607782,-1.911865,-0.784248
9.521042,-1.505684,-1.041476
9.201002,-1.185644,-1.250848
8.996416,-0.625125,-1.170688
8.855837,-0.648455,-1.396212
9.28176,-0.827318,-1.516451
9.763315,-0.955334,-1.454836
9.610773,-0.914657,-1.567897
9.189038,-0.592822,-1.602593
8.836096,-0.454038,-1.601397
8.714661,-0.251845,-1.532603
8.356933,0.133998,-1.555933
9.009576,0.04008,-1.981257
9.852448,-0.075374,-2.027917
9.937393,-0.184846,-1.724627
9.884152,-0.12323,-1.456631
10.019348,0.036491,-1.206581
9.776475,0.588634,-1.167099
9.709477,0.385843,-1.281357
10.46501,-0.277567,-1.426721
10.974083,-0.287139,-1.782055
11.149357,-0.450449,-2.004587
11.363515,-0.324826,-1.865205
10.970494,-0.192024,-1.864009
10.471591,-0.019741,-1.884946
10.537393,-0.075374,-1.91007
10.897514,-0.482752,-1.71685
11.459228,-0.835693,-1.236491
11.764911,-1.238884,-0.874577
11.218151,-1.252044,-0.93021
10.325629,-0.994816,-0.977468
9.889537,-0.774676,-0.665205
9.68495,-0.823729,-0.082552
9.614362,-0.32004,0.546162
9.645469,-0.154337,0.439681
9.721441,0.301496,0.384646
9.809975,0.571286,0.105284
9.919447,0.678365,0.07657
9.600604,0.747757,0.2333
9.446267,0.619143,0.089133
9.605389,0.700499,-0.319442
9.770493,0.681954,-0.784846
9.806385,0.606581,-0.702892
10.007383,0.620937,-0.621536
10.072588,0.384646,-0.540778
10.203595,-0.029312,-0.258425
10.045669,-0.270389,-0.035892
9.171689,-0.44327,0.176471
8.68475,-0.594616,0.261416
8.099705,-0.436092,0.434297
7.808379,-0.312263,0.125025
7.88794,-0.177667,-0.022732
7.990831,-0.175274,-0.007178
8.338389,0.008973,-0.157328
8.505887,0.401396,-0.276969
8.587244,0.735195,-0.469591
8.90489,0.834497,-0.71665
9.101699,0.987637,-0.662812
9.439087,0.785444,-0.870389
9.326026,0.722034,-0.986441
9.280564,0.5001,-0.882353
9.134003,0.336192,-0.781855
9.06162,0.197408,-0.764507
8.848061,0.114257,-0.967897
9.098709,-0.178265,-1.294517
9.217752,-0.152542,-1.429712
9.166904,-0.296112,-1.581656
9.013764,-0.324826,-1.758725
