X,Y,Z
8.967701,1.025324,-0.926621
9.332607,0.968495,-0.267996
9.528221,0.999003,-0.455833
9.559328,1.028316,-0.479163
9.54497,1.11685,-0.880559
9.866805,0.947558,-1.185644
9.617951,1.237089,-0.728016
9.158529,1.79701,-1.092922
9.546166,2.392224,-1.07019
10.40878,2.554936,-0.355334
10.847863,2.494518,0.659821
11.413764,2.28036,1.806581
11.529218,2.204986,1.945365
11.324632,2.273181,1.779662
11.272588,2.294119,1.599004
10.861022,2.445465,1.110868
10.648061,2.648855,1.154537
10.608579,2.726023,0.671187
11.520246,2.588436,0.256032
11.501701,2.050051,-0.075374
11.36531,1.3669,0.259621
10.649258,0.796212,0.160917
9.780065,0.42353,-0.220738
8.91506,0.505484,-0.354736
8.536993,0.278166,-0.08674
8.025528,0.118445,0.193819
8.342576,-0.337986,0.629911
8.927622,-0.02991,0.909273
9.279367,0.433101,0.557528
9.632906,0.89013,0.362513
9.448659,1.321436,0.181256
9.134601,1.589432,-0.2333
8.872587,2.097309,-0.211167
8.481361,2.503491,-0.234497
8.509476,2.7003,-0.369691
9.056835,2.26361,-0.974477
9.491131,2.544169,-0.37687
9.524033,2.365903,-0.489332
9.343375,2.10688,-0.329611
8.817552,1.733002,-0.376271
8.370693,1.360918,-0.527617
8.139785,1.098904,-0.414557
8.047661,0.97029,-0.327817
8.155937,0.875773,-0.236291
8.398808,0.77348,-0.052044
8.522038,0.817149,0.022134
8.720643,1.074976,-0.277567
9.024531,1.167099,-0.520439
9.069396,1.379462,-0.44686
8.964113,1.495514,0.230309
8.475976,1.75693,0.119641
8.449058,2.197808,-0.491127
8.712866,2.49033,-0.502493
8.922238,2.711068,-0.295514
8.909077,2.682354,-0.472583
9.101101,2.581258,-0.752543
9.147762,2.441875,-0.674776
9.026924,2.262414,-0.877568
8.99821,2.145165,-0.847059
8.757732,2.134398,-0.465404
8.447262,2.127219,-0.452842
8.106286,2.16371,-1.021137
8.269596,2.035694,-1.674378
8.720643,1.912463,-2.017748
9.025727,2.120639,-2.020141
8.810374,2.604588,-1.94357
8.801401,2.718246,-1.253839
9.420543,2.32702,-0.041874
10.484153,1.758126,0.889532
11.873187,1.272383,1.590031
12.641283,1.417149,1.956132
12.108282,1.813161,1.564906
11.994622,2.065006,0.97687
11.906686,1.874777,0.984048
11.338989,1.752144,1.024726
10.674982,1.735395,0.903889
10.490733,1.758725,0.787239
11.356337,1.627119,0.964307
11.983257,1.601995,1.195813
11.74158,1.660619,1.146162
11.423336,1.612763,1.341177
11.133804,1.0002,1.454836
10.546366,0.543171,1.460818
9.619148,0.150748,1.692324
8.441281,0.055633,1.730011
7.599006,0.480359,1.079761
7.004988,1.068994,-0.142373
7.135397,1.469193,-0.631107
7.928618,1.382453,-0.650848
8.901301,1.181456,-0.354736
9.586246,1.031306,0.02991
9.305687,1.08694,0.070588
8.968898,1.436292,-0.576072
9.731611,1.375873,-0.816551
10.004392,1.234696,-0.97687
9.769895,1.185644,-0.992423
9.571291,1.104886,-0.784846
9.284152,0.779462,-0.267398
9.008978,0.690927,0.367896
8.679965,0.608375,0.484547
8.365907,0.779462,0.195015
8.077571,0.83689,0.05683
7.750352,1.118046,-0.031705
7.893922,1.174876,-0.665205
8.501102,1.165305,-1.12702
8.763713,1.078565,-0.786042
8.929416,1.167697,-0.786641
8.85464,1.328615,-0.680758
8.822338,1.46022,-0.57009
9.172886,1.463809,-0.729213
9.565309,1.417747,-1.150948
9.71486,1.224527,-1.080958
9.936197,0.849452,-0.78006
9.856037,0.556331,-0.892523
9.589835,0.507877,-0.905085
9.394223,0.592822,-1.09352
9.256037,0.834497,-1.484747
9.32184,0.908076,-1.529612
9.37807,0.809372,-1.461416
9.465409,0.537787,-1.189831
9.731012,0.202792,-1.033699
9.927224,0.044267,-0.823131
9.883555,0.177069,-0.771087
9.82493,0.684945,-1.025923
10.301102,1.054637,-1.147957
10.741382,1.237688,-0.854836
11.799608,1.207777,-0.550947
12.411573,1.173081,-0.473181
12.120844,1.044467,0.170489
10.774882,1.151546,0.518046
9.552148,1.283151,0.958924
8.842079,1.627718,0.750748
8.637492,1.865205,-0.145962
8.670393,2.121237,-0.479163
9.270394,2.260619,-1.015155
9.919447,2.334198,-1.842473
10.521839,2.608176,-1.951347
11.00878,2.439482,-0.750748
11.705091,1.901098,-0.386441
12.107085,1.475773,-0.225524
12.332011,0.963111,0.089133
11.389837,0.902692,0.234497
10.158729,0.495314,0.467199
8.964113,0.325424,0.260818
