X,Y,Z
-0.767705,-1.417665,1.66812
-0.660956,1.201725,0.649044
0.157298,0.008858,0.371101
0.100029,0.147524,0.288176
0.020464,0.302836,0.289856
-0.112094,0.422261,0.247095
-0.205709,0.515418,0.140804
-0.208458,0.357814,0.10064
-0.239306,0.100029,0.083689
-0.321468,-0.162032,0.013286
-0.36881,-0.463952,-0.076053
-0.336587,-0.669508,-0.129503
-0.245415,-0.665843,-0.14676
-0.20296,-0.455858,-0.088117
-0.185703,-0.168599,-0.018173
-0.228464,-0.022602,-0.004123
-0.311694,-0.133779,-0.015882
-0.384387,-0.365603,-0.040623
-0.575588,-0.484722,-0.058948
-0.67974,-0.318566,-0.103847
-0.755946,-0.083994,-0.169057
-0.774883,0.130878,-0.275806
-0.741438,0.223729,-0.394161
-0.704022,0.186619,-0.369268
-0.544128,0.01741,-0.307571
-0.343459,-0.1799,-0.159894
-0.108887,-0.272293,-0.006872
0.166308,-0.210749,0.183565
0.438449,-0.23274,0.349415
0.624151,-0.058796,0.422871
0.711963,0.111483,0.412487
0.676075,0.247248,0.363312
0.550695,0.271224,0.299935
0.466701,0.15684,0.262367
0.365756,-0.000611,0.251066
0.24511,-0.103542,0.221439
0.141721,-0.124922,0.158367
0.038485,-0.049327,0.045051
-0.040164,0.076664,-0.029627
-0.077122,0.211512,-0.071624
-0.128893,0.313985,-0.093768
-0.147982,0.363465,-0.108887
-0.123853,0.293368,-0.108887
-0.053756,0.143859,-0.101251
0.04047,0.014661,-0.087812
0.180053,-0.046731,-0.054825
0.334296,-0.023366,0.002443
0.408058,0.052687,0.044288
0.421344,0.124617,0.054672
0.4751,0.125075,0.064446
0.564745,0.108734,0.0956
0.565508,0.114537,0.143095
0.509156,0.14111,0.172875
0.500299,0.170126,0.170126
0.483958,0.203265,0.150731
0.395535,0.250455,0.134238
0.288939,0.295353,0.085063
0.166003,0.294132,0.026267
0.030085,0.273973,-0.0197
-0.022755,0.288176,-0.054978
0.020769,0.282525,-0.050091
0.102778,0.22938,-0.006109
0.101404,0.212734,0.037568
0.015577,0.296728,0.036194
-0.078191,0.4076,-0.027489
-0.116064,0.401949,-0.127671
-0.178373,0.264963,-0.15684
-0.175929,0.028711,-0.149815
-0.059712,-0.183718,-0.13775
0.141873,-0.358883,-0.135612
0.333991,-0.408058,-0.175471
0.460592,-0.380722,-0.203876
0.493426,-0.334601,-0.161421
0.403935,-0.195171,-0.174707
0.289092,-0.09163,-0.200975
0.184329,-0.068417,-0.18891
0.083841,-0.143706,-0.131641
0.020922,-0.305738,-0.104611
0.0281,-0.572533,-0.118661
0.062308,-0.586736,-0.099724
0.098502,-0.441045,0.004581
0.069944,0.094073,0.045357
0.072082,0.507629,0.099418
0.127365,0.777479,0.128587
0.270308,0.946841,0.178525
0.391412,0.969138,0.254884
0.518014,0.815505,0.348346
0.545961,0.463799,0.315512
0.445932,0.000764,0.235336
0.325286,-0.342237,0.041844
0.239917,-0.532674,-0.184176
0.175318,-0.562912,-0.384387
0.072388,-0.495717,-0.344681
-0.038943,-0.321621,-0.255036
-0.162643,-0.094226,-0.221286
-0.260687,0.022144,-0.214566
-0.366977,0.154396,-0.222049
-0.413708,0.153938,-0.214261
-0.331242,0.180358,-0.160352
-0.113468,0.280082,-0.069791
0.095906,0.362854,0.024893
0.223577,0.444404,0.095295
0.317497,0.474031,0.1799
0.329562,0.460287,0.20968
0.205862,0.313068,0.14279
0.016799,0.090408,0.036957
-0.083536,-0.092699,-0.096975
-0.139277,-0.16081,-0.148898
-0.133932,-0.15684,-0.151495
-0.104305,-0.161421,-0.115912
-0.110108,-0.097433,-0.088423
-0.140194,-0.010079,-0.066279
-0.155923,0.046426,-0.054062
-0.143706,0.111025,-0.068264
-0.153785,0.199448,-0.071929
-0.153785,0.282525,-0.069028
-0.149662,0.25977,-0.06521
-0.176845,0.201433,-0.054672
-0.222202,0.166308,-0.034667
-0.267406,0.223119,-0.01909
-0.262214,0.301157,-0.019395
-0.247095,0.43799,-0.066584
-0.12034,0.495106,-0.143859
-0.006567,0.357814,-0.156229
0.112552,0.113926,-0.141873
0.075136,-0.147524,-0.101709
-0.006109,-0.318566,-0.093768
-0.074067,-0.198989,-0.150578
-0.128129,0.17318,-0.208152
-0.074831,0.568868,-0.188452
0.04444,0.815658,-0.130572
0.163101,0.847575,-0.078191
0.221897,0.595899,-0.075136
0.116828,0.206014,0.024129
-0.031612,-0.06857,-0.004581
-0.214414,-0.218995,-0.124006
-0.399811,-0.465021,-0.245721
-0.490983,-0.839023,-0.370948
-0.549626,-1.152397,-0.449902
-0.598037,-1.024574,-0.453873
-0.498466,-0.495106,-0.344528
-0.277027,0.071013,-0.19059
-0.073915,0.492205,-0.073304
0.098349,0.759764,-0.060781
0.197462,0.888809,-0.051007
0.247859,0.719752,0.007178
0.253051,0.335518,0.088423
0.234267,-0.122478,0.149357
0.235183,-0.431271,0.135765
0.210901,-0.604909,0.077733
0.14676,-0.610865,0.025351
0.077427,-0.442725,-0.031001
0.053603,-0.195782,-0.062308
0.006261,0.036041,-0.051465
-0.049175,0.223271,-0.060476
-0.092546,0.279929,-0.088423
-0.16921,0.297644,-0.113926
-0.280234,0.348193,-0.156687
-0.313679,0.327118,-0.170431
-0.266948,0.277027,-0.161268
-0.191964,0.244499,-0.123089
-0.076511,0.139125,-0.111483
0.064446,-0.029627,-0.008094
0.119882,-0.154702,0.028405
0.122173,-0.131183,0.023976
0.192423,-0.041386,0.01573
0.223729,0.046273,0.029474
0.226478,0.200211,0.0281
0.193033,0.296422,0.021686
0.134238,0.283594,-0.009621
0.065821,0.189521,-0.048411
-0.02978,0.131794,-0.105222
-0.109192,0.052534,-0.158061
-0.127824,0.00336,-0.173944
-0.102625,0.071777,-0.161727
-0.001374,0.199142,-0.136681
0.099724,0.349873,-0.112399
0.137597,0.48747,-0.04612
0.168904,0.563523,0.049786
0.225715,0.498161,0.131336
0.162796,0.379653,0.149204
-0.036194,0.256411,0.067959
-0.106901,0.041233,-0.007025
-0.072082,-0.194408,-0.03711
0.050549,-0.311999,-0.06521
0.17318,-0.111025,-0.008552
0.214872,0.403935,0.067959
0.215025,0.747699,0.109039
0.206472,0.687223,0.107054
0.143706,0.384234,0.097433
0.05116,-0.031154,0.049175
-0.121104,-0.556956,-0.02474
-0.331089,-1.15255,-0.208916
-0.547182,-1.572062,-0.376598
-0.590249,-1.541824,-0.405156
-0.533133,-1.051146,-0.282525
-0.333532,-0.272904,-0.113468
-0.123395,0.535729,0.062156
-0.002749,1.027781,0.227853
0.043371,1.185079,0.292604
0.047342,1.055728,0.286038
-0.022144,0.789543,0.231518
-0.103389,0.488845,0.181122
-0.146302,0.262214,0.113774
-0.176082,0.066432,0.033292
-0.235641,-0.192881,-0.080329
-0.348651,-0.533285,-0.200364
-0.403477,-0.780686,-0.327424
-0.487318,-0.785267,-0.366366
-0.536798,-0.62858,-0.321621
-0.508851,-0.308334,-0.233351
-0.439823,-0.086132,-0.133627
-0.338725,-0.068722,-0.079107
-0.163406,-0.150731,-0.066279
-0.04047,-0.245873,-0.010996
0.067042,-0.303753,0.058643
0.146302,-0.311999,0.15684
0.191812,-0.15684,0.17318
0.249997,-0.046578,0.210749
0.302989,0.059712,0.198073
0.296881,0.120646,0.17318
0.226478,0.147066,0.159894
0.12202,0.178525,0.126296
0.045968,0.175013,0.094379
0.025198,0.037415,0.095448
0.01573,-0.168904,0.075442
0.013286,-0.309556,0.071471
-0.032681,-0.287718,0.106138
-0.145539,-0.181732,0.097586
-0.231671,-0.124464,0.030391
-0.235794,-0.100029,-0.009163
-0.152105,-0.016952,0.078038
-0.064141,0.151953,0.149967
-0.042302,0.262214,0.2558
-0.09331,0.248775,0.281609
-0.140804,0.256105,0.252135
-0.14279,0.323606,0.222813
-0.144164,0.443183,0.216246
-0.152105,0.570701,0.15516
-0.15348,0.452957,0.110261
-0.244652,0.036041,0.116217
-0.327882,-0.309556,0.018326
-0.345139,-0.453415,-0.106138
-0.282067,-0.543517,-0.124311
-0.202196,-0.471283,-0.077122
-0.124769,-0.147371,-0.064752
-0.01237,0.092852,-0.083536
0.08659,0.045662,-0.051618
0.160505,-0.146302,-0.036346
0.173791,-0.410654,-0.052229
0.030391,-0.779464,-0.070708
-0.055741,-1.178664,-0.092241
-0.204029,-1.394758,-0.117592
-0.359036,-1.265407,-0.157603
-0.379805,-0.725708,-0.166461
-0.343612,-0.000916,-0.159589
-0.262977,0.464105,-0.10736
-0.134849,0.669356,-0.054672
0.01069,0.708145,0.027031
0.090866,0.514654,0.154243
0.17822,0.225409,0.23839
0.286038,0.031307,0.287718
0.364992,-0.1237,0.331853
0.401033,-0.215025,0.3514
0.399353,-0.261298,0.358731
0.327882,-0.055589,0.294132
0.263741,0.138361,0.229074
0.194561,0.301767,0.17318
0.143706,0.368504,0.153174
0.092546,0.343459,0.152105
0.05116,0.26817,0.164017
0.013439,0.190285,0.136681
-0.042302,0.099724,0.080634
-0.108276,0.027947,0.020006
-0.152564,0.060781,-0.035583
-0.111788,0.144011,-0.068875
-0.031001,0.199906,-0.03879
0.062003,0.192423,0.00901
0.194561,0.121409,0.053603
0.324369,0.048716,0.103084
0.447764,0.030085,0.114385
0.519541,0.115301,0.088728
0.549015,0.200517,0.032987
0.564898,0.240223,-0.025504
0.555582,0.189368,-0.031918
0.468839,0.08491,-0.016035
0.339183,-0.109956,0.025504
0.187994,-0.198378,0.04444
0.035736,-0.160505,-0.016035
-0.114232,-0.04948,-0.1237
-0.231976,0.011759,-0.244193
-0.281609,-0.030391,-0.260992
-0.271988,-0.062308,-0.197768
-0.197462,-0.039095,-0.073457
-0.058796,0.076205,0.056963
0.069333,0.243735,0.177456
0.194866,0.268475,0.246637
0.243124,0.236099,0.216246
0.212428,0.022449,0.166308
0.204945,-0.351553,0.044593
0.181885,-0.591928,0.042608
0.250913,-0.58582,0.102473
0.279013,-0.29291,0.230754
0.261298,0.16249,0.279318
0.155313,0.553597,0.206014
-0.093615,0.728762,0.039859
-0.357051,0.688903,-0.151036
-0.525497,0.356898,-0.258854
-0.542296,-0.117439,-0.246179
-0.4554,-0.495717,-0.179594
-0.296881,-0.650266,-0.114537
-0.140041,-0.73258,-0.037415
-0.012828,-0.595594,-0.048258
0.0759,-0.370032,-0.056047
0.134238,-0.034819,-0.039095
0.17654,0.256411,-0.002902
0.214872,0.507629,0.029322
0.234114,0.731511,0.050091
0.220522,0.819934,0.040928
0.141721,0.71517,0.011301
0.042302,0.332922,-0.066737
-0.044288,-0.047647,-0.147524
-0.066584,-0.364839,-0.20296
-0.052076,-0.498466,-0.277638
-0.016188,-0.543365,-0.259007
-0.019853,-0.482736,-0.189521
-0.09163,-0.492357,-0.145386
-0.156076,-0.605062,-0.18387
-0.204182,-0.705855,-0.219606
-0.220981,-0.494343,-0.262977
-0.170737,-0.121868,-0.264657
-0.011301,0.202807,-0.14844
0.165086,0.422719,-0.000916
0.31597,0.522137,0.116217
0.433103,0.501368,0.184329
0.487776,0.478613,0.266948
0.512974,0.498008,0.316886
0.516181,0.620792,0.352011
0.533438,0.84895,0.363312
0.543059,1.052979,0.299935
0.53634,1.029308,0.193186
0.479682,0.719446,0.181885
0.363007,0.251218,0.22266
0.196851,-0.205709,0.247859
-0.012065,-0.633467,0.219453
-0.254425,-0.956462,0.135001
-0.432034,-1.103681,0.088117
-0.589638,-0.876897,-0.070402
-0.665538,-0.44303,-0.093921
-0.658513,0.027489,-0.071166
-0.59483,0.290008,0.003207
-0.564287,0.433256,0.066432
-0.604757,0.458913,0.056658
-0.655306,0.403324,-0.046884
-0.584445,0.290314,-0.147524
-0.500299,0.149509,-0.195782
-0.370948,0.026114,-0.204182
-0.189521,-0.110567,-0.198989
-0.051465,-0.172569,-0.136223
0.034819,0.066584,-0.08659
0.149967,0.518625,-0.000764
0.285885,0.904386,0.053451
0.362854,1.19134,0.076511
0.380874,1.063669,0.072235
0.383013,0.271377,0.079107
0.283289,-0.68814,0.092546
0.099876,-1.340544,-0.000764
-0.130114,-1.684919,-0.109192
-0.299782,-1.478294,-0.187994
-0.313679,-0.829555,-0.209221
-0.283441,-0.144622,-0.198837
-0.292604,0.227242,-0.160199
-0.325591,0.386372,-0.133627
-0.373697,0.382402,-0.096975
-0.419512,0.261756,-0.000305
-0.383471,0.16249,-0.007025
-0.252593,0.070097,0.04215
-0.103694,0.0197,0.09896
0.048106,0.018021,0.139583
0.137292,0.021533,0.147371
0.145997,-0.002596,0.135459
0.11301,-0.07254,0.107054
0.065973,-0.152258,0.084452
0.033598,-0.198378,0.07422
0.008552,-0.19395,0.06521
-0.058185,-0.12538,0.033598
-0.156992,-0.068875,-0.01405
-0.268781,-0.077733,-0.080787
-0.319024,-0.123242,-0.145691
-0.316123,-0.144928,-0.183565
-0.304669,-0.092852,-0.177915
-0.259312,0.051924,-0.135612
-0.194561,0.260992,-0.088117
-0.130878,0.458913,-0.058338
-0.071624,0.564287,-0.059254
0.027031,0.470213,-0.01069
0.143706,0.210138,0.056352
0.27153,-0.044899,0.141415
0.321926,-0.131794,0.160199
0.302684,-0.048869,0.153938
0.236558,0.142484,0.089644
0.149967,0.275958,-0.002138
0.052534,0.284358,-0.03543
-0.04383,0.148593,-0.045509
-0.135154,0.001985,-0.06353
-0.209985,-0.070708,-0.078649
-0.202196,-0.040928,-0.073762
-0.132558,0.035736,-0.06521
-0.03711,0.1518,-0.047037
0.030849,0.250913,-0.01573
0.040317,0.358425,0.014966
0.026267,0.541685,0.062308
-0.014203,0.533438,0.136987
-0.033292,0.550084,0.176387
-0.095295,0.510989,0.142484
-0.125838,0.307265,0.081245
-0.091935,-0.071471,-0.010079
-0.095142,-0.385456,-0.091782
-0.096517,-0.41493,-0.123853
0.013134,-0.057421,-0.062614
0.127824,0.449597,0.038026
0.190437,0.724333,0.072693
0.260381,0.633925,0.040012
0.300698,0.122631,0.016035
0.232129,-0.535271,-0.050855
0.147829,-1.272738,-0.125838
0.111025,-1.391856,-0.265574
0.142332,-0.873385,-0.225409
0.147066,-0.206014,-0.135459
0.074984,0.245568,-0.104458
-0.017104,0.401644,-0.102778
-0.021533,0.332769,-0.104458
0.016493,0.15012,-0.081092
0.10064,-0.048106,-0.020311
0.173638,-0.123089,0.029169
0.206778,-0.111636,0.041692
0.217468,-0.144622,0.016952
0.206625,-0.292146,-0.053145
0.177609,-0.438754,-0.132405
0.135001,-0.47449,-0.165697
0.087201,-0.417985,-0.142637
0.083383,-0.277791,-0.089339
0.122937,-0.220828,-0.034819
0.162948,-0.158672,0.0281
0.182038,-0.094226,0.064599
0.154091,-0.054978,0.082925
0.09331,0.021075,0.055741
0.042608,0.036346,0.04047
0.004123,0.03879,0.046426
0.034667,0.087812,0.055283
0.085521,0.148593,0.10064
0.09499,0.157298,0.124158
0.030391,0.193797,0.128434
-0.066279,0.139277,0.111788
-0.154702,0.048106,0.07025
-0.219301,-0.024129,0.036805
-0.199906,-0.020922,0.000916
-0.133627,0.045509,0.015119
-0.057727,0.152258,0.052076
-0.035277,0.203418,0.102167
-0.040317,0.12874,0.133169
-0.021686,0.073151,0.136223
0.018173,0.077122,0.146302
0.07758,0.110719,0.193492
0.097128,0.12874,0.251676
0.029474,0.107512,0.25244
-0.092241,0.072235,0.182191
-0.201127,0.054978,0.052534
-0.212734,0.020922,-0.006567
-0.172111,0.084147,0.002749
-0.124464,0.218995,0.059559
-0.041233,0.330936,0.113621
-0.074373,0.368046,0.129198
-0.029932,0.246942,0.120799
0.034667,0.011759,0.119577
0.141263,-0.235336,0.19792
0.158367,-0.161116,0.105374
0.14615,-0.12202,0.03879
0.107512,-0.025504,-0.009163
0.041997,0.160199,-0.051007
-0.05452,0.361174,-0.062919
-0.153327,0.368046,-0.099724
-0.23106,-0.026725,-0.087506
-0.321773,-0.659887,-0.051924
-0.371864,-1.189355,-0.047647
-0.487929,-1.291522,-0.071013
-0.617432,-0.673784,-0.192117
-0.646601,0.060323,-0.273668
-0.673173,0.52061,-0.285732
-0.730442,0.807411,-0.254273
-0.777784,0.920116,-0.22938
-0.787253,0.878271,-0.24679
-0.69715,0.73426,-0.206014
-0.451277,0.445473,-0.124922
-0.172569,0.13439,-0.033292
0.098502,-0.132558,0.098349
0.31597,-0.294743,0.176693
0.466854,-0.369573,0.213192
0.484263,-0.547182,0.316886
0.356898,-0.350026,0.191048
0.277027,-0.297644,0.166461
0.219453,-0.229838,0.14447
0.130725,-0.104458,0.127213
0.075595,-0.065057,0.091172
-0.039706,-0.005803,0.016952
-0.178984,0.080176,-0.082467
-0.28787,0.112094,-0.171653
-0.313985,0.122326,-0.227853
-0.274737,0.110567,-0.222966
-0.191659,0.100945,-0.165392
-0.078954,0.07926,-0.073915
0.041386,0.148898,-0.005956
0.141263,0.242972,0.065515
0.222202,0.259923,0.121257
0.274584,0.165392,0.140194
0.309556,0.032529,0.126449
0.306807,-0.087506,0.124769
0.223577,-0.130267,0.102778
0.083841,-0.111025,0.049022
-0.034819,-0.052382,-0.012217
-0.114079,-0.006414,-0.041692
-0.177915,-0.000305,-0.049938
-0.232434,0.005651,-0.065973
-0.258701,0.02642,-0.085368
-0.257785,0.080329,-0.137292
-0.259465,0.155313,-0.174707
-0.233198,0.30696,-0.201127
-0.14279,0.307876,-0.164017
-0.037415,0.339488,-0.14676
0.076511,0.334754,-0.08995
0.180969,0.384692,-0.031154
0.243124,0.407142,-0.017257
0.252287,0.354455,-0.013592
0.214719,0.206931,-0.076664
0.129503,-0.152869,-0.134085
0.110567,-0.63362,-0.25076
0.15348,-0.98838,-0.276417
0.377057,-0.873537,-0.215788
0.576046,-0.273515,-0.005345
0.749532,0.250302,0.174249
0.75228,0.612392,0.217468
0.598801,0.588874,0.178067
0.378889,0.284663,0.103694
0.120035,-0.254273,-0.001527
-0.096059,-0.853837,-0.163101
-0.341321,-1.229824,-0.317345
-0.510225,-1.266934,-0.461356
-0.544739,-1.001514,-0.512974
-0.44135,-0.535271,-0.451735
-0.25977,0.048716,-0.309861
-0.096669,0.519388,-0.146455
0.053451,0.79947,-0.013592
0.169668,0.88942,0.081551
0.288634,0.864069,0.140499
0.364381,0.714865,0.206014
0.423482,0.517861,0.232892
0.459523,0.217468,0.245568
0.449444,-0.018479,0.17654
0.408363,-0.210596,0.078038
0.357203,-0.387441,-0.007025
0.314596,-0.494648,-0.036805
0.29459,-0.553138,-0.008399
0.248164,-0.608116,0.06017
-4.953201,4.825071,4.525748
0.143248,0.610102,-0.271682
0.284358,-0.253815,-0.167377
0.247706,-0.159283,-0.098197
0.157756,-0.015119,-0.082772
0.068264,0.0759,-0.134543
-0.008399,0.155923,-0.184787
-0.030238,0.175013,-0.198531
0.019548,0.059559,-0.180511
0.077122,-0.130114,-0.137139
0.089339,-0.244041,-0.094226
0.060628,-0.238848,-0.08659
0.02642,-0.107054,-0.086285
0.002138,0.080634,-0.095295
-0.043371,0.221897,-0.104
-0.070402,0.320552,-0.125533
-0.109039,0.446695,-0.133321
-0.138056,0.598495,-0.155007
-0.114385,0.75396,-0.184481
-0.009621,0.806189,-0.182649
0.077733,0.588569,-0.067806
-0.025809,0.292299,0.032376
-0.120646,-0.079412,-0.006567
-0.01405,-0.511905,-0.077885
0.210901,-0.84559,-0.059407
0.474031,-0.80512,-0.010385
0.628275,-0.305891,0.117592
0.623235,0.57742,0.184481
0.540921,0.976926,0.17822
0.363007,0.806953,0.101098
0.171042,0.257022,0.087812
0.020006,-0.158672,0.069639
-0.112552,-0.363159,0.025962
-0.281456,-0.661109,-0.104763
-0.406378,-1.103528,-0.336281
-0.406225,-1.305114,-0.496786
-0.261603,-0.921643,-0.387747
-0.026573,-0.122326,-0.117133
0.252745,0.588874,0.140652
0.438449,0.988991,0.295811
0.55436,1.154383,0.324064
0.592692,0.970207,0.268475
0.548099,0.518014,0.229227
0.423482,0.123547,0.179594
0.237627,-0.149967,0.058796
0.062003,-0.253662,-0.062766
-0.094379,-0.295506,-0.180969
-0.1996,-0.438449,-0.21869
-0.23274,-0.599106,-0.244346
-0.194561,-0.693332,-0.176693
-0.111025,-0.6269,-0.073457
-0.03711,-0.345444,0.000458
0.049786,0.025045,0.022449
0.157298,0.303295,0.047495
0.282831,0.451735,0.099266
0.378278,0.509156,0.20464
0.372322,0.427148,0.309403
0.235183,0.188146,0.358731
0.0478,-0.036805,0.265574
-0.136223,-0.202349,0.121715
-0.268933,-0.231671,-0.03711
-0.293063,-0.166155,-0.126449
-0.256105,-0.045204,-0.12706
-0.181274,0.053909,-0.006414
-0.133474,0.207389,0.124006
-0.135001,0.348193,0.170584
-0.271682,0.275653,0.183107
-0.424704,0.094226,0.092088
-0.499077,0.085521,-0.058032
-0.452651,0.242361,-0.146913
-0.371253,0.491899,-0.13775
-0.339947,0.782366,-0.059101
-0.324369,0.934624,-0.018326
-0.330325,0.955088,-0.074373
