X,Y,Z
11.33181,-0.977468,1.461416
10.917254,-0.520439,1.234696
10.576875,0.122632,0.932603
10.612169,0.570688,0.765703
10.390235,1.131207,0.638884
10.070195,1.496112,0.340379
9.813565,1.760519,-0.108873
10.213765,1.463211,-0.096909
10.648061,0.774676,0.230907
9.933804,0.54018,0.68016
9.667004,0.509073,0.61675
9.795021,0.287139,0.424128
9.593424,0.249452,-0.087936
9.205787,0.355334,-0.49352
8.595618,0.473181,-0.533599
8.166106,0.424726,-0.014955
7.805387,0.115454,0.198604
7.667202,-0.046062,0.171685
7.412367,-0.247657,0.177667
6.888936,-0.250648,0.358325
6.390033,-0.017348,0.257228
6.350551,0.165105,-0.032901
7.071389,0.108873,-0.185444
7.679166,-0.038285,-0.471386
8.554341,-0.213559,-0.799801
8.722437,-0.073579,-1.083949
8.559127,0.131605,-0.894318
8.285149,0.227916,-0.806381
8.444272,0.33679,-0.925424
8.807382,0.337986,-1.041476
9.616157,0.291924,-0.974477
10.103096,0.109472,-0.890728
10.290933,0.020339,-0.964307
9.728619,0.241675,-1.250848
9.047264,0.64666,-1.622334
8.633903,0.969691,-1.761117
8.523833,0.951745,-1.862812
8.581261,0.775873,-1.97707
8.660223,0.479761,-1.765903
8.689536,0.024526,-1.777867
8.780464,-0.098704,-1.816152
8.833106,-0.128614,-1.65344
9.140583,-0.152542,-1.57687
9.796814,-0.259023,-1.72702
10.028919,-0.166899,-1.899901
10.40878,-0.06999,-2.286342
10.700702,-0.057428,-1.841875
10.62832,0.200399,-1.719841
10.57508,0.560519,-1.940579
11.173286,0.549153,-2.144567
11.772687,0.386441,-1.957927
11.986845,0.272782,-1.639682
11.977872,0.0999,-1.308874
11.992229,-0.010169,-0.85663
12.254841,0.043071,-0.716052
12.844075,0.043669,-0.489332
12.993028,-0.092722,0.005384
12.67897,-0.199801,0.089731
11.854642,-0.332602,0.252443
10.887344,-0.562313,0.370888
10.0014,-0.711865,0.227318
9.463015,-0.929013,0.365504
9.379267,-1.192822,0.672383
9.925429,-1.374078,0.674776
10.175478,-1.153341,0.550947
10.183255,-0.792622,0.632303
10.040883,-0.57667,0.547358
9.99542,-0.166301,0.254836
9.760922,-0.132802,-0.112463
9.484552,-0.108275,-0.157926
9.256635,-0.203988,-0.210568
8.732606,-0.201595,-0.100499
7.942377,-0.204586,0.148953
7.473982,-0.250648,0.245264
7.343573,-0.510269,0.352343
7.077371,-0.595813,0.059821
6.980462,-0.79681,-0.102891
6.512665,-0.92004,-0.071186
6.217152,-0.764507,-0.077169
6.42772,-0.982852,-0.332004
7.089933,-1.210768,-0.924228
7.525427,-1.18684,-0.749552
7.629515,-1.032503,-0.742971
7.643872,-0.705284,-0.789631
8.266604,-0.678365,-0.938585
8.864809,-0.672383,-0.992423
9.661621,-0.571885,-1.027119
10.519447,-0.884746,-0.749552
11.015958,-1.261616,-0.581456
11.028521,-1.260419,-0.430708
10.703694,-1.243071,-0.424726
10.16232,-1.12343,-0.544965
9.613763,-0.982254,-0.529412
9.189038,-0.888934,-0.502493
9.202198,-0.862613,-0.718445
9.074182,-0.66341,-0.958325
9.462417,-0.560519,-1.272982
9.33141,-0.714258,-1.283151
9.150753,-0.769891,-1.027717
9.229716,-0.856032,-1.099502
9.494123,-0.955933,-1.042672
9.872787,-0.94696,-1.03011
10.333405,-0.910469,-1.097109
10.692926,-0.92004,-1.010369
10.89871,-0.878166,-0.746561
11.392229,-1.03669,-0.357129
11.869598,-1.204786,-0.256032
12.233307,-1.121636,-0.609572
12.396018,-0.829711,-0.631107
12.794423,-0.455235,-0.647857
12.736397,-0.150748,-0.778266
13.061223,-0.315254,-0.506082
12.87219,-0.386441,-0.022134
12.552748,-0.51326,0.181256
11.923436,-0.565903,0.361316
11.292927,-0.500698,0.553938
10.457832,-0.273978,0.694517
9.436097,0.181855,0.65683
8.623135,0.621536,0.269791
8.642876,0.863809,0.290728
9.098111,0.818944,0.282353
9.61496,0.756132,0.04008
10.384253,0.838086,-0.44327
10.989637,0.518046,-0.655633
10.904691,0.239282,-0.037089
10.24188,0.307478,0.211167
10.007981,0.048455,-0.262014
9.827322,-0.188435,-0.625723
9.153145,-0.212363,-0.786641
8.386844,-0.092124,-0.671187
7.712666,-0.038883,-0.206381
7.298109,-0.129212,0.228515
6.922436,-0.16331,0.237488
6.798009,-0.121436,0.037687
6.668797,-0.019741,0.055035
6.605985,0.422333,0.096311
6.671788,0.744766,0.06999
6.899704,0.921835,-0.087338
7.051648,1.249652,-0.244068
7.449455,1.122832,-0.903889
8.024332,0.977468,-1.257428
8.632108,0.979263,-1.322633
9.272189,0.870987,-1.348356
9.328419,0.701695,-0.986441
9.364312,0.648455,-0.968495
9.354741,0.806979,-1.077368
9.617353,0.729811,-1.333999
