X,Y,Z
-4.115094,4.864778,1.681559
0.615141,-0.64431,-0.312305
0.093921,-0.291077,0.069333
0.1518,-0.082772,0.06918
0.143553,0.144164,0.034667
0.085521,0.170737,-0.009927
-0.058185,0.126296,-0.065363
-0.191659,-0.00901,-0.110414
-0.325591,-0.215483,-0.117897
-0.48747,-0.498771,-0.103389
-0.594677,-0.649502,-0.103084
-0.677908,-0.618959,-0.102778
-0.684933,-0.40424,-0.142484
-0.617279,-0.091782,-0.207236
-0.536492,0.06689,-0.196699
-0.440281,0.096059,-0.074526
-0.204945,0.116064,0.108887
0.025962,0.198073,0.293673
0.313374,0.25916,0.498619
0.455858,0.238848,0.58582
0.505186,0.02138,0.648892
0.463647,-0.119424,0.577726
0.377515,-0.163559,0.373544
0.153785,-0.220522,0.224493
-0.122784,-0.112399,0.142179
-0.368504,0.127976,0.081856
-0.572686,0.20632,0.112705
-0.704328,0.383165,0.090255
-0.679129,0.698372,-0.036957
-0.607047,0.903775,-0.094837
-0.499993,0.833526,-0.005956
-0.311236,0.730748,0.058796
-0.09728,0.58582,0.142637
0.048716,0.356745,0.256105
0.145539,0.136681,0.36377
0.18158,0.045051,0.344375
0.194866,-0.025656,0.316428
0.191354,0.018326,0.236099
0.156229,0.019853,0.164017
0.085521,-0.091782,0.129809
-0.011148,-0.176082,0.084758
-0.103236,-0.215788,0.054214
-0.187383,-0.201127,-0.018479
-0.26145,-0.145691,-0.039248
-0.285274,-0.118661,-0.031765
-0.24511,-0.114079,0.006109
-0.166003,-0.067653,0.017257
-0.131336,-0.062003,0.050855
-0.09163,-0.014813,0.076205
-0.060323,0.064752,0.104763
-0.0281,0.155618,0.130572
0.02138,0.243735,0.118202
0.027031,0.219453,0.135765
0.037568,0.149662,0.152105
0.03375,0.101862,0.13439
-0.000611,0.037721,0.122173
-0.056658,-0.054978,0.074831
-0.09896,-0.106749,0.027031
-0.113468,-0.049175,-0.007483
-0.083383,0.025045,-0.016188
-0.001374,0.096059,-0.013439
-0.006414,0.111941,-0.01405
0.015272,0.066737,-0.039401
0.060934,-0.048258,-0.063072
0.114537,-0.246331,-0.067959
0.130572,-0.360869,-0.033903
0.140652,-0.276111,-0.017715
0.157145,-0.205862,-0.02306
0.182801,-0.101251,-0.031765
0.156229,-0.023976,-0.05452
0.047495,0.00672,-0.127824
-0.050549,-0.080787,-0.198684
-0.103847,-0.23106,-0.227547
-0.099724,-0.248011,-0.207694
0.027947,-0.1237,-0.164628
0.124464,0.068722,-0.115301
0.149509,0.1996,-0.058796
0.113315,0.240528,-0.016493
0.054214,0.184634,-0.027642
0.023976,0.053603,-0.05681
0.015119,0.004123,-0.103542
0.047953,0.050091,-0.137292
0.125533,0.207389,-0.177304
0.244957,0.370032,-0.213039
0.35308,0.417068,-0.186314
0.433867,0.365908,-0.19059
0.472046,0.233961,-0.212581
0.488387,0.031765,-0.208458
0.503353,-0.082161,-0.196393
0.531605,-0.020311,-0.202196
0.496023,0.045204,-0.189521
0.408974,0.053298,-0.167377
0.303295,-0.00901,-0.161116
0.190895,-0.128893,-0.134085
0.105527,-0.19395,-0.096364
0.086896,-0.082772,-0.101404
0.084605,0.061697,-0.115148
0.099876,0.182038,-0.096669
0.07758,0.318413,-0.089034
0.069028,0.460898,-0.12202
0.057421,0.55039,-0.138514
0.051007,0.564134,-0.135154
0.076969,0.451582,-0.096669
0.14508,0.318566,-0.048869
0.194408,0.228311,-0.063835
0.208,0.111025,-0.054062
0.211818,-0.025809,-0.034972
0.180053,-0.196546,-0.019242
0.116523,-0.279929,0.00336
0.055589,-0.272446,0.012675
0.000305,-0.218384,-0.027794
-0.050396,-0.131183,-0.079412
-0.108581,-0.045662,-0.141415
-0.154549,0.055894,-0.176693
-0.169057,0.145233,-0.175776
-0.143859,0.167377,-0.135154
-0.109956,0.143095,-0.073915
-0.06353,0.08491,-0.021686
-0.046426,0.042302,0.010385
-0.031307,0.033292,0.025351
-0.019395,0.073915,0.008247
-0.01909,0.097891,-0.00336
-0.018631,0.092393,-0.003512
-0.037568,0.054672,0.012523
-0.037263,0.022907,0.040775
-0.023366,0.028711,0.096364
0.018173,0.13775,0.13042
0.02474,0.32666,0.155465
0.060628,0.539699,0.153022
0.106291,0.639576,0.112094
0.099113,0.637743,0.102778
0.035736,0.452498,0.126755
-0.008858,0.164628,0.126602
0.038179,-0.153633,0.100029
0.00901,-0.438449,0.10965
-0.04047,-0.529773,0.096211
-0.12706,-0.387136,0.065821
-0.241139,-0.186314,0.055741
-0.328187,-0.006414,0.011759
-0.377515,0.138666,-0.040317
-0.368657,0.233656,-0.04444
-0.252593,0.261145,-0.011148
-0.100029,0.26985,0.053145
0.089492,0.312763,0.136223
0.248317,0.317955,0.225715
0.351248,0.285732,0.248775
0.38851,0.184939,0.206167
0.389579,-0.016341,0.141263
0.286038,-0.252135,0.06918
0.136376,-0.544586,0.038943
-0.008094,-0.646448,0.005192
-0.145844,-0.580322,0.009163
-0.256869,-0.356593,0.033292
-0.353844,-0.063683,-0.055283
-0.409127,0.145233,-0.127365
-0.422566,0.195782,-0.129503
-0.450819,0.153785,-0.093615
-0.439976,0.09499,-0.023824
-0.369573,0.104,0.075747
-0.271988,0.102167,0.137903
-0.187841,0.112094,0.187994
-0.118508,0.209221,0.172417
-0.057879,0.274278,0.104
-0.012828,0.229991,0.091172
-0.014355,0.143706,0.146302
-0.049327,0.089644,0.189216
-0.124311,0.014966,0.240375
-0.19059,-0.042302,0.275042
-0.212887,0.027794,0.165086
-0.206167,0.094684,0.006872
-0.201738,0.039554,-0.080023
-0.226173,0.041386,-0.075747
-0.184787,-0.040775,-0.015119
-0.154702,-0.055436,0.066584
-0.099876,-0.101709,0.13943
-0.0478,-0.183718,0.19059
0.010232,-0.200517,0.173333
0.018937,-0.217621,0.132558
0.002138,-0.202196,0.112705
-0.031918,-0.12874,0.09331
-0.08094,-0.014203,0.047953
-0.118813,0.08262,0.013592
-0.142179,0.105985,0.017715
-0.143248,0.073762,0.000916
-0.16081,0.025045,-0.042302
-0.154702,-0.014813,-0.088423
-0.140499,-0.037415,-0.13775
-0.12538,-0.110719,-0.157298
-0.083689,-0.212428,-0.129503
-0.000764,-0.184787,-0.094073
0.055131,-0.064446,-0.083078
0.071777,0.147677,-0.101709
0.06521,0.359342,-0.129656
0.132405,0.412181,-0.1321
0.190743,0.311541,-0.106138
0.19059,0.199448,-0.096059
0.187841,0.026267,-0.075289
0.170584,-0.216399,-0.054062
0.120799,-0.29627,-0.073151
0.099571,-0.282525,-0.108123
0.108734,-0.323759,-0.087201
0.129503,-0.372017,-0.063072
0.126755,-0.368504,-0.062308
0.086285,-0.263436,-0.10232
