X,Y,Z
12.266805,1.580459,5.228318
10.570295,1.758725,1.479961
9.404392,1.612164,1.031905
8.598011,1.512862,0.720838
8.166705,1.829911,0.531207
8.266604,1.441676,0.65683
9.062817,0.877568,1.51705
9.62513,0.32004,1.802992
10.013365,0.184247,1.928017
9.952348,0.273978,1.410569
9.952947,0.618545,1.15693
9.784851,0.619143,1.01336
9.223135,0.921835,1.056431
8.817552,0.973281,0.942174
8.679965,0.965504,0.757927
8.642876,0.974477,0.666401
8.769098,0.859023,0.729811
8.971889,0.749552,0.588634
8.971889,0.634098,0.595813
8.671589,0.613759,0.561117
8.250452,0.637687,0.411566
8.020144,0.68016,0.346361
7.937591,0.652642,0.097508
8.13799,0.705284,0.026919
8.526226,0.641276,0.047856
8.66501,0.62333,0.053839
8.61476,0.637687,0.324826
8.318051,0.697508,0.396012
8.139186,0.712463,0.378066
8.310274,0.599402,0.382852
8.714063,0.692124,0.405583
8.839087,0.710668,0.302692
9.119646,0.730409,0.355932
9.31825,1.084547,0.121436
9.283554,1.34357,-0.054437
9.393624,1.402792,-0.305683
9.612567,1.439881,-0.899701
9.723834,1.594218,-0.845265
9.412767,1.541576,-0.996611
9.391829,1.499103,-0.747757
9.245867,1.441077,-0.317647
8.854043,1.171287,-0.497109
8.710474,1.561915,-0.635294
8.742178,1.931606,-0.934995
10.095319,1.520041,-0.495314
11.140982,0.817747,0.638285
11.352747,0.482154,1.499103
10.960324,0.288933,1.709672
11.043475,-0.14656,1.666601
11.41496,-0.315853,1.72044
11.413166,-0.189033,1.554736
11.315658,-0.107677,1.517648
11.295319,0.48993,1.297508
11.309677,0.87697,0.753739
11.755938,0.981655,0.624527
12.023934,1.009173,0.726222
11.992827,0.926621,0.782453
11.750555,0.949951,0.910469
11.035099,0.926022,1.164706
10.330415,0.888335,1.213161
9.544371,0.631107,1.244866
9.113664,0.425324,1.322034
8.644072,0.249452,1.442872
8.139186,0.471984,0.722632
8.236695,0.581456,-0.111266
8.42812,0.69691,-0.316451
8.799606,0.540778,-0.015553
9.35833,0.236889,0.266202
9.642477,0.059222,0.366102
9.451052,-0.019143,0.449851
9.563514,-0.123829,0.561117
9.084352,-0.013759,0.509073
8.436495,0.149551,0.340379
7.728817,0.455235,-0.18664
7.262217,0.795614,-0.55992
7.506285,0.760319,-0.765105
8.00459,0.570688,-0.43011
8.46162,0.413958,-0.55334
8.991629,0.391227,-0.31346
9.809377,0.005982,0.202792
9.784851,-0.012562,0.625723
9.273983,-0.007777,0.919442
8.931211,-0.095713,1.249053
8.492128,0.121436,0.592224
8.508279,0.369093,-0.25663
8.784052,0.378066,-0.753141
9.305687,0.398405,-0.557528
9.492927,0.343968,-0.181855
9.573684,0.202193,0.041874
10.01157,-0.115454,0.126221
9.84826,-0.288335,0.307478
9.644272,-0.337986,0.102891
9.603594,-0.501296,-0.074178
9.795619,-0.658624,-0.071186
9.814163,-0.58325,0.078963
9.98525,-0.321835,-0.371486
10.633705,0.381655,-1.354936
11.617155,0.963111,-0.666999
12.049657,0.802792,0.821935
12.692131,0.632303,1.761716
12.543775,0.851845,2.198406
12.012569,1.024128,1.977668
11.376676,1.288535,1.591227
10.442875,1.776073,0.954138
9.747164,2.071586,0.512064
9.57847,1.859223,0.095713
9.946367,1.39023,0.556929
9.812966,1.066601,0.969093
9.742378,0.690927,0.884746
9.676575,0.684347,0.842273
9.808181,0.48335,0.774078
9.658629,0.452842,0.655633
9.753146,0.504287,0.760918
9.672986,0.265005,1.006182
9.521042,0.213559,1.107877
9.328419,0.393021,1.03011
8.79482,0.842273,0.567099
8.607582,1.182054,0.368495
8.817552,1.283749,0.452243
9.110074,1.359721,0.367896
9.187841,1.420738,0.626919
9.266804,1.1001,0.680758
9.293126,0.833899,0.798604
9.015558,0.571885,0.45344
8.553743,0.457627,-0.114855
8.035099,0.637687,-0.591027
7.908278,0.519243,-0.387637
