X,Y,Z
5.003444,-5.004208,-4.710076
-0.772134,0.38622,0.333991
-0.323453,-0.484569,-0.152258
-0.368199,-0.251524,-0.189216
-0.372933,0.06185,-0.213192
-0.267712,0.25412,-0.227395
-0.154549,0.353538,-0.17654
-0.093615,0.323453,-0.071166
-0.069486,0.195935,0.001222
-0.029169,0.047495,0.053298
0.052382,-0.021075,0.066584
0.133169,0.036805,0.036652
0.205403,0.180511,-0.004429
0.279165,0.259312,-0.011301
0.305433,0.241139,-0.003207
0.269544,0.181122,0.002596
0.198378,0.096669,0.026878
0.093157,0.079565,0.00672
0.016493,0.189063,-0.046884
-0.000611,0.278249,-0.056658
-0.013286,0.334907,-0.028558
-0.015882,0.369573,0.003818
-0.02642,0.230296,0.072846
-0.135612,-0.08323,0.116523
-0.306196,-0.254578,0.009468
-0.343154,-0.374155,-0.120188
-0.290008,-0.449291,-0.184176
-0.056352,-0.491441,-0.204945
0.178373,-0.311999,-0.169821
0.327118,0.149967,-0.113621
0.404393,0.400422,0.005498
0.410654,0.369115,0.128587
0.415388,0.416457,0.141721
0.367894,0.329409,0.130114
0.200517,-0.15516,0.104153
-0.002291,-1.031751,-0.038485
-0.13271,-1.820837,-0.144317
-0.11637,-1.820378,-0.185703
-0.099571,-0.864069,-0.156229
-0.123395,0.350789,-0.023213
-0.126449,1.057408,-0.005345
-0.132558,1.286024,-0.020769
-0.119119,1.008538,0.001374
-0.113621,0.542296,0.075747
-0.092241,0.29459,0.1321
-0.102931,0.343612,0.068417
-0.139277,0.435394,-0.049022
-0.081703,0.299477,-0.110872
0.030696,0.076816,-0.124617
0.167835,-0.049327,-0.070097
0.246484,-0.101251,0.01573
0.324217,0.001985,0.060628
0.349415,0.107512,0.080634
0.348651,0.131794,0.097891
0.329715,0.057727,0.093615
0.253356,-0.085368,0.048258
0.178525,-0.187077,0.002749
0.099113,-0.231823,-0.001222
0.046273,-0.214872,0.028253
0.019548,-0.123089,0.032223
-0.014813,-0.006109,0.049938
-0.061239,0.102167,0.038637
-0.072693,0.100335,0.033445
-0.063835,0.034056,0.045968
-0.088728,0.015119,0.045968
-0.112705,0.053756,0.027031
-0.090561,0.049786,0.046426
-0.045815,-0.032223,0.08323
-0.012828,-0.105374,0.100182
0.037568,-0.135765,0.094684
0.091172,-0.13271,0.091782
0.07926,0.016646,0.052993
0.039554,0.335518,-0.013134
0.059254,0.62461,-0.031612
0.003665,0.826959,-0.025351
-0.098807,0.876133,-0.049327
-0.126602,0.647212,-0.062156
-0.161574,0.179594,0.038026
-0.211054,-0.37217,0.072693
-0.200517,-0.710284,-0.004276
-0.124617,-0.759153,-0.084452
-0.026267,-0.513585,-0.121409
0.023366,0.015577,-0.138972
