X,Y,Z
-3.11526,4.302629,0.648433
1.976149,-1.032668,-0.422566
1.220814,-0.461967,-0.154549
0.746325,-0.064599,-0.225562
0.57009,0.324369,-0.344833
0.555124,0.428675,-0.438296
0.673784,0.333074,-0.433103
0.880715,0.031765,-0.355524
1.078941,-0.361174,-0.262672
1.141707,-1.076497,-0.089339
1.217454,-1.548696,0.092852
1.29702,-1.503034,0.119424
1.326494,-0.977079,0.015882
1.301448,-0.146608,-0.208458
1.225243,0.494495,-0.313832
1.119869,0.944092,-0.400575
0.943634,1.196532,-0.491441
0.971887,1.092074,-0.557567
1.160797,0.49083,-0.411265
1.277472,0.034667,-0.282831
1.429119,-0.425162,-0.223271
1.455234,-0.624457,-0.080176
1.379028,-0.72754,0.042913
1.265102,-0.792292,0.162643
1.221272,-0.621861,0.159589
1.194242,-0.339488,0.05284
1.144762,-0.035888,-0.046426
1.090242,0.150731,-0.059865
1.045343,0.11469,-0.000305
0.972956,0.018631,0.049786
0.906829,-0.059101,0.066432
0.926988,-0.120188,0.081398
0.932791,-0.192575,0.084605
0.931264,-0.158825,0.012523
0.962265,-0.094684,-0.116217
1.003804,-0.133474,-0.142637
0.996321,-0.182649,-0.106443
0.953713,-0.272446,-0.002291
0.904691,-0.264352,0.057269
0.865596,-0.173944,0.012523
0.845285,-0.043677,-0.07254
0.812603,-0.017257,-0.063683
0.765567,-0.066279,-0.00733
0.728304,-0.136376,0.061239
0.670577,-0.382249,0.227395
0.682031,-0.591776,0.382707
0.725402,-0.53634,0.319177
0.758695,-0.387899,0.210443
0.777479,-0.299629,0.180969
0.789696,-0.203571,0.150426
0.74495,-0.180053,0.124464
0.688903,-0.395688,0.232892
0.605062,-0.557262,0.304211
0.4835,-0.534812,0.248469
0.320857,-0.440739,0.128587
0.161421,-0.295506,0.04383
0.021991,-0.156076,0.033139
-0.08262,-0.067653,0.052076
-0.167224,-0.035888,0.110108
-0.237779,0.00672,0.16417
-0.285121,0.119271,0.140652
-0.314901,0.292146,-0.002596
-0.331089,0.40256,-0.151647
-0.383929,0.341626,-0.229533
-0.379958,0.099571,-0.191964
-0.290314,-0.089034,-0.163254
-0.049327,-0.256869,-0.132252
0.258854,-0.330631,-0.066279
0.516792,-0.184329,0.016646
0.683558,-0.018784,0.114079
0.766178,0.120493,0.155465
0.728457,0.218079,0.142484
0.627359,0.200211,0.117744
0.475253,0.141415,0.05849
0.2474,0.05681,-0.027794
0.08827,-0.019548,-0.104458
-0.069028,-0.045968,-0.199906
-0.15913,-0.077733,-0.290008
-0.154549,0.009468,-0.335365
-0.050396,0.206167,-0.374919
0.069028,0.426384,-0.388816
0.222202,0.573602,-0.350942
0.391412,0.684627,-0.297339
0.546724,0.633925,-0.165544
0.685696,0.521373,-0.067042
0.801913,0.351095,-0.012523
0.91752,0.233656,-0.016952
0.987616,0.080787,-0.032834
0.981966,-0.042455,-0.024435
0.93386,-0.127976,-0.007941
0.888809,-0.139277,-0.026114
0.81184,-0.110261,-0.063835
0.705702,0.018173,-0.126449
0.609338,0.092546,-0.187994
0.527177,0.171806,-0.224646
0.469908,0.194102,-0.215483
0.408669,0.208,-0.188299
0.385151,0.291077,-0.171348
0.378736,0.350789,-0.184939
0.382554,0.36148,-0.214872
0.409585,0.379042,-0.250455
0.452957,0.298713,-0.233809
0.492968,0.226478,-0.179136
0.531605,0.109803,-0.152564
0.615905,-0.037874,-0.094379
0.716087,-0.130572,-0.089034
0.812451,-0.09728,-0.15516
0.938289,-0.051771,-0.19059
1.025032,-0.068111,-0.150426
0.939358,-0.142332,-0.053298
0.689514,-0.085521,-0.060781
0.466243,0.041844,-0.185092
0.317955,-0.045357,-0.299171
0.266643,-0.177609,-0.348499
0.350789,-0.261603,-0.316428
0.608269,-0.263436,-0.280998
0.854753,-0.397673,-0.253967
0.982577,-0.855822,-0.164628
1.138958,-1.247845,-0.065515
1.160033,-1.154383,-0.15012
1.093601,-0.777937,-0.106138
1.042594,0.016646,-0.103236
0.988074,0.730289,-0.214719
0.901943,1.142165,-0.307571
0.793819,1.171945,-0.396757
0.776562,0.948368,-0.470672
0.770912,0.317345,-0.391259
0.757931,-0.327882,-0.262977
0.862389,-0.489608,-0.194561
0.977232,-0.364687,-0.172111
1.038776,-0.175013,-0.128434
1.085813,0.069333,-0.15348
1.110247,0.186467,-0.16249
1.097725,0.200669,-0.103389
1.130559,0.228922,-0.062614
1.147205,0.242514,-0.043677
1.148121,0.211054,-0.010079
1.119869,0.177304,-0.001527
1.061226,0.092088,-0.028558
1.009913,-0.017562,-0.027184
0.960585,-0.100487,-0.048564
0.994641,-0.184787,-0.049175
0.996016,-0.181732,-0.052382
1.026712,-0.224188,-0.006109
1.030835,-0.184634,0.021686
1.010829,-0.144622,0.063377
0.958142,-0.074067,0.065821
0.878424,-0.018937,0.068875
0.758084,0.010385,0.060018
0.651335,0.004123,0.04215
0.553749,-0.012981,0.013897
0.437227,-0.081856,0.008094
0.383165,-0.134085,0.022449
0.311541,-0.140652,0.021686
0.260687,-0.113621,0.030696
0.204182,-0.11973,0.042302
0.185703,-0.191506,0.085674
0.248164,-0.210596,0.133321
0.245415,-0.167988,0.152564
0.209069,-0.06353,0.144317
0.171348,0.004123,0.149815
0.12874,0.01909,0.201586
0.059865,0.000458,0.264352
0.019548,0.0478,0.262977
-0.021228,0.15852,0.200822
-0.113315,0.262672,0.135765
-0.191812,0.262367,0.046884
