X,Y,Z
0.396012,0.181855,-9.873384
0.35354,0.176471,-9.67837
0.278764,0.153739,-9.736395
0.304487,0.15673,-9.786046
0.244666,0.198604,-9.771092
0.347558,0.235693,-9.753745
0.516251,0.207577,-9.658629
0.488734,0.222533,-9.780663
0.325424,0.195015,-9.808779
0.230907,0.183649,-9.799806
0.309871,0.149551,-9.693923
0.47677,0.182453,-9.774681
0.601795,0.171685,-9.729217
0.558126,0.199203,-9.743575
0.439681,0.214756,-9.676575
0.251246,0.22014,-9.795021
0.198604,0.20339,-9.805788
0.405583,0.208774,-9.759127
0.548555,0.184247,-9.722637
0.656232,0.160917,-9.832706
0.331406,0.219542,-9.766904
0.215952,0.158525,-9.797412
0.19681,0.10349,-9.857831
0.274576,0.256032,-9.762118
0.284746,0.218345,-9.742378
0.298505,0.27338,-9.77169
0.264407,0.202193,-9.783655
0.140578,0.198604,-9.780663
0.194417,0.229711,-9.772887
0.270389,0.214756,-9.777073
0.299701,0.205783,-9.781859
0.369691,0.158525,-9.747762
0.388235,0.186042,-9.740583
0.337388,0.16989,-9.790234
0.267996,0.190828,-9.792628
0.22672,0.174676,-9.789038
0.358325,0.190229,-9.744173
0.412762,0.190828,-9.722039
0.483948,0.181855,-9.782458
0.299103,0.14656,-9.762118
0.267996,0.232702,-9.791431
0.263809,0.23988,-9.799806
0.363709,0.211765,-9.748958
0.337986,0.230907,-9.747164
0.20339,0.11007,-9.846466
0.128016,0.19681,-9.739387
0.165105,0.138784,-9.794422
0.112463,0.159123,-9.809377
0.032901,0.142373,-9.827921
0.161516,0.309871,-9.801002
0.286541,0.200997,-9.764512
0.424128,0.223729,-9.741182
0.309871,0.181855,-9.760922
0.299701,0.218345,-9.768101
0.367298,0.311067,-9.768101
0.434896,0.300897,-9.721441
0.300897,0.270987,-9.766305
0.077767,0.198006,-9.790833
-0.017946,0.17348,-9.813565
0.095115,0.210568,-9.777073
0.233898,0.236889,-9.844672
0.344567,0.214158,-9.793226
0.398405,0.215354,-9.74836
0.305683,0.150748,-9.773485
0.410967,0.210568,-9.720842
0.302094,0.20339,-9.779467
0.344567,0.178265,-9.75195
0.259621,0.162712,-9.732807
0.065204,0.144766,-9.781261
0.000598,0.18664,-9.842877
0.016152,0.202193,-9.806385
0.01675,0.21655,-9.817751
0.085543,0.208176,-9.817751
0.224327,0.199203,-9.741182
0.265005,0.198006,-9.82852
0.4002,0.193819,-9.771092
0.601197,0.215952,-9.715458
0.43669,0.205185,-9.736994
0.466002,0.180658,-9.738789
0.449851,0.210568,-9.750155
0.338584,0.215354,-9.757333
0.334397,0.247059,-9.777073
0.346959,0.191426,-9.760324
0.315254,0.170489,-9.744771
0.346361,0.181855,-9.779467
0.269791,0.148953,-9.759127
0.262612,0.200997,-9.75793
0.392423,0.229711,-9.725029
0.152542,0.168694,-9.811171
0.136391,0.218943,-9.812966
0.19322,0.236291,-9.817153
0.262612,0.188435,-9.786645
0.283549,0.186042,-9.768101
0.142373,0.19322,-9.798609
0.108873,0.190828,-9.845269
0.266202,0.215354,-9.783655
0.363111,0.204586,-9.705888
0.409173,0.209372,-9.75494
0.301496,0.19681,-9.772289
0.235095,0.200399,-9.802198
0.144168,0.194417,-9.731611
0.130409,0.174078,-9.816555
0.094516,0.192622,-9.782458
0.032901,0.178864,-9.775877
0.165703,0.18006,-9.780663
0.327817,0.195015,-9.762118
0.426521,0.192024,-9.765707
0.381655,0.19322,-9.714262
0.288335,0.208176,-9.778868
0.267398,0.213559,-9.762717
0.308076,0.205185,-9.719646
0.259023,0.180658,-9.735797
0.068195,0.182453,-9.838091
0.052642,0.215952,-9.833305
0.136989,0.202792,-9.808779
0.315853,0.199203,-9.781859
0.300897,0.175872,-9.769895
0.239282,0.164507,-9.784851
0.09332,0.183649,-9.827322
0.150748,0.215354,-9.839885
0.236291,0.185444,-9.727423
0.370888,0.206381,-9.723834
0.384048,0.212961,-9.728021
0.275773,0.187837,-9.723834
0.114257,0.195613,-9.803395
0.131007,0.194417,-9.767502
0.137587,0.20997,-9.785449
0.17348,0.215952,-9.775279
0.095115,0.213559,-9.791431
0.090927,0.208774,-9.817751
0.189033,0.19681,-9.789038
0.310469,0.19681,-9.739985
0.349352,0.196211,-9.783056
0.29013,0.22672,-9.803395
0.230907,0.183649,-9.75494
0.175872,0.20339,-9.783056
0.108275,0.182453,-9.791431
0.169292,0.202193,-9.803993
0.236291,0.187837,-9.75195
0.242871,0.206381,-9.783655
0.181256,0.224925,-9.767502
0.147757,0.208176,-9.81177
0.122034,0.215952,-9.811171
0.154935,0.192622,-9.809975
0.214158,0.179462,-9.784253
0.327817,0.20339,-9.762717
0.234497,0.196211,-9.817751
0.08674,0.174676,-9.823137
-0.20997,0.148355,-9.830314
-0.277567,0.213559,-9.821341
-0.13998,0.240479,-9.826725
0.001196,0.249452,-9.797412
0.077169,0.240479,-9.823137
0.127418,0.184247,-9.731611
0.109472,0.196211,-9.752548
0.238684,0.198604,-9.716056
0.159721,0.187238,-9.755538
0.060419,0.205783,-9.811171
0.078963,0.169292,-9.793824
0.096909,0.215354,-9.795619
0.125623,0.206979,-9.796216
0.020937,0.199203,-9.816555
0.087338,0.175872,-9.770493
0.05683,0.224327,-9.765707
0.201595,0.221336,-9.805788
0.257228,0.207577,-9.729217
0.190828,0.222533,-9.783056
0.13998,0.176471,-9.787842
0.032303,0.183649,-9.809377
0.09332,0.192024,-9.790234
0.185444,0.212961,-9.778868
0.18664,0.200399,-9.728619
0.169292,0.192622,-9.797412
0.100499,0.180658,-9.795021
0.041874,0.184846,-9.782458
-0.004187,0.167498,-9.81835
0.041276,0.212363,-9.790833
0.125623,0.196211,-9.760324
0.136989,0.205185,-9.741182
0.177667,0.19322,-9.829716
0.066401,0.195613,-9.772289
0.058624,0.195613,-9.744771
0.041276,0.21655,-9.775279
0.002991,0.184846,-9.756136
0.050847,0.201595,-9.811171
0.07657,0.185444,-9.800404
0.169292,0.191426,-9.754343
0.179462,0.215354,-9.64846
0.159123,0.207577,-9.772289
0.119043,0.224327,-9.797412
0.090329,0.215952,-9.802198
0.136391,0.188435,-9.781859
0.160917,0.16989,-9.763914
0.174078,0.187837,-9.75793
0.120838,0.198604,-9.774083
0.156132,0.192024,-9.81835
0.134596,0.208176,-9.763315
0.078365,0.190229,-9.829716
0.107677,0.19322,-9.799806
0.098106,0.181855,-9.768101
0.148953,0.184846,-9.76152
0.218943,0.191426,-9.780663
0.228515,0.198006,-9.760922
0.166301,0.212363,-9.760922
0.18006,0.209372,-9.795619
0.279362,0.185444,-9.735797
0.273978,0.211167,-9.745369
