X,Y,Z
-4.27682,4.922963,1.960725
0.644921,-0.620944,-0.274126
0.076053,-0.272446,0.061087
0.037263,-0.147066,0.037721
0.00336,-0.053756,0.037874
0.001527,-0.05452,0.00901
-0.005651,-0.029474,-0.009621
-0.000611,0.00168,-0.009927
0.002902,0.006567,-0.012981
-0.000764,-0.01741,-0.008858
0.001374,-0.043524,-0.010232
0.003054,-0.027336,0.000153
0.006414,0.018631,0.008705
0.014813,0.058032,0.016035
0.011912,0.079412,0.039248
0.008552,0.080787,0.03146
0.000458,0.042455,0.023213
-0.002749,0.028253,0.003971
0.003512,0.046273,-0.000916
0.005498,0.116828,-0.001222
0.007025,0.127976,-0.00168
0.001527,0.112399,-0.004734
0.005956,0.061392,0.008705
0.006872,0.046884,0.015424
0.001527,0.048869,0.016035
-0.001833,0.040775,-0.001222
-0.003818,0.051924,-0.011912
-0.003207,0.026878,-0.009774
0.003054,-0.025656,-0.010843
0.000916,-0.038637,-0.030238
0.000458,-0.045509,-0.027947
0.00672,-0.042455,-0.018173
0.001527,-0.016493,-0.01573
0.00672,0.008858,-0.005192
0.000611,0.023518,-0.004581
0.005192,0.009774,-0.003818
0.000764,0.007941,0.002749
0.005498,0.030849,0.009621
0.005651,0.051618,0.046731
0.014966,0.059101,0.052993
0.011454,0.047037,0.042761
0.010996,0.061392,0.027489
0.008399,0.069639,0.020464
0.002749,0.097738,0.008858
0.00336,0.067653,-0.01069
0.013592,0.063835,-0.018631
0.007025,0.045968,-0.016035
0.006261,0.034514,-0.010385
0.001527,-0.032529,-0.020464
0.007789,-0.056505,-0.017257
0.006872,-0.060323,-0.007483
0.009774,-0.051618,-0.018784
0.004734,-0.037568,-0.029474
0.004581,-0.029474,-0.025198
0.000916,-0.018173,-0.031307
0.000764,0.027031,-0.032681
-0.007636,0.087812,-0.02642
-0.001985,0.085216,-0.03146
-0.000916,0.001222,-0.010079
0.005498,-0.016493,-0.038637
0.006109,-0.051007,-0.003818
0.008858,-0.045051,-0.004581
0.007941,-0.020464,0.00672
0.008247,0.00733,0.029932
0.005345,0.045204,0.039401
-0.000764,0.069639,0.031612
-0.003054,0.094684,0.016493
-0.005192,0.106596,-0.013286
-0.001527,0.092393,-0.016646
0.002596,0.047037,0.012981
0.00336,-0.009468,0.031154
0.01237,-0.060018,0.039706
0.002596,-0.107512,0.045051
0.001985,-0.136376,0.024587
-0.004429,-0.135612,0.003665
0.038637,-0.126755,-0.004581
0.006109,-0.09728,-0.002749
0.004429,-0.05849,0.00901
0.00672,-0.005345,0.029169
0.006567,0.026878,0.032376
0.008094,0.032834,0.023824
0.002596,0.04444,0.009316
-0.002138,0.046578,0.013439
0.005651,0.052229,0.016493
0.002902,0.058948,0.04047
0.00672,0.079412,0.043524
0.004429,0.075289,0.055131
0.005192,0.076358,0.039706
0.003512,0.068722,0.0197
0.005956,0.023671,0.009621
0.001833,0.002443,-0.01237
0.003054,0.014966,-0.022449
0.002749,0.033903,-0.025045
0.008552,0.029932,-0.028558
0.003512,0.003818,-0.02138
0.002443,-0.02138,-0.017715
0.007025,-0.010079,-0.014355
0.002749,0.023366,-0.018021
0.007483,0.042608,-0.036957
0.002291,0.061392,-0.045051
-0.000305,0.061239,-0.040317
0.001069,0.038026,-0.014661
0.003207,0.022144,-0.006261
0.00504,-0.019395,-0.006414
0.007025,-0.069333,-0.008858
0.007025,-0.071471,-0.00672
0.008552,-0.024435,-0.007789
0.003971,0.014966,-0.006109
0.003054,0.036041,-0.013439
0.002902,0.036957,-0.01573
0.002902,0.055283,-0.009163
0.00336,0.079718,-0.00168
0.006872,0.067042,0.007789
0.011912,0.021991,0.011148
0.001222,-0.008705,-0.002902
0.000153,-0.008705,-0.012065
-0.000305,-0.00336,-0.012675
0.002902,0.019395,-0.009621
0.000916,0.020159,-0.012981
0.008705,-0.009163,-0.009163
0.006567,-0.02978,-0.004123
0.006414,-0.018173,-0.003512
0.005192,0.021228,-0.002902
0.004734,0.05452,0.00168
0.002443,0.069486,0.003512
0.005498,0.05681,-0.002596
0.00504,0.036194,-0.007941
0.003512,0.022755,-0.003512
0.007636,0.008247,-0.00336
-0.000153,-0.006872,0.003054
0.00504,-0.018021,0.032834
0.006872,-0.016341,0.018021
0.002596,-0.002291,-0.000458
0.003054,0.026725,-0.008705
0.005192,0.049327,-0.006414
-0.001833,0.060934,-0.007636
-0.001069,0.058796,-0.007483
0.001527,0.029627,-0.008705
0.011759,0.027031,-0.014966
0.007636,0.041539,-0.024129
0.005803,0.049633,-0.028863
0.005956,0.047037,-0.025351
0.006872,0.039248,-0.018021
0.006109,0.042761,-0.01741
0.004123,0.056047,-0.016035
0.009774,0.098197,-0.015119
0.006261,0.146913,-0.020464
0.009468,0.160352,-0.022144
0.003818,0.121868,0.014966
0.00672,0.057574,0.02474
0.008858,-0.022755,0.02306
0.005498,-0.045051,0.003818
0.003054,-0.065515,-0.006261
-0.000611,-0.063225,-0.013897
0.009927,-0.048411,-0.010079
0.004123,-0.028405,-0.018479
0.006261,-0.003207,-0.017257
0.000916,0.012523,-0.009468
0.003818,0.005651,-0.004887
0.006872,-0.00672,-0.004887
0.003971,-0.003818,-0.001069
0.011454,-0.011301,0.007483
0.004734,-0.012981,0.01237
0.000764,-0.023213,0.011454
0.00504,-0.021228,0.007483
-0.001374,0.01069,-0.003207
0.003971,0.035125,-0.005192
0.006567,0.037568,-0.007636
0.001985,0.025962,-0.002902
0.006567,0.010537,-0.000916
0.009163,0.005803,0.011148
0.006261,0.025351,0.003665
0.009316,0.033292,-0.001833
0.007789,0.032376,-0.001222
0.010079,0.022297,-0.003207
0.00901,0.007483,-0.00336
0.004276,-0.00672,-0.005192
0.007789,-0.010079,-0.00168
0.003818,0.001222,0.000916
0.008094,0.008552,-0.004276
0.005498,0.019548,-0.003971
0.001527,0.020464,-0.001374
-0.000611,0.007025,-0.007941
0.002596,-0.009468,-0.007789
0.00336,-0.024282,-0.005192
0.009468,-0.041539,0.004429
0.011454,-0.033292,0.00504
0.012828,-0.011454,0.002291
0.010232,-0.008552,-0.001374
0.005345,-0.013439,-0.004887
-0.000458,-0.024435,-0.004429
-0.001069,-0.033139,-0.008094
0.004581,-0.020617,-0.010996
0.002443,-0.01069,-0.005192
0.005345,-0.007941,-0.00504
0.004123,-0.003207,-0.004429
0.001833,0.004581,-0.00672
0.006261,-0.010996,-0.004581
-0.000153,-0.029016,-0.004734
0.004581,-0.042455,-0.003818
0.004123,-0.0478,-0.006872
0.008094,-0.046578,-0.006872
0.002596,-0.031918,-0.00733
0.002138,-0.026267,-0.002902
0.007636,-0.022907,-0.00168
0.009163,-0.020311,-0.001222
0.005498,-0.005498,0.001374
0.00901,0.020464,-0.000916
0.005345,0.033903,0.000305
0.010537,0.031765,0.001374
0.004734,0.026114,-0.002291
0.006567,0.031154,-0.003971
0.007025,0.028405,-0.004581
0.004734,0.012675,-0.006414
0.001069,-0.004887,-0.003054
0.008858,-0.012523,-0.000305
0.015119,0.006261,0.001069
0.008858,0.024282,0.006414
0.006261,0.030391,-0.000305
0.005498,0.02306,-0.005345
0.001985,0.019548,-0.00504
0.003512,0.016646,-0.002749
0.007025,0.011454,-0.005498
0.002138,0.009163,-0.005956
0.004734,0.017562,-0.006109
-0.001069,0.009163,-0.005345
0.005803,-0.002749,-0.004429
0.009927,-0.001374,-0.003818
0.004581,0.005192,-0.007025
-0.001069,0.001527,-0.001527
0.005956,-0.008399,-0.001222
0.000153,-0.00901,0.006261
0.037874,0.000611,-0.005803
0.008399,0.012523,-0.007178
0.004734,0.031001,-0.013286
0.004429,0.042761,-0.030696
0.007025,0.041233,-0.020769
0.003818,0.043066,-0.0197
0.010079,0.042302,-0.034514
0.004581,0.04047,-0.035125
0.008247,0.062461,-0.056505
0.007789,0.066432,-0.032834
0.001833,0.041692,-0.059712
0.006414,0.061087,-0.053909
0.00504,0.067653,-0.069028
-0.002749,0.07025,-0.056352
-0.009316,0.075136,-0.02474
-0.006872,0.083841,-0.024435
-0.004123,0.077885,-0.050549
0.011301,0.030543,-0.091935
0.019548,0.013439,-0.119577
0.006109,0.020464,-0.089492
0.015424,0.021686,-0.107512
-0.001222,0.02978,-0.056658
-0.007941,0.077427,-0.042913
0.009316,0.046426,-0.066279
0.001374,0.028558,-0.047189
0.002138,0.011759,-0.043219
0.011301,0.019548,-0.090866
0.015882,0.011606,-0.13271
