X,Y,Z
0.018326,0.010385,-0.007636
-3.863417,4.755586,1.554347
0.616821,-0.668439,-0.435547
0.082009,-0.334601,-0.031612
0.0562,-0.177304,-0.029932
0.015272,-0.014355,-0.01237
0.004276,0.01069,-0.010996
0.006261,0.014661,-0.015119
0.010079,0.011148,-0.009621
0.006261,0.005956,-0.012217
-0.001069,-0.034056,-0.007178
0.001222,-0.029016,-0.006414
-0.004123,-0.015882,-0.00672
-0.004734,-0.008858,-0.013592
-0.000764,-0.009316,-0.01237
-0.003818,-0.010843,-0.006414
0.008399,0.006109,-0.012065
-0.006109,0.027642,-0.013134
-0.008247,0.017868,-0.010232
-0.01069,0.000153,-0.01405
-0.01237,-0.046884,-0.012523
-0.007636,-0.051618,-0.012217
-0.00168,-0.041844,-0.004734
-0.004887,-0.028863,-0.002596
-0.00901,0.000611,-0.001374
-0.012828,0.009774,-0.001833
-0.008858,0.027489,-0.003971
-0.012217,0.028558,-0.016188
-0.006414,0.011454,-0.010385
-0.006261,0.001985,-0.000916
-0.010843,-0.008858,-0.007483
-0.017868,-0.01741,-0.008247
-0.009316,-0.002138,-0.01069
-0.007025,-0.001374,-0.009316
-0.00672,-0.002138,-0.00733
0.0,-0.003054,-0.010232
0.000764,-0.015577,-0.010843
-0.000764,-0.019242,-0.008399
0.003818,-0.011454,-0.006414
-0.002596,-0.009621,-0.007483
-0.006414,-0.01237,-0.007789
-0.006414,-0.00168,-0.010232
-0.00672,-0.003665,-0.005956
-0.005803,-0.002291,-0.008552
-0.009163,0.00901,-0.010079
-0.007483,0.007636,-0.012675
-0.011301,0.005192,-0.010996
-0.007178,-0.004734,-0.009774
-0.005192,0.011148,-0.009163
-0.002596,0.013134,-0.013592
-0.006872,0.014203,-0.014508
-0.005956,0.011912,-0.015119
-0.000764,0.012065,-0.012065
0.000458,0.014355,-0.006261
0.00168,0.020617,-0.00733
0.000764,0.011759,-0.00336
0.004734,0.007483,-0.006261
-0.00168,0.003054,-0.011454
-0.005651,-0.000305,-0.008552
-0.000916,-0.011454,-0.009927
0.000305,-0.0197,-0.008705
-0.002138,-0.032987,-0.005956
0.001374,-0.041844,-0.001985
-0.004123,-0.045509,-0.00336
-0.004123,-0.037415,-0.007789
-0.001374,-0.002902,-0.006872
-0.002749,0.000305,-0.009927
-0.000916,-0.011912,-0.011148
-0.006567,-0.040164,-0.009468
-0.005345,-0.045204,-0.010232
-0.001985,-0.059865,-0.016188
-0.002902,-0.045204,-0.021686
0.001985,-0.037874,-0.019395
0.001222,-0.039859,-0.016188
-0.002902,-0.059712,-0.015424
0.017715,-0.03543,-0.053603
0.000611,-0.041692,-0.02306
-0.010232,-0.049786,-0.003512
-0.017257,-0.03879,-0.014508
-0.012675,-0.01573,-0.013592
-0.006261,0.005956,-0.015577
-0.006414,0.006567,-0.011454
0.000916,0.006414,-0.008858
0.000916,-0.000611,-0.007025
0.002596,-0.018021,-0.005498
0.00168,-0.004429,-0.009621
0.002138,0.017562,-0.009316
0.006567,0.033598,-0.010232
0.00733,0.040164,-0.00733
0.006414,0.03543,-0.012981
0.008858,0.029169,-0.006109
0.006872,0.024129,-0.003971
0.003818,0.021228,-0.008399
0.002291,0.028558,-0.013592
-0.002596,0.029322,-0.014813
0.002902,0.016188,-0.006872
0.003054,0.020617,-0.004123
0.003665,0.034208,-0.002291
0.000458,0.037721,-0.002749
0.011301,0.050549,-0.003207
0.007789,0.050702,-0.009927
0.007941,0.032376,-0.008552
-0.000916,0.011606,-0.008399
0.001527,0.013286,-0.007178
0.002596,0.024587,-0.008094
0.00901,0.018784,-0.00504
0.008399,0.01909,-0.005803
0.008247,0.016952,-0.003818
0.014813,0.015882,-0.004429
0.005498,0.025504,-0.005651
0.00168,0.020006,-0.005192
-0.000305,0.032376,-0.005192
0.002749,0.024282,-0.006872
0.000458,0.013439,-0.009316
0.009163,0.008399,-0.010232
0.018021,0.013744,-0.007178
0.020159,0.027642,-0.006261
0.017257,0.032987,-0.005803
0.007178,0.032529,-0.006872
0.01069,0.039859,-0.010079
0.004276,0.029016,-0.010232
0.001069,0.027031,-0.008094
0.0,0.031918,-0.010537
0.007483,0.044135,-0.010537
0.008094,0.030849,-0.00901
0.010996,0.02978,-0.001527
0.011301,0.014813,-0.004734
0.006414,0.000916,-0.002443
0.006414,-0.008399,-0.005651
0.011148,-0.001527,-0.007178
0.010996,0.014813,-0.004429
0.013744,0.025198,-0.009468
0.015577,0.024893,-0.005956
0.019853,0.023366,-0.004276
0.018326,0.022449,-0.003818
0.007483,0.013286,-0.002902
0.008247,-0.000916,-0.005651
0.009774,0.003818,-0.004123
0.008552,0.002749,-0.001374
0.012981,0.006567,-0.009774
0.009621,0.007941,-0.007941
0.008858,0.007178,-0.009927
0.010537,0.005956,-0.005345
0.010079,0.005803,-0.001374
0.012523,0.001527,-0.00504
0.010232,0.00168,-0.005498
0.014661,0.011759,-0.009927
0.007025,0.014966,-0.010843
