X,Y,Z
-5.004208,5.003444,4.420985
0.303905,-0.054367,-0.235183
0.082161,-0.275195,-0.039401
0.04948,-0.133932,-0.02978
0.015424,0.002902,-0.008247
0.018479,0.010079,-0.003512
0.005956,-0.011912,-0.003818
-0.003818,-0.032681,-0.002443
-0.003818,-0.015882,-0.009774
-0.000458,0.00504,-0.014813
-0.003665,0.009774,-0.016493
-0.002291,-0.009468,-0.011606
0.004581,-0.025504,-0.009621
0.000764,-0.02642,-0.006567
-0.003512,-0.009316,-0.009927
-0.015119,-0.016188,-0.011912
-0.021838,-0.000611,-0.015272
-0.021228,0.00336,-0.013134
-0.009927,0.023976,-0.001374
0.003054,0.037415,-0.001527
0.006567,0.026573,0.000611
0.003207,0.012675,-0.002596
-0.009163,0.000153,-0.00504
-0.010996,-0.000153,-0.006109
-0.020464,0.0,-0.008247
-0.018631,0.00336,-0.007178
-0.015882,-0.000153,-0.007178
-0.014966,0.001833,-0.004581
-0.011606,0.006261,-0.005956
-0.001222,0.014355,-0.009621
0.001374,0.021075,-0.003512
0.002596,0.016646,-0.004276
0.014966,0.013592,-0.005651
0.01909,0.011606,-0.000764
0.020769,0.022144,0.004887
0.020922,0.025962,0.009468
0.022449,0.015577,0.007483
0.022602,0.020311,0.003512
0.030238,0.054062,0.002902
0.036499,0.059865,0.005192
0.042608,0.052076,0.009621
0.043982,0.043219,0.01573
0.036957,0.048411,0.011454
0.028863,0.053603,0.011606
0.018631,0.054978,0.00168
0.009774,0.040164,-0.00504
-0.002902,0.013592,-0.011148
-0.010996,-0.00733,-0.008094
-0.00901,-0.002749,-0.005345
-0.012981,0.012217,-0.008705
-0.017715,0.027184,-0.015119
-0.023824,0.037874,-0.013897
-0.024587,0.021991,-0.012217
-0.024587,0.009774,-0.006872
-0.014508,0.004734,-0.002138
-0.005803,0.003971,0.000611
0.003207,0.003207,-0.003665
-0.000916,-0.03879,-0.007636
-0.002596,-0.006567,-0.009316
0.004887,-0.006414,-0.003512
0.019548,-0.005956,0.00168
0.027947,-0.013439,0.007941
0.028558,-0.014203,0.006414
0.01741,-0.016188,-0.000611
0.00168,-0.034361,-0.00336
-0.008247,-0.030085,-0.004429
-0.017715,-0.019548,-0.009927
-0.01909,-0.004123,-0.007025
-0.009774,0.003971,-0.008247
0.001833,0.010232,-0.000764
0.005192,0.008399,-0.007178
-0.002291,-0.012981,-0.010079
-0.00336,-0.0281,-0.002902
0.004581,-0.00672,-0.003818
0.007941,0.010537,-0.000305
0.007789,0.009163,-0.00168
0.00336,0.003512,-0.001222
0.003207,0.008705,-0.00672
0.011454,0.005192,-0.009621
0.008705,-0.007025,-0.017104
0.008247,-0.01741,-0.011606
0.008552,-0.018021,-0.008552
0.009621,-0.017868,-0.007941
0.009468,-0.005498,-0.006261
0.013744,0.00504,-0.009774
0.0197,0.020311,-0.011148
0.0197,0.023671,-0.012828
0.024282,0.011454,-0.014355
0.023213,-0.003818,-0.013897
0.018479,-0.00672,-0.012065
0.026114,-0.004123,-0.011759
0.021533,0.000458,-0.009316
0.02474,0.007178,-0.00733
0.027031,0.008399,-0.010537
0.031612,0.011148,-0.007178
0.035888,0.025045,-0.003971
0.027184,0.039095,-0.007789
0.026725,0.036499,-0.013592
-0.000153,-0.007636,-0.014203
-0.007178,-0.042761,-0.016646
-0.010996,-0.028405,-0.014813
0.006261,0.009927,-0.00672
