X,Y,Z
12.370296,-1.840081,13.992031
9.063415,-0.844068,0.404985
9.034102,-0.984646,0.486341
9.036495,-1.185045,0.299701
9.157333,-1.052244,0.179462
9.340384,-1.01336,-0.007777
9.509078,-0.79681,-0.035892
9.890134,-0.904487,-0.199203
9.999008,-1.072583,-0.183051
10.158729,-1.327418,0.128614
10.331611,-1.531406,0.298505
10.14497,-1.25683,0.131007
10.197613,-0.879961,-0.110668
10.540982,-0.911067,-0.119043
10.521242,-0.833899,0.225524
10.957333,-1.07677,0.740579
11.763715,-1.188036,0.907478
12.086746,-1.235893,0.662812
11.940783,-1.144966,-0.073579
12.048461,-0.863211,0.869193
11.33839,-0.505484,0.719043
11.332408,-0.384646,1.061217
11.26182,-0.355334,0.977468
10.974083,-0.480957,0.973281
10.94836,-0.793819,1.336391
10.564911,-1.121037,2.085943
9.419346,-0.62333,3.378067
9.636495,-0.182453,1.412962
9.486346,0.080758,1.448854
9.104691,0.237488,0.903889
9.206984,0.255434,1.244866
9.772887,0.317049,1.169492
10.162917,0.677169,1.219143
10.04148,0.61017,0.938585
10.576875,0.509671,1.049851
11.086546,0.124427,1.4668
11.157732,-0.039482,1.797608
11.029717,-0.133998,1.585245
10.641481,-0.092124,1.222732
10.205389,-0.161516,1.174876
9.717851,-0.232104,1.016351
8.930613,-0.24347,0.907478
8.712267,-0.449252,1.117448
8.650652,-0.52343,1.502693
8.305488,-0.778864,1.423131
8.173883,-0.759721,1.492523
7.600203,-0.636491,1.314258
6.775277,-0.136989,1.329811
6.142974,0.495913,1.034298
6.016753,0.840479,0.543171
6.559923,1.016351,0.374477
7.673184,0.872782,0.297308
8.72483,0.418744,0.301496
9.047264,0.187238,0.421735
9.427721,-0.049651,0.960718
9.635299,-0.302094,0.697508
9.617951,-0.183051,0.816551
9.183055,-0.4666,1.158724
9.28475,-0.43011,0.942174
9.197412,-0.346361,0.665803
9.104691,-0.139382,0.561715
9.104093,0.07657,0.401994
8.903694,0.337986,0.218943
8.825328,0.580259,0.122034
9.019147,0.192622,0.319442
9.258429,0.300299,0.261416
9.335,0.253041,0.055035
9.59163,0.007777,0.304487
9.514462,-0.119641,0.548555
9.349357,-0.195015,0.323031
9.397811,-0.224327,0.198604
9.476775,-0.160319,-0.187837
9.24467,-0.055035,-0.432503
9.183653,0.049651,-0.501894
9.477373,0.089133,-0.468395
9.753146,0.092124,-0.547956
10.094122,0.038883,-0.521037
10.506287,-0.15673,-0.46002
10.770694,-0.275773,-0.303888
10.783256,-0.513859,0.901496
10.68814,-0.502493,0.827318
10.83171,-0.233898,0.321236
11.261223,0.052642,0.14656
11.857035,0.366102,0.410369
12.311073,0.424128,0.636491
12.252449,0.740579,1.14676
11.917454,0.924228,1.355534
11.87558,0.685544,1.832902
11.712269,0.443869,2.274378
11.447863,0.235693,2.191825
11.163117,0.197408,2.112264
11.018949,0.032303,2.2337
10.374083,-0.205783,2.423331
9.637094,-0.240479,2.029712
9.339187,-0.18664,1.813161
9.096316,-0.088534,1.666601
9.315259,-0.137587,1.761117
9.996616,-0.456431,2.014158
9.853047,-0.505484,2.017748
9.692129,-0.620937,1.7336
9.275179,-0.496511,1.297508
8.804392,-0.370888,1.01695
8.401201,-0.235095,0.713659
8.153544,-0.253639,0.538385
7.570293,-0.164507,0.806979
7.623533,-0.425922,1.054637
7.604988,-0.644267,1.213759
7.569096,-0.776471,1.222732
7.726424,-1.092922,1.519442
7.7013,-1.249053,1.627718
7.494321,-1.259223,1.588834
7.338189,-1.019941,1.603191
7.63789,-0.84347,1.353141
8.110473,-0.798006,0.943968
8.610572,-0.612563,0.798604
8.825927,-0.474975,0.679562
8.97488,-0.521635,0.784846
8.868399,-0.347558,0.817747
8.847462,-0.35354,0.904487
9.22194,-0.513859,0.964906
9.513265,-0.714258,1.161117
9.839287,-0.84347,1.342972
10.058829,-1.066002,1.132403
10.075578,-1.15693,1.031905
9.929616,-1.295714,0.95354
9.254241,-1.037887,1.081556
9.060423,-1.018744,0.982852
9.233305,-1.174876,1.061217
9.719048,-1.309472,1.375873
9.553344,-1.202992,1.307678
9.488141,-0.89671,1.055235
9.823734,-0.823131,0.919442
10.316656,-0.758525,1.115055
10.005588,-0.69691,1.274178
10.161122,-0.894916,1.691726
10.564911,-0.865005,1.925026
11.033306,-0.952942,1.49372
12.017951,-0.884746,1.183251
12.39243,-0.628714,1.079163
12.270993,-0.27338,1.094716
12.426526,-0.440878,1.013959
12.644871,-0.686142,1.662413
12.870994,-0.951745,2.199004
12.526427,-0.786641,2.761317
11.690135,-0.419342,2.665605
10.776077,-0.038883,2.602195
9.839287,0.2333,2.438286
9.519248,0.507278,2.078166
9.178868,0.898505,1.916053
9.299706,0.933799,1.502094
9.71486,0.994816,1.347159
10.183255,0.887139,1.490729
10.576276,0.81356,1.417149
10.769497,0.534198,1.719243
11.031512,0.194417,1.820938
11.231311,0.009571,1.612763
10.943575,-0.073579,1.53679
10.512269,-0.209372,1.041476
9.833904,-0.203988,0.769292
9.057433,-0.292523,0.973281
7.869396,-0.287737,1.234696
6.880562,-0.322433,0.918844
6.147161,-0.235095,0.882952
6.066404,-0.078365,1.213759
6.976872,-0.348754,1.689333
6.513861,0.10349,1.6002
6.125626,0.748355,0.96012
6.005387,1.32024,0.56351
6.004788,1.748555,0.49352
6.846464,1.76351,0.225524
8.361121,1.232902,0.288933
9.8351,0.61675,0.730409
10.470394,0.072383,1.034298
10.41177,-0.257827,0.932603
9.619747,-0.010768,0.8333
9.099308,-0.026321,0.787837
9.056236,-0.013161,0.738186
9.335597,-0.302692,0.691526
9.278769,-0.297308,0.62333
8.907283,-0.053839,0.485743
8.760125,0.22672,0.180658
8.557332,0.431306,0.104686
8.465209,0.615554,0.072383
8.259426,0.655633,0.113061
8.556137,0.418146,0.05683
8.936594,0.204586,0.088534
9.442677,-0.007178,0.56351
10.180264,-0.153141,0.890728
10.533804,-0.336192,0.735195
10.456037,-0.358325,0.924826
10.542179,-0.295514,1.185045
10.254443,0.096909,1.025324
10.250853,0.083151,0.525225
9.932607,0.416949,0.003589
9.979866,0.486939,0.276969
10.222737,0.346959,0.377468
10.300504,0.486939,0.366102
10.459626,0.521037,0.598804
10.625329,0.680758,0.869193
11.077573,0.81356,1.216152
11.32882,0.879362,0.996611
12.141781,0.747159,1.701297
12.69871,0.774676,2.276173
13.45245,0.816551,2.438286
13.737195,0.304487,3.043072
13.162919,0.120239,3.470789
12.075978,0.136391,3.359523
10.902897,0.124427,3.224927
9.764512,0.16331,2.700899
8.705089,0.350549,2.555535
8.212168,0.455235,2.238486
8.639884,0.193819,2.118246
8.922837,0.083749,2.028515
9.075977,0.44327,1.864607
9.196216,0.497109,1.834697
9.029914,0.412762,1.389034
9.213564,0.352343,1.515853
8.863016,0.106481,1.594218
8.82832,-0.162114,1.588236
8.948559,-0.397807,1.389034
8.509476,-0.520439,1.378864
7.69771,-0.719043,1.299303
6.952944,-0.845863,1.411167
6.53779,-1.15693,1.533799
6.342774,-1.21017,1.403989
6.439683,-1.137787,1.419542
6.552147,-1.097707,1.414756
7.075576,-0.994218,1.185045
7.58465,-0.942772,0.92004
7.549954,-0.355932,0.823729
8.225328,-0.090329,0.71007
8.908479,0.007178,0.904487
9.598809,-0.305085,1.277767
10.262816,-0.485743,1.554138
10.711471,-0.655633,1.688735
10.507483,-0.399003,1.365105
10.288539,-0.257827,1.054637
9.91526,-0.186042,0.852443
9.833904,-0.422333,0.789631
9.509676,-0.571286,0.711865
9.144771,-0.601795,0.64008
8.663813,-0.456431,0.607777
8.855239,-0.592224,0.387637
9.180663,-0.944567,0.521037
9.694521,-1.077368,0.739382
10.452448,-1.247259,1.052842
10.170095,-1.105484,0.885943
9.917653,-0.882952,0.709472
9.896715,-0.649053,0.512662
9.827322,-0.454636,0.405583
9.991829,-0.361316,0.48993
10.421342,-0.531805,0.929013
10.676177,-0.587438,0.998405
11.029119,-0.548555,0.936192
11.636298,-0.680758,1.075574
11.972489,-0.629911,1.213161
12.107085,-0.611366,1.179063
12.201004,-0.402592,0.901496
12.072988,-0.199801,0.980459
11.871393,-0.019741,0.979263
11.694922,0.002393,0.951147
11.45863,-0.009571,1.223331
11.00878,-0.083749,1.521237
10.640284,-0.106481,1.948954
9.939786,0.125025,2.219343
10.076177,0.167498,2.242673
9.890733,0.211167,2.194218
9.629317,0.568894,1.962115
9.503693,0.704686,1.618744
9.783655,0.818345,1.495514
9.988241,0.751945,1.462015
9.987642,0.851845,1.405783
10.054641,0.79681,1.162314
10.27837,0.577268,1.441077
10.417753,0.297906,1.566102
10.212567,0.197408,1.356731
9.986446,0.093918,1.298704
9.649656,0.024526,1.184447
8.893524,0.187837,0.980459
8.513664,0.323629,0.62333
8.059027,0.512662,0.597607
7.662416,0.532403,0.357129
7.416554,0.454038,0.425324
7.378269,0.454038,0.458226
7.12762,0.512662,0.574876
7.321439,0.529412,0.705883
7.466803,0.722632,0.585045
7.770691,0.687937,0.531207
7.850253,0.610768,0.490529
7.915458,0.492921,0.315254
8.611171,0.153141,0.224327
9.110672,-0.170489,0.168096
9.317054,-0.09332,0.235693
9.501301,-0.113061,0.248255
9.307482,0.105882,0.130409
8.712866,0.431306,0.000598
8.675179,0.515653,-0.123829
8.780464,0.538983,-0.058026
9.005987,0.567697,-0.032901
9.059227,0.58684,-0.046062
9.09512,0.903889,-0.25005
9.104093,0.768096,-0.427717
8.918649,0.870987,-0.599402
8.836694,0.791426,-0.547956
8.948559,0.652642,-0.385843
9.176475,0.323031,-0.258425
9.424133,-0.014955,-0.155533
9.457632,-0.099302,-0.144168
