X,Y,Z
5.000543,-5.004208,-4.213596
-0.715781,0.925461,0.469145
0.128282,-0.374308,-0.099876
0.1518,-0.310014,-0.104458
0.120951,-0.204793,-0.090103
0.066584,-0.153633,-0.091172
-0.045051,-0.140804,-0.081856
-0.162643,-0.129809,-0.047342
-0.220217,-0.091477,-0.027031
-0.248317,-0.039401,-0.014661
-0.194866,0.08491,-0.048411
-0.135459,0.169973,-0.0478
-0.104458,0.157145,0.009621
-0.077122,0.180969,0.057727
-0.00504,0.155007,0.091324
0.053756,0.01909,0.18326
0.116523,-0.147371,0.178525
0.092088,-0.218079,0.115912
-0.065668,-0.333532,0.089186
-0.060934,-0.9586,0.057879
-0.118202,-0.638201,0.039859
-0.169057,-0.570701,0.027489
-0.308792,-0.694096,0.06689
-0.361938,0.248622,0.073762
-0.396757,0.333074,0.055741
-0.384387,0.490219,0.014355
-0.293673,0.831693,0.006109
-0.231518,1.213178,0.115912
-0.137139,0.732427,0.1321
-0.076969,0.2755,0.209221
-0.0197,-0.246026,0.265574
0.03146,-0.61453,0.249233
0.034361,-0.802066,0.157145
-0.021075,-1.010371,0.06521
-0.154243,-1.182788,-0.004429
-0.239459,-1.184162,-0.103236
-0.363312,-0.932791,-0.246942
-0.465327,-0.505644,-0.290772
-0.542296,-0.163865,-0.284969
-0.637743,0.017715,-0.258854
-0.686307,0.150273,-0.211359
-0.629191,0.24511,-0.155465
-0.538325,0.147677,-0.012065
-0.362396,0.112094,0.047953
-0.165697,0.173944,0.091172
-0.032681,0.322231,0.149204
0.090255,0.418137,0.13775
0.205251,0.494801,0.115606
0.25076,0.419817,0.189979
0.224951,0.278707,0.298713
0.138056,0.141415,0.363159
0.00901,-0.005498,0.353386
-0.119424,-0.069333,0.222508
-0.216857,-0.132405,0.06857
-0.281456,-0.01237,-0.061239
-0.290466,0.127213,-0.118202
-0.258854,0.084758,-0.128587
-0.201738,0.095906,-0.072846
-0.122937,0.115912,0.032834
-0.039095,0.130114,0.115606
0.018937,0.152258,0.185245
0.059865,0.130267,0.20968
0.071929,0.067806,0.208916
0.023366,0.002749,0.198073
-0.028558,0.003971,0.169668
-0.043066,0.018784,0.102473
-0.091172,-0.01573,0.056658
-0.114995,-0.028253,0.04444
-0.111025,0.084147,0.018631
-0.093004,0.166461,0.003207
-0.057116,0.199142,-0.013134
-0.034972,0.243277,-0.038026
-0.03879,0.328187,-0.055589
-0.045204,0.308029,-0.036346
-0.068264,0.217926,-0.020006
-0.092241,0.159283,-0.030696
-0.101098,0.073762,-0.050091
-0.092241,0.0562,-0.103389
-0.102778,0.119577,-0.15012
-0.050244,0.165086,-0.169362
0.091172,0.134085,-0.131031
0.215025,0.073915,-0.092699
0.238237,-0.082314,-0.049175
0.226326,-0.302989,-0.051007
0.198073,-0.423788,-0.084299
0.141721,-0.35476,-0.144622
0.143553,-0.301309,-0.12874
0.149357,-0.209527,-0.094379
0.153785,-0.148135,-0.093768
0.164475,-0.150731,-0.070402
0.191354,-0.258243,-0.021686
0.21029,-0.337503,-0.030696
